rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported
rg01_theta12p490_foil0	0	0	0	2	233	83	47	29	21	0
rg01_theta12p490_foil0	0	0	0	3	375	163	75	50	41	0
rg01_theta12p490_foil0	0	0	0	4	449	195	90	69	49	0
rg01_theta12p490_foil0	0	0	0	5	450	217	90	62	55	0
rg01_theta12p490_foil0	0	0	0	6	113	44	23	14	11	0
rg01_theta12p490_foil0	0	0	1	2	324	101	65	31	26	0
rg01_theta12p490_foil0	0	0	1	3	371	184	75	58	47	0
rg01_theta12p490_foil0	0	0	1	4	541	271	109	83	68	0
rg01_theta12p490_foil0	0	0	1	5	581	273	117	85	69	0
rg01_theta12p490_foil0	0	0	1	6	305	147	61	48	37	0
rg01_theta12p490_foil0	0	0	2	2	342	133	69	42	34	0
rg01_theta12p490_foil0	0	0	2	3	90	0	18	0	0	90
rg01_theta12p490_foil0	0	0	2	4	711	312	143	93	78	0
rg01_theta12p490_foil0	0	0	2	5	767	338	154	118	85	0
rg01_theta12p490_foil0	0	0	2	6	695	304	139	99	77	0
rg01_theta12p490_foil0	0	0	3	2	403	169	81	51	43	0
rg01_theta12p490_foil0	0	0	3	3	551	256	111	83	65	0
rg01_theta12p490_foil0	0	0	3	4	659	327	132	107	82	0
rg01_theta12p490_foil0	0	0	3	5	864	379	173	128	148	0
rg01_theta12p490_foil0	0	0	3	6	1038	379	208	154	212	0
rg01_theta12p490_foil0	0	0	4	2	399	165	80	55	42	0
rg01_theta12p490_foil0	0	0	4	3	628	322	126	99	81	0
rg01_theta12p490_foil0	0	0	4	4	229	115	46	39	29	0
rg01_theta12p490_foil0	0	0	4	5	929	379	186	150	191	0
rg01_theta12p490_foil0	0	0	4	6	1123	379	225	149	268	0
rg01_theta12p490_foil0	0	0	5	2	334	156	67	50	40	0
rg01_theta12p490_foil0	0	0	5	3	625	288	125	91	72	0
rg01_theta12p490_foil0	0	0	5	4	737	352	148	111	89	0
rg01_theta12p490_foil0	0	0	5	5	61	0	13	0	0	61
rg01_theta12p490_foil0	0	0	5	6	1182	379	237	175	335	0
rg01_theta12p490_foil0	0	0	6	2	236	107	48	34	27	0
rg01_theta12p490_foil0	0	0	6	3	434	211	87	55	53	0
rg01_theta12p490_foil0	0	0	6	4	598	280	120	90	71	0
rg01_theta12p490_foil0	0	0	6	5	753	379	151	111	97	0
rg01_theta12p490_foil0	0	0	6	6	1010	379	202	143	205	0
rg01_theta12p490_foil0	0	0	7	2	126	58	26	19	15	0
rg01_theta12p490_foil0	0	0	7	3	253	128	51	36	32	0
rg01_theta12p490_foil0	0	0	7	4	418	213	84	66	54	0
rg01_theta12p490_foil0	0	0	7	5	475	231	95	79	58	0
rg01_theta12p490_foil0	0	0	7	6	621	300	125	100	76	0
rg01_theta12p490_foil0	0	0	8	2	63	31	13	10	8	0
rg01_theta12p490_foil0	0	0	8	3	130	70	26	24	18	0
rg01_theta12p490_foil0	0	0	8	4	207	102	42	30	26	0
rg01_theta12p490_foil0	0	0	8	5	319	148	64	39	38	0
rg01_theta12p490_foil0	0	0	8	6	348	157	70	44	40	0
rg01_theta12p490_foil0	0	1	0	2	254	127	51	36	32	0
rg01_theta12p490_foil0	0	1	0	3	422	204	85	66	51	0
rg01_theta12p490_foil0	0	1	0	4	649	313	130	102	79	0
rg01_theta12p490_foil0	0	1	0	5	751	358	151	114	90	0
rg01_theta12p490_foil0	0	1	0	6	257	112	52	37	28	0
rg01_theta12p490_foil0	0	1	0	7	2	0	1	0	0	2
rg01_theta12p490_foil0	0	1	1	1	1	0	1	0	0	1
rg01_theta12p490_foil0	0	1	1	2	406	192	82	52	48	0
rg01_theta12p490_foil0	0	1	1	3	643	308	129	100	77	0
rg01_theta12p490_foil0	0	1	1	4	908	379	182	134	155	0
rg01_theta12p490_foil0	0	1	1	5	1093	379	219	175	259	0
rg01_theta12p490_foil0	0	1	1	6	824	379	165	115	105	0
rg01_theta12p490_foil0	0	1	1	7	3	0	1	0	0	3
rg01_theta12p490_foil0	0	1	2	1	33	12	7	5	4	0
rg01_theta12p490_foil0	0	1	2	2	509	250	102	73	63	0
rg01_theta12p490_foil0	0	1	2	3	34	0	7	0	0	34
rg01_theta12p490_foil0	0	1	2	4	1091	379	219	161	308	0
rg01_theta12p490_foil0	0	1	2	5	1267	379	254	201	399	0
rg01_theta12p490_foil0	0	1	2	6	1358	379	272	206	460	0
rg01_theta12p490_foil0	0	1	2	7	10	0	2	0	0	10
rg01_theta12p490_foil0	0	1	3	1	81	36	17	13	9	0
rg01_theta12p490_foil0	0	1	3	2	612	300	123	92	76	0
rg01_theta12p490_foil0	0	1	3	3	882	379	177	142	174	0
rg01_theta12p490_foil0	0	1	3	4	1204	379	241	190	390	0
rg01_theta12p490_foil0	0	1	3	5	1524	379	305	243	585	0
rg01_theta12p490_foil0	0	1	3	6	1710	379	342	267	722	0
rg01_theta12p490_foil0	0	1	3	7	96	48	20	14	12	0
rg01_theta12p490_foil0	0	1	4	1	114	54	23	19	14	0
rg01_theta12p490_foil0	0	1	4	2	578	288	116	86	73	0
rg01_theta12p490_foil0	0	1	4	3	960	379	192	158	238	0
rg01_theta12p490_foil0	0	1	4	4	379	203	76	60	51	0
rg01_theta12p490_foil0	0	1	4	5	1622	379	325	257	661	0
rg01_theta12p490_foil0	0	1	4	6	1857	379	372	297	809	0
rg01_theta12p490_foil0	0	1	4	7	106	52	22	15	13	0
rg01_theta12p490_foil0	0	1	5	1	74	33	15	11	9	0
rg01_theta12p490_foil0	0	1	5	2	557	286	112	91	72	0
rg01_theta12p490_foil0	0	1	5	3	929	379	186	145	226	0
rg01_theta12p490_foil0	0	1	5	4	1230	379	246	211	428	0
rg01_theta12p490_foil0	0	1	5	5	66	0	14	0	0	66
rg01_theta12p490_foil0	0	1	5	6	1844	379	369	300	802	0
rg01_theta12p490_foil0	0	1	5	7	84	43	17	14	11	0
rg01_theta12p490_foil0	0	1	6	1	28	12	6	4	4	0
rg01_theta12p490_foil0	0	1	6	2	487	251	98	75	63	0
rg01_theta12p490_foil0	0	1	6	3	749	378	150	114	95	0
rg01_theta12p490_foil0	0	1	6	4	1047	379	210	172	290	0
rg01_theta12p490_foil0	0	1	6	5	1316	379	264	221	491	0
rg01_theta12p490_foil0	0	1	6	6	1526	379	306	244	580	0
rg01_theta12p490_foil0	0	1	6	7	12	0	3	0	0	12
rg01_theta12p490_foil0	0	1	7	2	358	180	72	51	46	0
rg01_theta12p490_foil0	0	1	7	3	620	317	124	110	80	0
rg01_theta12p490_foil0	0	1	7	4	856	379	172	136	163	0
rg01_theta12p490_foil0	0	1	7	5	1069	379	214	165	306	0
rg01_theta12p490_foil0	0	1	7	6	1186	379	238	193	382	0
rg01_theta12p490_foil0	0	1	7	7	1	0	1	0	0	1
rg01_theta12p490_foil0	0	1	8	2	282	152	57	47	39	0
rg01_theta12p490_foil0	0	1	8	3	402	208	81	61	52	0
rg01_theta12p490_foil0	0	1	8	4	580	293	116	87	74	0
rg01_theta12p490_foil0	0	1	8	5	720	372	144	113	93	0
rg01_theta12p490_foil0	0	1	8	6	637	329	128	104	83	0
rg01_theta12p490_foil0	0	1	8	7	1	0	1	0	0	1
rg01_theta12p490_foil0	0	2	0	1	1	0	1	0	0	1
rg01_theta12p490_foil0	0	2	0	2	374	192	75	54	48	0
rg01_theta12p490_foil0	0	2	0	3	629	329	126	99	83	0
rg01_theta12p490_foil0	0	2	0	4	895	379	179	128	178	0
rg01_theta12p490_foil0	0	2	0	5	1126	379	226	171	322	0
rg01_theta12p490_foil0	0	2	0	6	521	259	105	79	65	0
rg01_theta12p490_foil0	0	2	1	1	2	0	1	0	0	2
rg01_theta12p490_foil0	0	2	1	2	579	284	116	96	72	0
rg01_theta12p490_foil0	0	2	1	3	982	379	197	151	224	0
rg01_theta12p490_foil0	0	2	1	4	1361	379	273	195	448	0
rg01_theta12p490_foil0	0	2	1	5	1689	379	338	262	651	0
rg01_theta12p490_foil0	0	2	1	6	1890	379	378	289	813	0
rg01_theta12p490_foil0	0	2	1	7	1	0	1	0	0	1
