pool	rungroup	zfoil	delta_low	delta_high	xscol	yscol	available	fit	surplus
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	2	104	36	68
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	3	204	36	168
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	4	244	35	209
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	5	272	36	236
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	6	55	36	19
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	2	127	35	92
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	3	231	36	195
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	4	339	36	303
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	5	342	36	306
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	6	184	36	148
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	2	167	36	131
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	3	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	4	390	35	355
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	5	423	36	387
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	6	381	36	345
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	2	212	36	176
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	3	321	36	285
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	4	409	36	373
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	5	527	35	492
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	6	591	35	556
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	2	207	36	171
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	3	403	36	367
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	4	144	36	108
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	5	570	36	534
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	6	647	36	611
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	2	196	35	161
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	3	360	35	325
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	4	441	36	405
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	5	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	6	714	36	678
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	2	134	36	98
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	3	264	35	229
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	4	351	36	315
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	5	476	36	440
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	6	584	35	549
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	2	73	36	37
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	3	160	36	124
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	4	267	35	232
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	5	289	36	253
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	6	376	36	340
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	2	39	35	4
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	3	88	36	52
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	4	128	35	93
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	5	186	36	150
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	6	197	36	161
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	2	159	30	129
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	3	255	30	225
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	4	392	30	362
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	5	448	30	418
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	6	140	30	110
