entry	reason
5913	missing_axis
9202	missing_axis
12854	missing_axis
15895	missing_axis
23423	missing_axis
25662	missing_axis
27072	missing_axis
27729	missing_axis
29940	missing_axis
30591	missing_axis
30863	missing_axis
32214	missing_axis
35441	missing_axis
38852	missing_axis
40769	missing_axis
41094	missing_axis
43401	missing_axis
44662	missing_axis
45830	missing_axis
48100	missing_axis
56939	missing_axis
58690	missing_axis
62810	missing_axis
65539	missing_axis
68980	missing_axis
75367	missing_axis
79927	missing_axis
84225	missing_axis
101907	missing_axis
102479	missing_axis
112239	missing_axis
112978	missing_axis
115204	missing_axis
119243	missing_axis
138078	missing_axis
160067	missing_axis
160337	missing_axis
162598	missing_axis
167664	missing_axis
195878	missing_axis
196221	missing_axis
197907	missing_axis
202769	missing_axis
205187	missing_axis
206029	missing_axis
211874	missing_axis
212113	missing_axis
219874	missing_axis
228379	missing_axis
231290	missing_axis
233098	missing_axis
233902	missing_axis
236241	missing_axis
237373	missing_axis
247535	missing_axis
248718	missing_axis
