rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported	excluded_core
rg01_theta12p490_foil0	0	0	0	2	233	36	47	29	68	0	0
rg01_theta12p490_foil0	0	0	0	3	375	36	75	50	168	0	0
rg01_theta12p490_foil0	0	0	0	4	449	35	90	69	209	0	0
rg01_theta12p490_foil0	0	0	0	5	450	36	90	62	236	0	0
rg01_theta12p490_foil0	0	0	0	6	113	36	23	14	19	0	0
rg01_theta12p490_foil0	0	0	1	2	324	35	65	31	92	0	0
rg01_theta12p490_foil0	0	0	1	3	371	36	75	58	195	0	0
rg01_theta12p490_foil0	0	0	1	4	541	36	109	83	303	0	0
rg01_theta12p490_foil0	0	0	1	5	581	36	117	85	306	0	0
rg01_theta12p490_foil0	0	0	1	6	305	36	61	48	148	0	0
rg01_theta12p490_foil0	0	0	2	2	342	36	69	42	131	0	0
rg01_theta12p490_foil0	0	0	2	3	90	0	18	0	0	90	0
rg01_theta12p490_foil0	0	0	2	4	711	35	143	93	355	0	0
rg01_theta12p490_foil0	0	0	2	5	767	36	154	118	387	0	0
rg01_theta12p490_foil0	0	0	2	6	695	36	139	99	345	0	0
rg01_theta12p490_foil0	0	0	3	2	403	36	81	51	176	0	0
rg01_theta12p490_foil0	0	0	3	3	551	36	111	83	285	0	0
rg01_theta12p490_foil0	0	0	3	4	659	36	132	107	373	0	0
rg01_theta12p490_foil0	0	0	3	5	864	35	173	128	492	0	0
rg01_theta12p490_foil0	0	0	3	6	1038	35	208	154	556	0	0
rg01_theta12p490_foil0	0	0	4	2	399	36	80	55	171	0	0
rg01_theta12p490_foil0	0	0	4	3	628	36	126	99	367	0	0
rg01_theta12p490_foil0	0	0	4	4	229	36	46	39	108	0	0
rg01_theta12p490_foil0	0	0	4	5	929	36	186	150	534	0	0
rg01_theta12p490_foil0	0	0	4	6	1123	36	225	149	611	0	0
rg01_theta12p490_foil0	0	0	5	2	334	35	67	50	161	0	0
rg01_theta12p490_foil0	0	0	5	3	625	35	125	91	325	0	0
rg01_theta12p490_foil0	0	0	5	4	737	36	148	111	405	0	0
rg01_theta12p490_foil0	0	0	5	5	61	0	13	0	0	61	0
rg01_theta12p490_foil0	0	0	5	6	1182	36	237	175	678	0	0
rg01_theta12p490_foil0	0	0	6	2	236	36	48	34	98	0	0
rg01_theta12p490_foil0	0	0	6	3	434	35	87	55	229	0	0
rg01_theta12p490_foil0	0	0	6	4	598	36	120	90	315	0	0
rg01_theta12p490_foil0	0	0	6	5	753	36	151	111	440	0	0
rg01_theta12p490_foil0	0	0	6	6	1010	35	202	143	549	0	0
rg01_theta12p490_foil0	0	0	7	2	126	36	26	19	37	0	0
rg01_theta12p490_foil0	0	0	7	3	253	36	51	36	124	0	0
rg01_theta12p490_foil0	0	0	7	4	418	35	84	66	232	0	0
rg01_theta12p490_foil0	0	0	7	5	475	36	95	79	253	0	0
rg01_theta12p490_foil0	0	0	7	6	621	36	125	100	340	0	0
rg01_theta12p490_foil0	0	0	8	2	63	35	13	10	4	0	0
rg01_theta12p490_foil0	0	0	8	3	130	36	26	24	52	0	0
rg01_theta12p490_foil0	0	0	8	4	207	35	42	30	93	0	0
rg01_theta12p490_foil0	0	0	8	5	319	36	64	39	150	0	0
rg01_theta12p490_foil0	0	0	8	6	348	36	70	44	161	0	0
rg01_theta12p490_foil0	0	1	0	2	254	30	51	36	129	0	0
rg01_theta12p490_foil0	0	1	0	3	422	30	85	66	225	0	0
rg01_theta12p490_foil0	0	1	0	4	649	30	130	102	362	0	0
rg01_theta12p490_foil0	0	1	0	5	751	30	151	114	418	0	0
rg01_theta12p490_foil0	0	1	0	6	257	30	52	37	110	0	0
rg01_theta12p490_foil0	0	1	0	7	2	0	1	0	0	2	0
rg01_theta12p490_foil0	0	1	1	1	1	0	1	0	0	1	0
rg01_theta12p490_foil0	0	1	1	2	406	29	82	52	211	0	0
rg01_theta12p490_foil0	0	1	1	3	643	29	129	100	356	0	0
rg01_theta12p490_foil0	0	1	1	4	908	30	182	134	504	0	0
rg01_theta12p490_foil0	0	1	1	5	1093	30	219	175	608	0	0
rg01_theta12p490_foil0	0	1	1	6	824	30	165	115	454	0	0
rg01_theta12p490_foil0	0	1	1	7	3	0	1	0	0	3	0
rg01_theta12p490_foil0	0	1	2	1	33	16	7	5	0	0	0
rg01_theta12p490_foil0	0	1	2	2	509	30	102	73	283	0	0
rg01_theta12p490_foil0	0	1	2	3	34	0	7	0	0	34	0
rg01_theta12p490_foil0	0	1	2	4	1091	30	219	161	657	0	0
rg01_theta12p490_foil0	0	1	2	5	1267	30	254	201	748	0	0
rg01_theta12p490_foil0	0	1	2	6	1358	30	272	206	809	0	0
rg01_theta12p490_foil0	0	1	2	7	10	0	2	0	0	10	0
rg01_theta12p490_foil0	0	1	3	1	81	30	17	13	15	0	0
rg01_theta12p490_foil0	0	1	3	2	612	30	123	92	346	0	0
rg01_theta12p490_foil0	0	1	3	3	882	30	177	142	523	0	0
rg01_theta12p490_foil0	0	1	3	4	1204	30	241	190	739	0	0
rg01_theta12p490_foil0	0	1	3	5	1524	30	305	243	934	0	0
rg01_theta12p490_foil0	0	1	3	6	1710	30	342	267	1071	0	0
rg01_theta12p490_foil0	0	1	3	7	96	30	20	14	30	0	0
rg01_theta12p490_foil0	0	1	4	1	114	30	23	19	38	0	0
rg01_theta12p490_foil0	0	1	4	2	578	30	116	86	331	0	0
rg01_theta12p490_foil0	0	1	4	3	960	30	192	158	587	0	0
rg01_theta12p490_foil0	0	1	4	4	379	30	76	60	224	0	0
rg01_theta12p490_foil0	0	1	4	5	1622	30	325	257	1010	0	0
rg01_theta12p490_foil0	0	1	4	6	1857	29	372	297	1159	0	0
rg01_theta12p490_foil0	0	1	4	7	106	30	22	15	35	0	0
rg01_theta12p490_foil0	0	1	5	1	74	30	15	11	12	0	0
rg01_theta12p490_foil0	0	1	5	2	557	30	112	91	328	0	0
rg01_theta12p490_foil0	0	1	5	3	929	30	186	145	575	0	0
rg01_theta12p490_foil0	0	1	5	4	1230	29	246	211	778	0	0
rg01_theta12p490_foil0	0	1	5	5	66	0	14	0	0	66	0
rg01_theta12p490_foil0	0	1	5	6	1844	30	369	300	1151	0	0
rg01_theta12p490_foil0	0	1	5	7	84	30	17	14	24	0	0
rg01_theta12p490_foil0	0	1	6	1	28	16	6	4	0	0	0
rg01_theta12p490_foil0	0	1	6	2	487	30	98	75	284	0	0
rg01_theta12p490_foil0	0	1	6	3	749	30	150	114	443	0	0
rg01_theta12p490_foil0	0	1	6	4	1047	30	210	172	639	0	0
rg01_theta12p490_foil0	0	1	6	5	1316	30	264	221	840	0	0
rg01_theta12p490_foil0	0	1	6	6	1526	29	306	244	930	0	0
rg01_theta12p490_foil0	0	1	6	7	12	0	3	0	0	12	0
rg01_theta12p490_foil0	0	1	7	2	358	30	72	51	196	0	0
rg01_theta12p490_foil0	0	1	7	3	620	30	124	110	367	0	0
rg01_theta12p490_foil0	0	1	7	4	856	30	172	136	512	0	0
rg01_theta12p490_foil0	0	1	7	5	1069	30	214	165	655	0	0
rg01_theta12p490_foil0	0	1	7	6	1186	30	238	193	731	0	0
rg01_theta12p490_foil0	0	1	7	7	1	0	1	0	0	1	0
rg01_theta12p490_foil0	0	1	8	2	282	30	57	47	161	0	0
rg01_theta12p490_foil0	0	1	8	3	402	30	81	61	230	0	0
rg01_theta12p490_foil0	0	1	8	4	580	30	116	87	337	0	0
rg01_theta12p490_foil0	0	1	8	5	720	30	144	113	435	0	0
rg01_theta12p490_foil0	0	1	8	6	637	30	128	104	382	0	0
rg01_theta12p490_foil0	0	1	8	7	1	0	1	0	0	1	0
rg01_theta12p490_foil0	0	2	0	1	1	0	1	0	0	1	0
rg01_theta12p490_foil0	0	2	0	2	374	27	75	54	213	0	0
rg01_theta12p490_foil0	0	2	0	3	629	27	126	99	385	0	0
rg01_theta12p490_foil0	0	2	0	4	895	27	179	128	530	0	0
rg01_theta12p490_foil0	0	2	0	5	1126	27	226	171	674	0	0
rg01_theta12p490_foil0	0	2	0	6	521	27	105	79	297	0	0
rg01_theta12p490_foil0	0	2	1	1	2	0	1	0	0	2	0
rg01_theta12p490_foil0	0	2	1	2	579	27	116	96	329	0	0
rg01_theta12p490_foil0	0	2	1	3	982	27	197	151	576	0	0
rg01_theta12p490_foil0	0	2	1	4	1361	27	273	195	800	0	0
rg01_theta12p490_foil0	0	2	1	5	1689	27	338	262	1003	0	0
rg01_theta12p490_foil0	0	2	1	6	1890	27	378	289	1165	0	0
rg01_theta12p490_foil0	0	2	1	7	1	0	1	0	0	1	0
rg01_theta12p490_foil0	0	2	2	1	101	27	21	16	43	0	0
rg01_theta12p490_foil0	0	2	2	2	839	27	168	142	508	0	0
rg01_theta12p490_foil0	0	2	2	3	23	0	5	0	0	23	0
rg01_theta12p490_foil0	0	2	2	4	1637	27	328	256	1011	0	0
rg01_theta12p490_foil0	0	2	2	5	1970	27	394	320	1221	0	0
rg01_theta12p490_foil0	0	2	2	6	2531	27	507	403	1570	0	0
rg01_theta12p490_foil0	0	2	2	7	226	27	46	42	124	0	0
rg01_theta12p490_foil0	0	2	3	1	238	27	48	39	132	0	0
rg01_theta12p490_foil0	0	2	3	2	885	27	177	142	546	0	0
rg01_theta12p490_foil0	0	2	3	3	1439	27	288	231	892	0	0
rg01_theta12p490_foil0	0	2	3	4	2005	27	401	330	1249	0	0
rg01_theta12p490_foil0	0	2	3	5	2478	27	496	396	1601	0	0
rg01_theta12p490_foil0	0	2	3	6	3022	27	605	494	1918	0	0
rg01_theta12p490_foil0	0	2	3	7	772	27	155	132	500	0	0
rg01_theta12p490_foil0	0	2	4	1	290	27	58	45	170	0	0
rg01_theta12p490_foil0	0	2	4	2	991	27	199	168	634	0	0
rg01_theta12p490_foil0	0	2	4	3	1553	27	311	239	977	0	0
rg01_theta12p490_foil0	0	2	4	4	597	27	120	89	366	0	0
rg01_theta12p490_foil0	0	2	4	5	2808	27	562	469	1749	0	0
rg01_theta12p490_foil0	0	2	4	6	3449	27	690	561	2201	0	0
rg01_theta12p490_foil0	0	2	4	7	1044	27	209	182	694	0	0
rg01_theta12p490_foil0	0	2	5	1	278	27	56	49	172	0	0
rg01_theta12p490_foil0	0	2	5	2	946	27	190	160	590	0	0
rg01_theta12p490_foil0	0	2	5	3	1411	27	283	231	867	0	0
rg01_theta12p490_foil0	0	2	5	4	2072	27	415	338	1297	0	0
rg01_theta12p490_foil0	0	2	5	5	47	0	10	0	0	47	0
rg01_theta12p490_foil0	0	2	5	6	3181	27	637	536	2043	0	0
