zfoil	delta_low	delta_high	width	available	q_delta	delta_cap	hole_capacity	capacity	hole_loss	delta_loss	delta_bound	quota	surplus	budget_loss	original_core	excluded_core	total	holdout	holdout_core	unsupported	noncore_development	geometry_excluded_development	actual_selected
-8.0	-10.0	-8.0	2.0	4538	9001.0	13501	2794	2794	1744	0	False	2741	1797	53	4538	0	8909	1847	1063	441	2524	69	2741
-8.0	-8.0	-5.0	3.0	10089	9001.0	13501	6679	6679	3410	0	False	2742	7347	3937	10089	0	17083	3486	2510	131	3508	53	2742
-8.0	-5.0	0.0	5.0	16793	9001.0	13501	10769	10769	6024	0	False	2742	14051	8027	16793	0	26812	5428	4227	89	4591	37	2742
-8.0	0.0	5.0	5.0	13878	9001.0	13501	8278	8278	5600	0	False	2741	11137	5537	13878	0	23215	4704	3447	119	4633	39	2741
-8.0	5.0	10.0	5.0	9001	9001.0	13501	4774	4774	4227	0	False	2741	6260	2033	9001	0	14704	3005	2294	132	2698	5	2741
-3.0	-10.0	-8.0	2.0	1965	3433.0	5149	1495	1495	470	0	False	1495	470	0	1965	0	3501	734	467	74	802	12	1495
-3.0	-8.0	-5.0	3.0	4402	3433.0	5149	3059	3059	1343	0	False	3059	1343	0	4402	0	7192	1482	1144	89	1308	18	3059
-3.0	-5.0	0.0	5.0	7723	3433.0	5149	4659	4659	3064	0	False	3891	3832	768	7723	0	12168	2474	1952	41	1971	13	3891
-3.0	0.0	5.0	5.0	5816	3433.0	5149	3446	3446	2370	0	False	3446	2370	0	5816	0	9560	1960	1459	60	1784	3	3446
-3.0	5.0	10.0	5.0	3433	3433.0	5149	1816	1816	1617	0	False	1816	1617	0	3433	0	5502	1137	868	118	932	5	1816
0.0	-10.0	-8.0	2.0	14667	27806.0	41709	10338	10338	4329	0	False	2741	11926	7597	14667	0	25284	5092	3676	189	5525	130	2741
0.0	-8.0	-5.0	3.0	27806	27806.0	41709	17066	17066	10740	0	False	2742	25064	14324	27806	0	44242	8900	6959	206	7536	82	2742
0.0	-5.0	0.0	5.0	48671	27806.0	41709	28967	28967	19704	0	False	2742	45929	26225	48671	0	75526	15155	12161	101	11700	63	2742
0.0	0.0	5.0	5.0	41049	27806.0	41709	23120	23120	17929	0	False	2741	38308	20379	41049	0	66098	13269	10388	152	11780	48	2741
0.0	5.0	10.0	5.0	28758	27806.0	41709	12697	12697	16061	0	False	2741	26017	9956	28758	0	45878	9219	7220	117	7901	15	2741
3.0	-10.0	-8.0	2.0	2123	3611.0	5416	1430	1430	693	0	False	1430	693	0	2123	0	3827	806	511	135	898	9	1430
3.0	-8.0	-5.0	3.0	4812	3611.0	5416	3189	3189	1623	0	False	3189	1623	0	4812	0	7572	1559	1221	41	1201	8	3189
3.0	-5.0	0.0	5.0	8254	3611.0	5416	4547	4547	3707	0	False	4547	3707	0	8254	0	12638	2565	2073	33	1819	7	4547
3.0	0.0	5.0	5.0	6288	3611.0	5416	2858	2858	3430	0	False	2858	3430	0	6288	0	10205	2084	1571	105	1833	6	2858
3.0	5.0	10.0	5.0	3611	3611.0	5416	1683	1683	1928	0	False	1683	1928	0	3611	0	5814	1202	919	143	1001	0	1683
8.0	-10.0	-8.0	2.0	5712	6719.0	10078	4001	4001	1711	0	False	2742	2970	1259	5712	0	9674	2005	1436	202	1957	21	2742
8.0	-8.0	-5.0	3.0	9371	6719.0	10078	5650	5650	3721	0	False	2741	6630	2909	9371	0	14560	2974	2320	85	2215	12	2741
8.0	-5.0	0.0	5.0	14367	6719.0	10078	7442	7442	6925	0	False	2742	11625	4700	14367	0	21952	4459	3592	60	3126	6	2742
8.0	0.0	5.0	5.0	10667	6719.0	10078	4888	4888	5779	0	False	2741	7926	2147	10667	0	17247	3516	2725	143	3064	5	2741
8.0	5.0	10.0	5.0	6719	6719.0	10078	2881	2881	3838	0	False	2741	3978	140	6719	0	10705	2196	1661	146	1790	1	2741
