zfoil	ndel	historical_GMM_SVD	new_core_quota	new_actual_selected
-8.0	0	4481	2741	2741
-8.0	1	8849	2742	2742
-8.0	2	12919	2742	2742
-8.0	3	11088	2741	2741
-8.0	4	6973	2741	2741
-3.0	0	2404	1495	1495
-3.0	1	5178	3059	3059
-3.0	2	8019	3891	3891
-3.0	3	6229	3446	3446
-3.0	4	3675	1816	1816
0.0	0	3592	2741	2741
0.0	1	5968	2742	2742
0.0	2	8371	2742	2742
0.0	3	7316	2741	2741
0.0	4	4753	2741	2741
3.0	0	2628	1430	1430
3.0	1	5173	3189	3189
3.0	2	7863	4547	4547
3.0	3	6340	2858	2858
3.0	4	3727	1683	1683
8.0	0	5613	2742	2742
8.0	1	8724	2741	2741
8.0	2	11130	2742	2742
8.0	3	8993	2741	2741
8.0	4	6007	2741	2741
