rungroup	zfoil	delta_low	delta_high	xscol	yscol	foil	ndel	original_core	available	excluded_core	blocked	total	holdout	holdout_core	unsupported	noncore_development	geometry_excluded_development	pool	q_hole	hole_cap	capacity	hole_bound	population	quota	surplus	qa_low	hole_loss	parent_loss	actual_selected
rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	2	0	0	104	104	0	False	233	47	29	0	82	0	rg01_theta12p490_foil0	175.5	263	104	False	open_populated	36	68	False	0	68	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	3	0	0	204	204	0	False	375	75	50	0	96	0	rg01_theta12p490_foil0	175.5	263	204	False	open_populated	36	168	False	0	168	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	4	0	0	244	244	0	False	449	90	69	0	115	0	rg01_theta12p490_foil0	175.5	263	244	False	open_populated	35	209	False	0	209	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	5	0	0	272	272	0	False	450	90	62	0	88	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	236	False	9	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	6	0	0	55	55	0	False	113	23	14	0	35	0	rg01_theta12p490_foil0	175.5	263	55	False	open_populated	36	19	False	0	19	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	2	0	0	127	127	0	False	324	65	31	0	132	0	rg01_theta12p490_foil0	175.5	263	127	False	open_populated	35	92	False	0	92	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	3	0	0	231	231	0	False	371	75	58	0	65	0	rg01_theta12p490_foil0	175.5	263	231	False	open_populated	36	195	False	0	195	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	4	0	0	339	339	0	False	541	109	83	0	93	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	303	False	76	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	5	0	0	342	342	0	False	581	117	85	0	122	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	306	False	79	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	6	0	0	184	184	0	False	305	61	48	0	60	0	rg01_theta12p490_foil0	175.5	263	184	False	open_populated	36	148	False	0	148	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	2	0	0	167	167	0	False	342	69	42	0	106	0	rg01_theta12p490_foil0	175.5	263	167	False	open_populated	36	131	False	0	131	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	3	0	0	0	0	0	True	90	18	0	90	72	72	rg01_theta12p490_foil0	175.5	263	0	False	blocked	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	4	0	0	390	390	0	False	711	143	93	0	178	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	35	355	False	127	228	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	5	0	0	423	423	0	False	767	154	118	0	190	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	387	False	160	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	6	0	0	381	381	0	False	695	139	99	0	175	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	345	False	118	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	2	0	0	212	212	0	False	403	81	51	0	110	0	rg01_theta12p490_foil0	175.5	263	212	False	open_populated	36	176	False	0	176	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	3	0	0	321	321	0	False	551	111	83	0	119	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	285	False	58	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	4	0	0	409	409	0	False	659	132	107	0	118	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	373	False	146	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	5	0	0	527	527	0	False	864	173	128	0	164	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	35	492	False	264	228	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	6	0	0	591	591	0	False	1038	208	154	0	239	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	35	556	False	328	228	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	2	0	0	207	207	0	False	399	80	55	0	112	0	rg01_theta12p490_foil0	175.5	263	207	False	open_populated	36	171	False	0	171	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	3	0	0	403	403	0	False	628	126	99	0	99	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	367	False	140	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	4	0	0	144	144	0	False	229	46	39	0	39	0	rg01_theta12p490_foil0	175.5	263	144	False	open_populated	36	108	False	0	108	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	5	0	0	570	570	0	False	929	186	150	0	173	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	534	False	307	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	6	0	0	647	647	0	False	1123	225	149	0	251	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	611	False	384	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	2	0	0	196	196	0	False	334	67	50	0	71	0	rg01_theta12p490_foil0	175.5	263	196	False	open_populated	35	161	False	0	161	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	3	0	0	360	360	0	False	625	125	91	0	140	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	35	325	False	97	228	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	4	0	0	441	441	0	False	737	148	111	0	148	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	405	False	178	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	5	0	0	0	0	0	True	61	13	0	61	48	48	rg01_theta12p490_foil0	175.5	263	0	False	blocked	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	6	0	0	714	714	0	False	1182	237	175	0	231	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	678	False	451	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	2	0	0	134	134	0	False	236	48	34	0	54	0	rg01_theta12p490_foil0	175.5	263	134	False	open_populated	36	98	False	0	98	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	3	0	0	264	264	0	False	434	87	55	0	83	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	35	229	False	1	228	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	4	0	0	351	351	0	False	598	120	90	0	127	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	315	False	88	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	5	0	0	476	476	0	False	753	151	111	0	126	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	440	False	213	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	6	0	0	584	584	0	False	1010	202	143	0	224	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	35	549	False	321	228	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	2	0	0	73	73	0	False	126	26	19	0	27	0	rg01_theta12p490_foil0	175.5	263	73	False	open_populated	36	37	False	0	37	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	3	0	0	160	160	0	False	253	51	36	0	42	0	rg01_theta12p490_foil0	175.5	263	160	False	open_populated	36	124	False	0	124	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	4	0	0	267	267	0	False	418	84	66	0	67	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	35	232	False	4	228	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	5	0	0	289	289	0	False	475	95	79	0	91	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	253	False	26	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	7	6	0	0	376	376	0	False	621	125	100	0	120	0	rg01_theta12p490_foil0	175.5	263	263	True	open_populated	36	340	False	113	227	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	2	0	0	39	39	0	False	63	13	10	0	11	0	rg01_theta12p490_foil0	175.5	263	39	False	open_populated	35	4	False	0	4	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	3	0	0	88	88	0	False	130	26	24	0	16	0	rg01_theta12p490_foil0	175.5	263	88	False	open_populated	36	52	False	0	52	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	4	0	0	128	128	0	False	207	42	30	0	37	0	rg01_theta12p490_foil0	175.5	263	128	False	open_populated	35	93	False	0	93	35
rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	5	0	0	186	186	0	False	319	64	39	0	69	0	rg01_theta12p490_foil0	175.5	263	186	False	open_populated	36	150	False	0	150	36
rg01_theta12p490_foil0	0.0	-10.0	-8.0	8	6	0	0	197	197	0	False	348	70	44	0	81	0	rg01_theta12p490_foil0	175.5	263	197	False	open_populated	36	161	False	0	161	36
rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	2	0	1	159	159	0	False	254	51	36	0	44	0	rg01_theta12p490_foil0	247.0	370	159	False	open_populated	30	129	False	0	129	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	3	0	1	255	255	0	False	422	85	66	0	82	0	rg01_theta12p490_foil0	247.0	370	255	False	open_populated	30	225	False	0	225	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	4	0	1	392	392	0	False	649	130	102	0	127	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	362	False	22	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	5	0	1	448	448	0	False	751	151	114	0	152	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	418	False	78	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	6	0	1	140	140	0	False	257	52	37	0	65	0	rg01_theta12p490_foil0	247.0	370	140	False	open_populated	30	110	False	0	110	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	0	7	0	1	0	0	0	False	2	1	0	2	1	0	rg01_theta12p490_foil0	247.0	370	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	1	0	1	0	0	0	False	1	1	0	1	0	0	rg01_theta12p490_foil0	247.0	370	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	2	0	1	240	240	0	False	406	82	52	0	84	0	rg01_theta12p490_foil0	247.0	370	240	False	open_populated	29	211	False	0	211	29
rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	3	0	1	385	385	0	False	643	129	100	0	129	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	29	356	False	15	341	29
rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	4	0	1	534	534	0	False	908	182	134	0	192	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	504	False	164	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	5	0	1	638	638	0	False	1093	219	175	0	236	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	608	False	268	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	6	0	1	484	484	0	False	824	165	115	0	175	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	454	False	114	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	7	0	1	0	0	0	False	3	1	0	3	2	0	rg01_theta12p490_foil0	247.0	370	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	1	0	1	16	16	0	False	33	7	5	0	10	0	rg01_theta12p490_foil0	247.0	370	16	False	open_populated	16	0	False	0	0	16
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	2	0	1	313	313	0	False	509	102	73	0	94	0	rg01_theta12p490_foil0	247.0	370	313	False	open_populated	30	283	False	0	283	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	3	0	1	0	0	0	True	34	7	0	34	27	27	rg01_theta12p490_foil0	247.0	370	0	False	blocked	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	4	0	1	687	687	0	False	1091	219	161	0	185	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	657	False	317	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	5	0	1	778	778	0	False	1267	254	201	0	235	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	748	False	408	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	6	0	1	839	839	0	False	1358	272	206	0	247	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	809	False	469	340	30
