rungroup	zfoil	delta_low	delta_high	xscol	yscol	foil	ndel	original_core	available	excluded_core	blocked	total	holdout	holdout_core	unsupported	noncore_development	geometry_excluded_development	pool	q_hole	hole_cap	capacity	hole_bound	population	quota	surplus	qa_low	hole_loss	parent_loss	actual_selected
rg02_theta15p195_foil0	0.0	-10.0	-8.0	6	2	0	0	9	9	0	False	14	3	3	0	2	0	rg02_theta15p195_foil0	24.0	36	9	False	open_populated	9	0	True	0	0	9
rg02_theta15p195_foil0	0.0	-5.0	0.0	6	7	0	2	7	7	0	False	13	3	3	0	3	0	rg02_theta15p195_foil0	47.0	70	7	False	open_populated	7	0	True	0	0	7
rg02_theta15p195_foil0	0.0	0.0	5.0	0	6	0	3	7	7	0	False	14	3	2	0	4	0	rg02_theta15p195_foil0	27.0	40	7	False	open_populated	7	0	True	0	0	7
rg02_theta15p195_foil0	0.0	5.0	10.0	5	2	0	4	7	7	0	False	14	3	2	0	4	0	rg02_theta15p195_foil0	18.5	27	7	False	open_populated	7	0	True	0	0	7
rg02_theta15p195_foil0	0.0	5.0	10.0	6	3	0	4	9	9	0	False	17	4	2	0	4	0	rg02_theta15p195_foil0	18.5	27	9	False	open_populated	9	0	True	0	0	9
rg03_theta12p490_foilpm8	-8.0	-10.0	-8.0	1	1	0	0	6	6	0	False	19	4	1	0	9	0	rg03_theta12p490_foilpm8	24.5	36	6	False	open_populated	6	0	True	0	0	6
rg03_theta12p490_foilpm8	-8.0	-10.0	-8.0	2	6	0	0	7	7	0	False	21	5	2	0	9	0	rg03_theta12p490_foilpm8	24.5	36	7	False	open_populated	7	0	True	0	0	7
rg03_theta12p490_foilpm8	-8.0	-10.0	-8.0	6	1	0	0	7	7	0	False	14	3	1	0	4	0	rg03_theta12p490_foilpm8	24.5	36	7	False	open_populated	7	0	True	0	0	7
rg03_theta12p490_foilpm8	-8.0	5.0	10.0	7	1	0	4	9	9	0	False	14	3	3	0	2	0	rg03_theta12p490_foilpm8	46.0	69	9	False	open_populated	9	0	True	0	0	9
rg03_theta12p490_foilpm8	8.0	0.0	5.0	5	2	1	3	9	9	0	False	17	4	2	0	4	0	rg03_theta12p490_foilpm8	42.5	63	9	False	open_populated	9	0	True	0	0	9
rg03_theta12p490_foilpm8	8.0	0.0	5.0	6	2	1	3	9	9	0	False	13	3	2	0	1	0	rg03_theta12p490_foilpm8	42.5	63	9	False	open_populated	9	0	True	0	0	9
rg03_theta12p490_foilpm8	8.0	5.0	10.0	7	2	1	4	6	6	0	False	13	3	2	0	4	0	rg03_theta12p490_foilpm8	29.0	43	6	False	open_populated	6	0	True	0	0	6
rg04_theta15p195_foilpm3	-3.0	-10.0	-8.0	0	2	0	0	8	8	0	False	14	3	1	0	3	0	rg04_theta15p195_foilpm3	15.0	22	8	False	open_populated	8	0	True	0	0	8
