rungroup	entry	zfoil	delta_low	delta_high	xscol	yscol	foil	ndel
rg01_theta12p490_foil0	13	0.0	-8.0	-5.0	5	6	0	1
rg01_theta12p490_foil0	127	0.0	0.0	5.0	0	3	0	3
rg01_theta12p490_foil0	131	0.0	-8.0	-5.0	0	2	0	1
rg01_theta12p490_foil0	243	0.0	-8.0	-5.0	5	1	0	1
rg01_theta12p490_foil0	437	0.0	-8.0	-5.0	8	5	0	1
rg01_theta12p490_foil0	507	0.0	5.0	10.0	3	4	0	4
rg01_theta12p490_foil0	677	0.0	0.0	5.0	5	3	0	3
rg01_theta12p490_foil0	1102	0.0	-10.0	-8.0	0	2	0	0
rg01_theta12p490_foil0	1190	0.0	5.0	10.0	4	1	0	4
rg01_theta12p490_foil0	1300	0.0	-5.0	0.0	2	2	0	2
rg01_theta12p490_foil0	1465	0.0	-5.0	0.0	2	2	0	2
rg01_theta12p490_foil0	1959	0.0	5.0	10.0	2	7	0	4
rg01_theta12p490_foil0	2326	0.0	0.0	5.0	0	4	0	3
rg01_theta12p490_foil0	2373	0.0	-8.0	-5.0	4	2	0	1
rg01_theta12p490_foil0	2433	0.0	0.0	5.0	3	6	0	3
rg01_theta12p490_foil0	2434	0.0	-10.0	-8.0	3	4	0	0
rg01_theta12p490_foil0	2468	0.0	0.0	5.0	3	1	0	3
rg01_theta12p490_foil0	2663	0.0	-5.0	0.0	7	2	0	2
rg01_theta12p490_foil0	2907	0.0	5.0	10.0	5	2	0	4
rg01_theta12p490_foil0	3247	0.0	-10.0	-8.0	8	3	0	0
rg01_theta12p490_foil0	3372	0.0	5.0	10.0	1	5	0	4
rg01_theta12p490_foil0	3397	0.0	-8.0	-5.0	7	6	0	1
rg01_theta12p490_foil0	3570	0.0	-8.0	-5.0	3	3	0	1
rg01_theta12p490_foil0	3664	0.0	-5.0	0.0	6	3	0	2
rg01_theta12p490_foil0	3716	0.0	-5.0	0.0	3	7	0	2
rg01_theta12p490_foil0	3873	0.0	-8.0	-5.0	1	5	0	1
rg01_theta12p490_foil0	3921	0.0	-5.0	0.0	5	7	0	2
rg01_theta12p490_foil0	4074	0.0	0.0	5.0	8	6	0	3
rg01_theta12p490_foil0	4105	0.0	5.0	10.0	3	1	0	4
rg01_theta12p490_foil0	4165	0.0	0.0	5.0	2	1	0	3
rg01_theta12p490_foil0	4296	0.0	5.0	10.0	6	4	0	4
rg01_theta12p490_foil0	4367	0.0	-5.0	0.0	2	5	0	2
rg01_theta12p490_foil0	4399	0.0	5.0	10.0	3	4	0	4
rg01_theta12p490_foil0	4451	0.0	-10.0	-8.0	3	5	0	0
rg01_theta12p490_foil0	4469	0.0	5.0	10.0	6	5	0	4
rg01_theta12p490_foil0	4892	0.0	-8.0	-5.0	1	5	0	1
rg01_theta12p490_foil0	4990	0.0	-5.0	0.0	7	5	0	2
rg01_theta12p490_foil0	5029	0.0	5.0	10.0	3	7	0	4
rg01_theta12p490_foil0	5150	0.0	5.0	10.0	7	5	0	4
rg01_theta12p490_foil0	5153	0.0	-8.0	-5.0	4	2	0	1
rg01_theta12p490_foil0	5224	0.0	-10.0	-8.0	6	5	0	0
rg01_theta12p490_foil0	5234	0.0	-8.0	-5.0	8	6	0	1
rg01_theta12p490_foil0	5471	0.0	-10.0	-8.0	8	6	0	0
rg01_theta12p490_foil0	5521	0.0	5.0	10.0	3	4	0	4
rg01_theta12p490_foil0	5536	0.0	-10.0	-8.0	7	6	0	0
rg01_theta12p490_foil0	5766	0.0	-10.0	-8.0	3	4	0	0
rg01_theta12p490_foil0	6070	0.0	5.0	10.0	3	7	0	4
rg01_theta12p490_foil0	6124	0.0	-10.0	-8.0	2	6	0	0
rg01_theta12p490_foil0	6312	0.0	5.0	10.0	2	1	0	4
rg01_theta12p490_foil0	6322	0.0	5.0	10.0	5	4	0	4
rg01_theta12p490_foil0	6515	0.0	5.0	10.0	3	3	0	4
rg01_theta12p490_foil0	6601	0.0	-8.0	-5.0	3	4	0	1
rg01_theta12p490_foil0	6662	0.0	0.0	5.0	3	1	0	3
rg01_theta12p490_foil0	6816	0.0	-8.0	-5.0	2	4	0	1
rg01_theta12p490_foil0	6839	0.0	-5.0	0.0	6	5	0	2
rg01_theta12p490_foil0	7308	0.0	-10.0	-8.0	2	2	0	0
rg01_theta12p490_foil0	7508	0.0	-10.0	-8.0	1	2	0	0
rg01_theta12p490_foil0	7665	0.0	5.0	10.0	0	5	0	4
rg01_theta12p490_foil0	7754	0.0	-5.0	0.0	6	2	0	2
rg01_theta12p490_foil0	7819	0.0	-10.0	-8.0	4	5	0	0
rg01_theta12p490_foil0	7831	0.0	0.0	5.0	7	4	0	3
rg01_theta12p490_foil0	7835	0.0	5.0	10.0	8	4	0	4
rg01_theta12p490_foil0	7939	0.0	-8.0	-5.0	4	1	0	1
rg01_theta12p490_foil0	7955	0.0	-8.0	-5.0	5	1	0	1
rg01_theta12p490_foil0	8068	0.0	-8.0	-5.0	0	3	0	1
rg01_theta12p490_foil0	8309	0.0	5.0	10.0	3	5	0	4
rg01_theta12p490_foil0	8341	0.0	-5.0	0.0	7	4	0	2
rg01_theta12p490_foil0	8488	0.0	5.0	10.0	4	2	0	4
rg01_theta12p490_foil0	8493	0.0	-8.0	-5.0	6	5	0	1
rg01_theta12p490_foil0	8938	0.0	5.0	10.0	5	1	0	4
rg01_theta12p490_foil0	9224	0.0	5.0	10.0	2	5	0	4
rg01_theta12p490_foil0	9271	0.0	-8.0	-5.0	3	3	0	1
rg01_theta12p490_foil0	9376	0.0	-10.0	-8.0	1	6	0	0
rg01_theta12p490_foil0	9482	0.0	0.0	5.0	3	3	0	3
rg01_theta12p490_foil0	9770	0.0	-10.0	-8.0	1	5	0	0
rg01_theta12p490_foil0	10003	0.0	-10.0	-8.0	0	5	0	0
rg01_theta12p490_foil0	10323	0.0	-5.0	0.0	4	2	0	2
rg01_theta12p490_foil0	10405	0.0	-5.0	0.0	5	4	0	2
rg01_theta12p490_foil0	10637	0.0	5.0	10.0	6	2	0	4
rg01_theta12p490_foil0	10758	0.0	-5.0	0.0	7	5	0	2
rg01_theta12p490_foil0	10950	0.0	-10.0	-8.0	3	6	0	0
rg01_theta12p490_foil0	11041	0.0	5.0	10.0	5	1	0	4
rg01_theta12p490_foil0	11075	0.0	-8.0	-5.0	6	3	0	1
rg01_theta12p490_foil0	11116	0.0	5.0	10.0	5	6	0	4
rg01_theta12p490_foil0	11132	0.0	-10.0	-8.0	1	2	0	0
rg01_theta12p490_foil0	11136	0.0	-10.0	-8.0	2	5	0	0
rg01_theta12p490_foil0	11339	0.0	-10.0	-8.0	7	4	0	0
rg01_theta12p490_foil0	11362	0.0	-5.0	0.0	6	2	0	2
rg01_theta12p490_foil0	11537	0.0	0.0	5.0	6	1	0	3
rg01_theta12p490_foil0	11610	0.0	-5.0	0.0	7	3	0	2
rg01_theta12p490_foil0	11689	0.0	-5.0	0.0	4	7	0	2
rg01_theta12p490_foil0	11916	0.0	5.0	10.0	5	2	0	4
rg01_theta12p490_foil0	12004	0.0	0.0	5.0	4	3	0	3
rg01_theta12p490_foil0	12124	0.0	0.0	5.0	2	7	0	3
rg01_theta12p490_foil0	12132	0.0	-10.0	-8.0	1	4	0	0
rg01_theta12p490_foil0	12153	0.0	-8.0	-5.0	2	6	0	1
rg01_theta12p490_foil0	12220	0.0	0.0	5.0	2	6	0	3
rg01_theta12p490_foil0	12318	0.0	5.0	10.0	6	3	0	4
rg01_theta12p490_foil0	12334	0.0	0.0	5.0	4	5	0	3
rg01_theta12p490_foil0	12643	0.0	-5.0	0.0	5	7	0	2
rg01_theta12p490_foil0	12876	0.0	-5.0	0.0	0	6	0	2
rg01_theta12p490_foil0	13106	0.0	5.0	10.0	2	2	0	4
rg01_theta12p490_foil0	13125	0.0	0.0	5.0	0	4	0	3
rg01_theta12p490_foil0	13237	0.0	5.0	10.0	6	7	0	4
rg01_theta12p490_foil0	13284	0.0	5.0	10.0	7	5	0	4
rg01_theta12p490_foil0	13346	0.0	-8.0	-5.0	1	6	0	1
rg01_theta12p490_foil0	13358	0.0	5.0	10.0	5	6	0	4
rg01_theta12p490_foil0	13408	0.0	-10.0	-8.0	3	2	0	0
rg01_theta12p490_foil0	13416	0.0	-8.0	-5.0	2	1	0	1
rg01_theta12p490_foil0	13599	0.0	0.0	5.0	5	7	0	3
rg01_theta12p490_foil0	13706	0.0	5.0	10.0	5	1	0	4
rg01_theta12p490_foil0	13729	0.0	-8.0	-5.0	5	7	0	1
rg01_theta12p490_foil0	15709	0.0	-10.0	-8.0	7	6	0	0
rg01_theta12p490_foil0	16503	0.0	-8.0	-5.0	7	3	0	1
rg01_theta12p490_foil0	16747	0.0	-8.0	-5.0	5	2	0	1
rg01_theta12p490_foil0	16806	0.0	5.0	10.0	1	4	0	4
rg01_theta12p490_foil0	17098	0.0	-10.0	-8.0	6	3	0	0
rg01_theta12p490_foil0	17107	0.0	-10.0	-8.0	2	4	0	0
rg01_theta12p490_foil0	17227	0.0	-10.0	-8.0	7	3	0	0
rg01_theta12p490_foil0	17372	0.0	5.0	10.0	0	2	0	4
rg01_theta12p490_foil0	17383	0.0	-5.0	0.0	3	3	0	2
rg01_theta12p490_foil0	17537	0.0	-8.0	-5.0	5	4	0	1
rg01_theta12p490_foil0	17635	0.0	5.0	10.0	5	1	0	4
rg01_theta12p490_foil0	17662	0.0	-8.0	-5.0	6	1	0	1
rg01_theta12p490_foil0	17853	0.0	5.0	10.0	6	6	0	4
rg01_theta12p490_foil0	17927	0.0	5.0	10.0	3	4	0	4
rg01_theta12p490_foil0	17959	0.0	0.0	5.0	8	2	0	3
rg01_theta12p490_foil0	18064	0.0	-10.0	-8.0	4	2	0	0
rg01_theta12p490_foil0	18065	0.0	-5.0	0.0	3	6	0	2
rg01_theta12p490_foil0	18107	0.0	0.0	5.0	2	2	0	3
rg01_theta12p490_foil0	29015	0.0	-10.0	-8.0	5	2	0	0
rg01_theta12p490_foil0	29117	0.0	5.0	10.0	5	2	0	4
rg01_theta12p490_foil0	29534	0.0	-8.0	-5.0	8	4	0	1
rg01_theta12p490_foil0	29770	0.0	-5.0	0.0	2	7	0	2
rg01_theta12p490_foil0	29901	0.0	0.0	5.0	2	1	0	3
rg01_theta12p490_foil0	29955	0.0	-10.0	-8.0	6	3	0	0
rg01_theta12p490_foil0	30067	0.0	-5.0	0.0	0	5	0	2
rg01_theta12p490_foil0	30450	0.0	-8.0	-5.0	1	5	0	1
rg01_theta12p490_foil0	30946	0.0	-5.0	0.0	3	3	0	2
rg01_theta12p490_foil0	31194	0.0	-5.0	0.0	4	6	0	2
rg01_theta12p490_foil0	31254	0.0	5.0	10.0	2	7	0	4
rg01_theta12p490_foil0	31353	0.0	0.0	5.0	2	4	0	3
rg01_theta12p490_foil0	31477	0.0	-8.0	-5.0	7	3	0	1
rg01_theta12p490_foil0	31549	0.0	5.0	10.0	7	2	0	4
rg01_theta12p490_foil0	31682	0.0	0.0	5.0	1	4	0	3
rg01_theta12p490_foil0	31790	0.0	-8.0	-5.0	8	2	0	1
rg01_theta12p490_foil0	31919	0.0	-10.0	-8.0	1	2	0	0
rg01_theta12p490_foil0	31967	0.0	-10.0	-8.0	2	4	0	0
rg01_theta12p490_foil0	31977	0.0	-10.0	-8.0	3	4	0	0
rg01_theta12p490_foil0	32089	0.0	-10.0	-8.0	7	4	0	0
rg01_theta12p490_foil0	32395	0.0	-8.0	-5.0	1	4	0	1
rg01_theta12p490_foil0	32397	0.0	5.0	10.0	7	2	0	4
rg01_theta12p490_foil0	32595	0.0	-5.0	0.0	6	3	0	2
rg01_theta12p490_foil0	32906	0.0	-10.0	-8.0	3	3	0	0
rg01_theta12p490_foil0	32972	0.0	5.0	10.0	4	4	0	4
rg01_theta12p490_foil0	32983	0.0	0.0	5.0	0	2	0	3
rg01_theta12p490_foil0	33033	0.0	0.0	5.0	5	6	0	3
rg01_theta12p490_foil0	33078	0.0	5.0	10.0	4	7	0	4
rg01_theta12p490_foil0	33661	0.0	5.0	10.0	4	1	0	4
rg01_theta12p490_foil0	33931	0.0	-5.0	0.0	0	2	0	2
rg01_theta12p490_foil0	33986	0.0	-10.0	-8.0	6	5	0	0
rg01_theta12p490_foil0	34289	0.0	0.0	5.0	3	4	0	3
rg01_theta12p490_foil0	34378	0.0	5.0	10.0	1	2	0	4
rg01_theta12p490_foil0	34473	0.0	5.0	10.0	5	6	0	4
rg01_theta12p490_foil0	34538	0.0	-10.0	-8.0	8	5	0	0
rg01_theta12p490_foil0	34556	0.0	5.0	10.0	6	4	0	4
rg01_theta12p490_foil0	34730	0.0	-5.0	0.0	1	6	0	2
rg01_theta12p490_foil0	34772	0.0	-5.0	0.0	4	1	0	2
rg01_theta12p490_foil0	34886	0.0	0.0	5.0	8	6	0	3
rg01_theta12p490_foil0	35054	0.0	0.0	5.0	0	2	0	3
rg01_theta12p490_foil0	35081	0.0	5.0	10.0	2	1	0	4
rg01_theta12p490_foil0	35400	0.0	5.0	10.0	8	5	0	4
rg01_theta12p490_foil0	35437	0.0	5.0	10.0	6	1	0	4
rg01_theta12p490_foil0	35517	0.0	-10.0	-8.0	1	3	0	0
rg01_theta12p490_foil0	35775	0.0	-10.0	-8.0	3	6	0	0
rg01_theta12p490_foil0	35808	0.0	-8.0	-5.0	2	6	0	1
rg01_theta12p490_foil0	35949	0.0	-5.0	0.0	3	5	0	2
rg01_theta12p490_foil0	36028	0.0	-10.0	-8.0	8	6	0	0
rg01_theta12p490_foil0	36174	0.0	-8.0	-5.0	3	3	0	1
