rungroup	foil	zfoil	ndel	delta_low	delta_high	available	capacity	quota	surplus	excluded_core	total	holdout	holdout_core	noncore_development	geometry_excluded_development	actual_selected	q_hole	hole_cap	vanished
rg01_theta12p490_foil0	0	0.0	0	-10.0	-8.0	12817	9129	1536	11281	0	22100	4437	3203	4846	120	1536	175.5	263	False
rg01_theta12p490_foil0	0	0.0	1	-8.0	-5.0	24423	14904	1497	22926	0	38901	7807	6099	6671	79	1497	247.0	370	False
rg01_theta12p490_foil0	0	0.0	2	-5.0	0.0	43398	26092	1432	41966	0	67428	13514	10842	10516	55	1432	401.0	601	False
rg01_theta12p490_foil0	0	0.0	3	0.0	5.0	37687	21538	1512	36175	0	60696	12163	9526	10846	44	1512	336.0	504	False
rg01_theta12p490_foil0	0	0.0	4	5.0	10.0	27194	11911	1955	25239	0	43403	8707	6822	7502	15	1955	189.25	283	False
rg02_theta15p195_foil0	0	0.0	0	-10.0	-8.0	1850	1209	1205	645	0	3184	655	473	679	10	1205	24.0	36	False
rg02_theta15p195_foil0	0	0.0	1	-8.0	-5.0	3383	2162	1245	2138	0	5341	1093	860	865	3	1245	41.0	61	False
rg02_theta15p195_foil0	0	0.0	2	-5.0	0.0	5273	2875	1310	3963	0	8098	1641	1319	1184	8	1310	47.0	70	False
rg02_theta15p195_foil0	0	0.0	3	0.0	5.0	3362	1582	1229	2133	0	5402	1106	862	934	4	1229	27.0	40	False
rg02_theta15p195_foil0	0	0.0	4	5.0	10.0	1564	786	786	778	0	2475	512	398	399	0	786	18.5	27	False
rg03_theta12p490_foilpm8	0	-8.0	0	-10.0	-8.0	2431	1286	1233	1198	0	4597	944	574	1222	39	1233	24.5	36	False
rg03_theta12p490_foilpm8	0	-8.0	1	-8.0	-5.0	4978	3045	937	4041	0	8486	1721	1224	1787	31	937	49.75	74	False
rg03_theta12p490_foilpm8	0	-8.0	2	-5.0	0.0	8642	5598	932	7710	0	13698	2760	2180	2296	22	932	92.25	138	False
