pool	rungroup	zfoil	delta_low	delta_high	xscol	yscol	available	fit	surplus
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	2	104	83	21
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	3	204	163	41
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	4	244	195	49
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	5	272	217	55
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	0	6	55	44	11
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	2	127	101	26
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	3	231	184	47
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	4	339	271	68
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	5	342	273	69
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	1	6	184	147	37
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	2	167	133	34
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	4	390	312	78
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	5	423	338	85
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	2	6	381	304	77
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	2	212	169	43
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	3	321	256	65
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	4	409	327	82
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	5	527	361	166
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	3	6	591	361	230
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	2	207	165	42
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	3	403	322	81
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	4	144	115	29
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	5	570	361	209
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	4	6	647	361	286
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	2	196	156	40
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	3	360	288	72
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	4	441	352	89
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	5	6	714	361	353
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-10.0	-8.0	6	2	134	107	27
