entry	reason
34301	missing_axis
93044	missing_axis
146387	missing_axis
208900	missing_axis
231632	missing_axis
253716	missing_axis
256489	missing_axis
257889	missing_axis
272974	missing_axis
274382	missing_axis
275643	missing_axis
282701	missing_axis
325830	missing_axis
351244	missing_axis
375105	missing_axis
376664	missing_axis
383804	missing_axis
397189	missing_axis
414844	missing_axis
470681	missing_axis
491122	missing_axis
507690	missing_axis
532354	missing_axis
541177	missing_axis
542954	missing_axis
560293	missing_axis
560624	missing_axis
591539	missing_axis
617289	missing_axis
638707	missing_axis
669096	missing_axis
719213	missing_axis
726314	missing_axis
735036	missing_axis
742696	missing_axis
767315	missing_axis
792137	missing_axis
803331	missing_axis
827979	missing_axis
828133	missing_axis
830430	missing_axis
834421	missing_axis
847598	missing_axis
863320	missing_axis
874543	missing_axis
906678	missing_axis
912456	missing_axis
933002	missing_axis
