rungroup	foil	ndel	xscol	yscol	status	n_dev	n_core_dev	peak_x	peak_y	center_x	center_y	peak_density	background	shift
rg01_theta12p490_foil0	0	0	0	2	accepted	186	104	-9.800544749593797	-3.1726242286575603	-9.612669886099582	-3.224845202686603	0.6084241485524504	0.02551217391866229	0.015403723490828705
rg01_theta12p490_foil0	0	0	0	3	accepted	300	204	-9.715913605187227	-1.6570221042705406	-9.640915094424987	-1.6699093575456994	1.1462680811210282	0.02539386132674234	0.07174200423921358
rg01_theta12p490_foil0	0	0	0	4	accepted	359	244	-9.715913605187227	-0.0908999090706204	-9.779232422445752	-0.08892619282595304	1.4332159875211086	0.030041924845298128	0.05886478657923929
rg01_theta12p490_foil0	0	0	0	5	accepted	360	272	-10.054438182813511	1.4752222861292994	-10.015582817581798	1.4743368317878571	1.4959889031860838	0.02597084377962006	0.03154256944305622
rg01_theta12p490_foil0	0	0	0	6	accepted	90	55	-10.731487338066081	3.0413444813292196	-10.620643763399155	3.0613313511065012	0.32310554644188194	0.008640452775353021	0.04528785053774711
rg01_theta12p490_foil0	0	0	1	2	accepted	259	127	-7.600134995022948	-3.1726242286575603	-7.555697175352902	-3.180419219539216	1.0375807853134051	0.07997918711575507	0.0013669496685399134
rg01_theta12p490_foil0	0	0	1	3	accepted	296	231	-7.854028428242662	-1.6570221042705406	-7.8422283911435064	-1.6345930323679871	1.7197828513505033	0.02672303303008252	0.01896381107796326
rg01_theta12p490_foil0	0	0	1	4	accepted	432	339	-7.769397283836091	-0.0908999090706204	-7.860208261864703	-0.08029179637225024	2.0672368428492702	0.04609355062213697	0.0059372367433663175
rg01_theta12p490_foil0	0	0	1	5	accepted	464	342	-8.023290717055804	1.4752222861292994	-7.962516108471473	1.4632964074975106	2.2158386494198825	0.044697009772609105	0.008989699735701634
rg01_theta12p490_foil0	0	0	1	6	accepted	244	184	-8.023290717055804	3.0413444813292196	-8.08969023928341	3.0538568350570903	1.1402126308754106	0.029767857447375937	0.052062575007871606
rg01_theta12p490_foil0	0	0	2	2	accepted	273	167	-5.315094096045528	-3.1726242286575603	-5.395556123120841	-3.163350210096455	1.3046614293555168	0.04554864396025522	0.031044529272071634
rg01_theta12p490_foil0	0	0	2	3	unstable	72	3	-3.283946630287821	-1.5559819626447389	nan	nan	2.3392843155522582	0.024006003313255024	nan
rg01_theta12p490_foil0	0	0	2	4	accepted	568	390	-5.399725240452099	-0.0403798382577196	-5.386299050741755	-0.06218687225242698	2.980981350376064	0.03857031972783448	0.003883796659974005
rg01_theta12p490_foil0	0	0	2	5	accepted	613	423	-5.48435638485867	1.4247022153163986	-5.450826104889388	1.4350033595240348	3.01440794620747	0.05350830048620311	0.0014158200440268145
rg01_theta12p490_foil0	0	0	2	6	accepted	556	381	-5.48435638485867	2.9908244105163186	-5.4796465154699066	3.0172642628538204	2.8837207510240037	0.043273465822504784	0.014134087102952034
rg01_theta12p490_foil0	0	0	3	2	accepted	322	212	-2.945422052661537	-3.1726242286575603	-2.965343782482264	-3.1553810278862033	1.600181356452441	0.03675112468521027	0.011534440126992741
rg01_theta12p490_foil0	0	0	3	3	accepted	440	321	-2.945422052661537	-1.6065020334576396	-2.9403401279456918	-1.590593288416814	2.660580965754767	0.03090724495530309	0.009907369364514449
