rungroup	foil	ndel	xscol	yscol	available	training
rg01_theta12p490_foil0	0	0	0	2	184	13
rg01_theta12p490_foil0	0	0	0	3	307	22
rg01_theta12p490_foil0	0	0	0	4	374	24
rg01_theta12p490_foil0	0	0	0	5	346	23
rg01_theta12p490_foil0	0	0	1	2	255	16
rg01_theta12p490_foil0	0	0	1	3	343	17
rg01_theta12p490_foil0	0	0	1	4	484	38
rg01_theta12p490_foil0	0	0	1	5	519	35
rg01_theta12p490_foil0	0	0	1	6	222	18
rg01_theta12p490_foil0	0	0	2	2	294	16
rg01_theta12p490_foil0	0	0	2	3	63	7
rg01_theta12p490_foil0	0	0	2	4	650	48
rg01_theta12p490_foil0	0	0	2	5	683	53
rg01_theta12p490_foil0	0	0	2	6	603	40
rg01_theta12p490_foil0	0	0	3	2	340	37
rg01_theta12p490_foil0	0	0	3	3	513	36
rg01_theta12p490_foil0	0	0	3	4	620	51
rg01_theta12p490_foil0	0	0	3	5	794	55
rg01_theta12p490_foil0	0	0	3	6	945	60
rg01_theta12p490_foil0	0	0	4	2	359	21
rg01_theta12p490_foil0	0	0	4	3	583	45
rg01_theta12p490_foil0	0	0	4	4	186	12
rg01_theta12p490_foil0	0	0	4	5	865	75
rg01_theta12p490_foil0	0	0	4	6	1034	97
rg01_theta12p490_foil0	0	0	5	2	300	24
rg01_theta12p490_foil0	0	0	5	3	575	42
rg01_theta12p490_foil0	0	0	5	4	682	58
rg01_theta12p490_foil0	0	0	5	5	9	0
rg01_theta12p490_foil0	0	0	5	6	1117	97
rg01_theta12p490_foil0	0	0	6	2	193	16
rg01_theta12p490_foil0	0	0	6	3	373	31
rg01_theta12p490_foil0	0	0	6	4	530	36
rg01_theta12p490_foil0	0	0	6	5	705	51
rg01_theta12p490_foil0	0	0	6	6	927	65
rg01_theta12p490_foil0	0	0	7	2	96	3
rg01_theta12p490_foil0	0	0	7	3	214	20
rg01_theta12p490_foil0	0	0	7	4	368	21
rg01_theta12p490_foil0	0	0	7	5	423	29
rg01_theta12p490_foil0	0	0	7	6	569	48
rg01_theta12p490_foil0	0	0	8	2	44	3
rg01_theta12p490_foil0	0	0	8	3	91	8
rg01_theta12p490_foil0	0	0	8	4	147	14
rg01_theta12p490_foil0	0	0	8	5	246	20
rg01_theta12p490_foil0	0	0	8	6	285	23
rg01_theta12p490_foil0	0	1	0	2	205	18
rg01_theta12p490_foil0	0	1	0	3	320	20
rg01_theta12p490_foil0	0	1	0	4	524	47
rg01_theta12p490_foil0	0	1	0	5	567	50
rg01_theta12p490_foil0	0	1	1	2	334	25
rg01_theta12p490_foil0	0	1	1	3	537	36
rg01_theta12p490_foil0	0	1	1	4	795	56
rg01_theta12p490_foil0	0	1	1	5	925	65
rg01_theta12p490_foil0	0	1	1	6	669	47
rg01_theta12p490_foil0	0	1	2	2	449	30
rg01_theta12p490_foil0	0	1	2	4	979	83
rg01_theta12p490_foil0	0	1	2	5	1128	85
rg01_theta12p490_foil0	0	1	2	6	1208	92
rg01_theta12p490_foil0	0	1	3	1	31	2
rg01_theta12p490_foil0	0	1	3	2	571	41
rg01_theta12p490_foil0	0	1	3	3	821	67
rg01_theta12p490_foil0	0	1	3	4	1134	85
rg01_theta12p490_foil0	0	1	3	5	1416	110
rg01_theta12p490_foil0	0	1	3	6	1616	107
rg01_theta12p490_foil0	0	1	3	7	68	4
rg01_theta12p490_foil0	0	1	4	1	80	5
rg01_theta12p490_foil0	0	1	4	2	533	45
rg01_theta12p490_foil0	0	1	4	3	914	58
rg01_theta12p490_foil0	0	1	4	4	321	23
rg01_theta12p490_foil0	0	1	4	5	1550	114
rg01_theta12p490_foil0	0	1	4	6	1719	153
rg01_theta12p490_foil0	0	1	4	7	82	10
rg01_theta12p490_foil0	0	1	5	1	41	3
rg01_theta12p490_foil0	0	1	5	2	512	33
rg01_theta12p490_foil0	0	1	5	3	869	61
rg01_theta12p490_foil0	0	1	5	4	1155	77
rg01_theta12p490_foil0	0	1	5	6	1750	138
rg01_theta12p490_foil0	0	1	5	7	66	5
rg01_theta12p490_foil0	0	1	6	2	445	35
rg01_theta12p490_foil0	0	1	6	3	674	47
rg01_theta12p490_foil0	0	1	6	4	951	76
rg01_theta12p490_foil0	0	1	6	5	1258	93
rg01_theta12p490_foil0	0	1	6	6	1392	100
rg01_theta12p490_foil0	0	1	7	2	308	16
rg01_theta12p490_foil0	0	1	7	3	558	40
