target	fold	l1	alpha	mse	active	converged	dual_gap
xptar	0	0.1	0.1	0.0002496589825759399	35	True	9.787655409021354e-07
ytar	0	0.1	0.1	6.342999304601825e-05	61	True	9.976408233813287e-07
yptar	0	0.1	0.1	2.2018678091242738e-05	21	True	9.5399394879058e-07
xptar	0	0.1	0.03	7.879397040658558e-05	31	True	9.588512500444345e-07
ytar	0	0.1	0.03	2.9216888866858406e-05	68	True	9.948197388302577e-07
yptar	0	0.1	0.03	7.840925399782786e-06	38	True	9.898060717847364e-07
xptar	0	0.1	0.01	2.2859305921381583e-05	51	True	9.93117459130808e-07
ytar	0	0.1	0.01	1.3533153034576104e-05	86	True	9.999045890143307e-07
yptar	0	0.1	0.01	3.1775073898658478e-06	50	True	9.995573470702956e-07
xptar	0	0.1	0.003	8.673575231488957e-06	67	True	9.996438307986497e-07
ytar	0	0.1	0.003	6.453822584948556e-06	100	False	0.00022447796912024645
yptar	0	0.1	0.003	1.7374773544410663e-06	62	True	9.99628234508686e-07
xptar	0	0.1	0.001	5.273375257020283e-06	97	False	7.459290101875425e-06
ytar	0	0.1	0.001	4.111617193351179e-06	129	False	0.0006679054134175231
yptar	0	0.1	0.001	1.3789873742796433e-06	71	True	9.99690367644068e-07
xptar	0	0.1	0.0003	4.115423810243204e-06	116	False	1.5160916600983765e-05
ytar	0	0.1	0.0003	3.073993189315732e-06	154	False	0.0019044961559525214
yptar	0	0.1	0.0003	1.2590211775858514e-06	98	False	8.119506609621448e-05
xptar	0	0.1	0.0001	3.607307112019248e-06	134	False	7.035331763830885e-05
ytar	0	0.1	0.0001	2.624003239876257e-06	171	False	0.0038608525387045208
yptar	0	0.1	0.0001	1.2170199157222464e-06	130	False	4.819978172925885e-05
xptar	0	0.1	3e-05	3.2226859161816816e-06	165	False	0.0007142261195246754
ytar	0	0.1	3e-05	2.4374996137305415e-06	192	False	0.00604786011290403
yptar	0	0.1	3e-05	1.1979013376435645e-06	154	False	0.0011956823506629067
xptar	0	0.1	1e-05	3.0511275892060436e-06	195	False	0.0009449150866118783
ytar	0	0.1	1e-05	2.3817438345231966e-06	205	False	0.007005512863722462
yptar	0	0.1	1e-05	1.1919029814318755e-06	188	False	0.0019349731757474773
xptar	0	0.5	0.1	0.00030677829416268164	8	True	9.390291279606784e-07
ytar	0	0.5	0.1	9.65024295927067e-05	12	True	6.713202311288924e-07
yptar	0	0.5	0.1	2.639667019687604e-05	6	True	7.94896567428081e-07
xptar	0	0.5	0.03	7.310522513324824e-05	11	True	9.613551500290352e-07
ytar	0	0.5	0.03	3.1926285997591575e-05	20	True	9.885953534323717e-07
yptar	0	0.5	0.03	9.375970785787121e-06	8	True	9.239192759267772e-07
xptar	0	0.5	0.01	2.2392757423611303e-05	13	True	9.585680603713039e-07
ytar	0	0.5	0.01	1.3040303692036671e-05	34	True	9.939084525910211e-07
yptar	0	0.5	0.01	3.8191841648231106e-06	17	True	9.845482389111124e-07
xptar	0	0.5	0.003	1.0189781242678836e-05	30	True	9.8894674771853e-07
ytar	0	0.5	0.003	6.76331978396759e-06	45	True	9.97806028618046e-07
yptar	0	0.5	0.003	1.8688956074895836e-06	27	True	9.924535620971053e-07
xptar	0	0.5	0.001	6.387318589323473e-06	40	True	9.99665519791159e-07
ytar	0	0.5	0.001	4.307846254187982e-06	63	True	9.998431693421828e-07
yptar	0	0.5	0.001	1.5003678445119314e-06	36	True	9.980088662830536e-07
xptar	0	0.5	0.0003	4.7614483194388904e-06	60	True	9.988393389939706e-07
ytar	0	0.5	0.0003	3.128392993101894e-06	91	False	0.0003474862696995701
yptar	0	0.5	0.0003	1.318237327886629e-06	53	True	9.99755249220917e-07
xptar	0	0.5	0.0001	3.948252917364059e-06	79	False	4.27642982570884e-06
ytar	0	0.5	0.0001	2.6267075370420716e-06	113	False	0.0006523034913778603
yptar	0	0.5	0.0001	1.2396953833126084e-06	73	False	4.0580948500775915e-06
xptar	0	0.5	3e-05	3.4098173188110246e-06	101	False	7.708801605479266e-05
ytar	0	0.5	3e-05	2.4381804362621618e-06	145	False	0.002516403909828025
yptar	0	0.5	3e-05	1.2054909865098046e-06	103	False	5.853437888408336e-05
xptar	0	0.5	1e-05	3.1306132293081397e-06	138	False	0.0005118818579359286
ytar	0	0.5	1e-05	2.3819915678338534e-06	169	False	0.004631881621469642
yptar	0	0.5	1e-05	1.1955779123732844e-06	126	False	0.0006758281716529218
xptar	0	0.9	0.1	0.0003515076679489074	3	True	6.887606129677451e-07
ytar	0	0.9	0.1	0.00011479704716716497	2	True	1.0439951292046428e-07
yptar	0	0.9	0.1	3.0282283330678654e-05	3	True	4.0239550174781737e-07
xptar	0	0.9	0.03	6.383984452787265e-05	9	True	9.389629244548146e-07
ytar	0	0.9	0.03	3.1488230985777164e-05	10	True	9.909094807430677e-07
yptar	0	0.9	0.03	1.0238269196336642e-05	3	True	9.31843760623954e-07
xptar	0	0.9	0.01	1.9588241114099548e-05	10	True	9.788776932535055e-07
ytar	0	0.9	0.01	1.1797446799518842e-05	17	True	9.83787096362027e-07
yptar	0	0.9	0.01	4.613809591218922e-06	12	True	9.983895057162375e-07
xptar	0	0.9	0.003	1.1943232282985593e-05	20	True	9.995221895064906e-07
ytar	0	0.9	0.003	6.927838109333976e-06	30	True	9.98302349783373e-07
yptar	0	0.9	0.003	1.9838511217280424e-06	14	True	9.93540365081137e-07
xptar	0	0.9	0.001	7.312115472426187e-06	35	True	9.983346682272793e-07
ytar	0	0.9	0.001	4.395731080849633e-06	49	True	9.994216575973008e-07
yptar	0	0.9	0.001	1.5523954888713588e-06	27	True	9.914813671996018e-07
xptar	0	0.9	0.0003	5.22646214018548e-06	49	True	9.990839624147028e-07
ytar	0	0.9	0.0003	3.1451603697709297e-06	66	False	4.857018278505929e-05
yptar	0	0.9	0.0003	1.3604956328231426e-06	43	True	9.992092546631758e-07
xptar	0	0.9	0.0001	4.190606191382133e-06	62	False	1.637009290085433e-06
ytar	0	0.9	0.0001	2.5999313354265956e-06	88	False	0.00044721317135189986
yptar	0	0.9	0.0001	1.271707289397719e-06	62	True	9.997705021191905e-07
xptar	0	0.9	3e-05	3.5917416389468955e-06	84	False	3.1531218858310605e-05
ytar	0	0.9	3e-05	2.4408546639735553e-06	110	False	0.001501127078361187
yptar	0	0.9	3e-05	1.211954526985469e-06	83	False	2.037557028209828e-05
xptar	0	0.9	1e-05	3.2070471826753235e-06	111	False	0.00041993593087908125
ytar	0	0.9	1e-05	2.3849437046750306e-06	150	False	0.0029923163102225166
yptar	0	0.9	1e-05	1.1984642224170634e-06	107	False	9.782870121345755e-05
xptar	1	0.1	0.1	0.00024979848973528024	34	True	9.691982861580596e-07
ytar	1	0.1	0.1	6.306378679738601e-05	61	True	9.979794934820923e-07
