target	l1	alpha	mse	se	active	converged
xptar	0.1	0.1	0.0002495380343494131	1.9490775470901636e-07	34.333333333333336	True
xptar	0.1	0.03	7.872037492806612e-05	7.698034775465176e-08	30.666666666666668	True
xptar	0.1	0.01	2.279025188416212e-05	3.454234510043367e-08	50.666666666666664	True
xptar	0.1	0.003	8.609412375792198e-06	3.5748876108078954e-08	67.0	True
xptar	0.1	0.001	5.2123396833061415e-06	3.054148431749622e-08	97.66666666666667	False
xptar	0.1	0.0003	4.066859233154082e-06	2.6265416795749977e-08	115.0	False
xptar	0.1	0.0001	3.5635766814158018e-06	2.3512052839136922e-08	132.0	False
xptar	0.1	3e-05	3.1854691371698153e-06	2.0540472567635022e-08	165.33333333333334	False
xptar	0.1	1e-05	3.0183146908306065e-06	1.9965118840889882e-08	193.33333333333334	False
xptar	0.5	0.1	0.000306925951561442	2.3769630911284607e-07	8.0	True
xptar	0.5	0.03	7.287981960838076e-05	1.1355169130584077e-07	11.333333333333334	True
xptar	0.5	0.01	2.2294082034261332e-05	5.2366448603878817e-08	13.0	True
xptar	0.5	0.003	1.0107689835258203e-05	4.128348429381176e-08	30.0	True
xptar	0.5	0.001	6.315231761133911e-06	3.766730899176895e-08	41.0	True
xptar	0.5	0.0003	4.7125299104520145e-06	2.446736272558168e-08	59.0	True
xptar	0.5	0.0001	3.901235824732942e-06	2.539567410344802e-08	78.0	False
xptar	0.5	3e-05	3.368519326109145e-06	2.218504388174074e-08	101.0	False
xptar	0.5	1e-05	3.0947663943641135e-06	2.0003288311572106e-08	137.33333333333334	False
xptar	0.9	0.1	0.00035123686410105237	1.5719113246679734e-07	3.0	True
xptar	0.9	0.03	6.351540517852301e-05	1.7343582333737016e-07	8.333333333333334	True
xptar	0.9	0.01	1.946445547378797e-05	7.370494587687446e-08	10.0	True
xptar	0.9	0.003	1.1862256471893318e-05	4.134607920405975e-08	18.666666666666668	True
xptar	0.9	0.001	7.2421438253717565e-06	3.6053690088994404e-08	34.333333333333336	True
xptar	0.9	0.0003	5.168680322988841e-06	2.9425553428527588e-08	49.0	True
xptar	0.9	0.0001	4.146331630163706e-06	2.2989229495202333e-08	65.0	False
xptar	0.9	3e-05	3.5499909020862798e-06	2.287987110177571e-08	82.66666666666667	False
