pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	n	qa_low	bias	rms	p95
training	overall						enet	xptar	68535	False	-5.3841794393641396e-14	2.1254097399279956	4.043421991134257
training	overall						enet	ytar	68535	False	6.830686239958299e-16	0.20503917538606975	0.4069406197811287
training	overall						enet	yptar	68535	False	1.3548365756056014e-15	1.142769585266859	2.2382611081033903
training	overall						enet	ztar	68535	False	0.002437692215853977	0.9179980533754138	1.818791403975857
training	overall						svd	xptar	68535	False	3.0960176358207493e-12	1.6246871784730048	3.104675490776087
training	overall						svd	ytar	68535	False	-1.1103807415780674e-13	0.14809765123535218	0.2974374238126646
training	overall						svd	yptar	68535	False	-1.031781454856228e-13	1.082027713479409	2.1103528201142483
training	overall						svd	ztar	68535	False	-0.001229241058322881	0.6615144939166985	1.3301688893211634
training	foil_delta	-8.0	0				enet	xptar	2741	False	-0.3180938772775373	3.163091052114228	6.276164616734421
training	foil_delta	-8.0	0				enet	ytar	2741	False	0.13899821411342603	0.31375872228378965	0.6117405257524657
training	foil_delta	-8.0	0				enet	yptar	2741	False	-0.5944474601663515	1.5162666656502728	2.9025902817220017
training	foil_delta	-8.0	0				enet	ztar	2741	False	0.6597146208658402	1.4993823098683998	2.9673472662046727
training	foil_delta	-8.0	0				svd	xptar	2741	False	0.1249390471582543	2.716771456979148	5.14901736292033
training	foil_delta	-8.0	0				svd	ytar	2741	False	0.07934761187564177	0.2363934226855679	0.45283633327019984
training	foil_delta	-8.0	0				svd	yptar	2741	False	-0.41350391020209926	1.3817113974782078	2.600032471068735
training	foil_delta	-8.0	0				svd	ztar	2741	False	0.37358106460527785	1.1400724184603697	2.176614002672098
training	setting	-8.0	0	rg03_theta12p490_foilpm8			enet	xptar	1233	False	-0.08001007143296683	2.9775430823701003	5.741747036438574
training	setting	-8.0	0	rg03_theta12p490_foilpm8			enet	ytar	1233	False	0.11496818216284732	0.3006706428428165	0.600306865901269
training	setting	-8.0	0	rg03_theta12p490_foilpm8			enet	yptar	1233	False	-0.447774178705785	1.4688496747322732	2.7733447498359083
training	setting	-8.0	0	rg03_theta12p490_foilpm8			enet	ztar	1233	False	0.5786256984746919	1.4997262548845445	2.984264276579351
training	setting	-8.0	0	rg03_theta12p490_foilpm8			svd	xptar	1233	False	0.4118303182225862	2.4176524959466086	4.638147755418364
