pool	level	zfoil	ndel	rungroup	xscol	yscol	n	qa_low	fold0	fold1	fold2
validation	overall						68535	False	22815	22863	22857
validation	foil_delta	-8.0	0				2741	False	911	918	912
validation	setting	-8.0	0	rg03_theta12p490_foilpm8			1233	False	407	415	411
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	21	False	7	7	7
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	34	False	11	11	12
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	13	False	4	5	4
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	6	True	2	2	2
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	34	False	11	12	11
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	34	False	11	12	11
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	34	False	11	11	12
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	15	False	5	5	5
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	32	False	11	10	11
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	34	False	11	11	12
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	35	False	11	12	12
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	7	True	2	2	3
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	3	1	17	False	6	5	6
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	3	2	34	False	11	11	12
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	3	3	34	False	11	11	12
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	34	False	11	12	11
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	34	False	12	11	11
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	26	False	8	9	9
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	23	False	8	8	7
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	35	False	12	12	11
validation	hole	-8.0	0	rg03_theta12p490_foilpm8	4	3	35	False	12	12	11
