pool	level	zfoil	ndel	rungroup	xscol	yscol	target	alpha	l1	model	n	median	p90	mse	cell_mse
validation	foil_delta	-8.0	0				xptar	0.0001	0.1	full_svd	2741	1.6344214201113836	4.1046124292387285	7.415036214523135	7.415036214523135
validation	foil_delta	-8.0	0				xptar	0.0001	0.1	refit_svd	2741	1.6414450532977534	4.177687178622802	7.515189582311132	7.515189582311132
validation	foil_delta	-8.0	0				xptar	3e-05	0.1	full_svd	2741	1.6344214201113836	4.1046124292387285	7.415036214523135	7.415036214523135
validation	foil_delta	-8.0	0				xptar	3e-05	0.1	refit_svd	2741	1.6508427323715589	4.088264442527224	7.439162954304363	7.439162954304363
validation	foil_delta	-8.0	0				xptar	0.0001	0.5	full_svd	2741	1.6344214201113836	4.1046124292387285	7.415036214523135	7.415036214523135
validation	foil_delta	-8.0	0				xptar	0.0001	0.5	refit_svd	2741	1.9158828297453911	4.66673020765063	8.769307057243205	8.769307057243205
validation	foil_delta	-8.0	0				xptar	3e-05	0.5	full_svd	2741	1.6344214201113836	4.1046124292387285	7.415036214523135	7.415036214523135
validation	foil_delta	-8.0	0				xptar	3e-05	0.5	refit_svd	2741	1.6866774788898802	4.299775214769666	7.765104882721827	7.765104882721827
validation	foil_delta	-8.0	0				ytar	0.0001	0.1	full_svd	2741	0.17516633322408776	0.3832483056416178	0.0562605039543907	0.0562605039543907
validation	foil_delta	-8.0	0				ytar	0.0001	0.1	refit_svd	2741	0.17545254141674294	0.3923273091009587	0.058112136248442955	0.058112136248442955
validation	foil_delta	-8.0	0				ytar	3e-05	0.1	full_svd	2741	0.17516633322408776	0.3832483056416178	0.0562605039543907	0.0562605039543907
validation	foil_delta	-8.0	0				ytar	3e-05	0.1	refit_svd	2741	0.17709432401155495	0.38835319719016553	0.057444968586657506	0.057444968586657506
validation	foil_delta	-8.0	0				ytar	0.0001	0.5	full_svd	2741	0.17516633322408776	0.3832483056416178	0.0562605039543907	0.0562605039543907
validation	foil_delta	-8.0	0				ytar	0.0001	0.5	refit_svd	2741	0.17993914816561082	0.4029451643835317	0.06018752513465057	0.06018752513465057
validation	foil_delta	-8.0	0				ytar	3e-05	0.5	full_svd	2741	0.17516633322408776	0.3832483056416178	0.0562605039543907	0.0562605039543907
validation	foil_delta	-8.0	0				ytar	3e-05	0.5	refit_svd	2741	0.17873644757760326	0.4024775924561968	0.06020237044051822	0.06020237044051822
validation	foil_delta	-8.0	0				yptar	0.0001	0.1	full_svd	2741	1.0061885267441837	2.2815183209398127	1.9264913465848015	1.9264913465848015
validation	foil_delta	-8.0	0				yptar	0.0001	0.1	refit_svd	2741	1.020808310787819	2.317162638698666	1.972104268376395	1.972104268376395
validation	foil_delta	-8.0	0				yptar	3e-05	0.1	full_svd	2741	1.0061885267441837	2.2815183209398127	1.9264913465848015	1.9264913465848015
validation	foil_delta	-8.0	0				yptar	3e-05	0.1	refit_svd	2741	1.0190479908066576	2.308407623026691	1.981629599865822	1.981629599865822
validation	foil_delta	-8.0	0				yptar	0.0001	0.5	full_svd	2741	1.0061885267441837	2.2815183209398127	1.9264913465848015	1.9264913465848015
validation	foil_delta	-8.0	0				yptar	0.0001	0.5	refit_svd	2741	1.0354066215887483	2.3095657631053146	2.004962004963121	2.004962004963121
validation	foil_delta	-8.0	0				yptar	3e-05	0.5	full_svd	2741	1.0061885267441837	2.2815183209398127	1.9264913465848015	1.9264913465848015
validation	foil_delta	-8.0	0				yptar	3e-05	0.5	refit_svd	2741	1.0276850014006638	2.303375284389085	1.9869396639765233	1.9869396639765233
validation	foil_delta	-8.0	1				xptar	0.0001	0.1	full_svd	2742	1.2952742277705132	3.0609918285531528	3.5774678173630186	3.5774678173630186
validation	foil_delta	-8.0	1				xptar	0.0001	0.1	refit_svd	2742	1.3464954934201856	3.2246711131388452	3.868505538541512	3.868505538541512
validation	foil_delta	-8.0	1				xptar	3e-05	0.1	full_svd	2742	1.2952742277705132	3.0609918285531528	3.5774678173630186	3.5774678173630186
validation	foil_delta	-8.0	1				xptar	3e-05	0.1	refit_svd	2742	1.2912172187506328	3.1011498729753177	3.6179557147352663	3.6179557147352663
validation	foil_delta	-8.0	1				xptar	0.0001	0.5	full_svd	2742	1.2952742277705132	3.0609918285531528	3.5774678173630186	3.5774678173630186
validation	foil_delta	-8.0	1				xptar	0.0001	0.5	refit_svd	2742	1.648412144518883	3.866197963128356	5.615160161714623	5.615160161714623
validation	foil_delta	-8.0	1				xptar	3e-05	0.5	full_svd	2742	1.2952742277705132	3.0609918285531528	3.5774678173630186	3.5774678173630186
validation	foil_delta	-8.0	1				xptar	3e-05	0.5	refit_svd	2742	1.4578269009440143	3.4415603229080314	4.32094448240565	4.32094448240565
validation	foil_delta	-8.0	1				ytar	0.0001	0.1	full_svd	2742	0.14110812166707348	0.3185654596387123	0.03912153389155601	0.03912153389155601
validation	foil_delta	-8.0	1				ytar	0.0001	0.1	refit_svd	2742	0.14298395646954348	0.32584955021777845	0.04028034692309373	0.04028034692309373
validation	foil_delta	-8.0	1				ytar	3e-05	0.1	full_svd	2742	0.14110812166707348	0.3185654596387123	0.03912153389155601	0.03912153389155601
validation	foil_delta	-8.0	1				ytar	3e-05	0.1	refit_svd	2742	0.1422930364820796	0.3232691805065702	0.039772051269657036	0.039772051269657036
validation	foil_delta	-8.0	1				ytar	0.0001	0.5	full_svd	2742	0.14110812166707348	0.3185654596387123	0.03912153389155601	0.03912153389155601
validation	foil_delta	-8.0	1				ytar	0.0001	0.5	refit_svd	2742	0.1463336461627515	0.3348597714681612	0.0419940292436421	0.0419940292436421
validation	foil_delta	-8.0	1				ytar	3e-05	0.5	full_svd	2742	0.14110812166707348	0.3185654596387123	0.03912153389155601	0.03912153389155601
validation	foil_delta	-8.0	1				ytar	3e-05	0.5	refit_svd	2742	0.1426873272729357	0.3333779040306928	0.04149768992889864	0.04149768992889864
validation	foil_delta	-8.0	1				yptar	0.0001	0.1	full_svd	2742	0.9061484357929337	2.1586264846074217	1.7230391033894161	1.7230391033894161
validation	foil_delta	-8.0	1				yptar	0.0001	0.1	refit_svd	2742	0.9066138392958547	2.1677846950944195	1.7500655451486675	1.7500655451486675
validation	foil_delta	-8.0	1				yptar	3e-05	0.1	full_svd	2742	0.9061484357929337	2.1586264846074217	1.7230391033894161	1.7230391033894161
validation	foil_delta	-8.0	1				yptar	3e-05	0.1	refit_svd	2742	0.9076010281369142	2.16143988867909	1.7447369012716853	1.7447369012716853
validation	foil_delta	-8.0	1				yptar	0.0001	0.5	full_svd	2742	0.9061484357929337	2.1586264846074217	1.7230391033894161	1.7230391033894161
validation	foil_delta	-8.0	1				yptar	0.0001	0.5	refit_svd	2742	0.9149925790453866	2.17204302000456	1.7818341972440002	1.7818341972440002
validation	foil_delta	-8.0	1				yptar	3e-05	0.5	full_svd	2742	0.9061484357929337	2.1586264846074217	1.7230391033894161	1.7230391033894161
validation	foil_delta	-8.0	1				yptar	3e-05	0.5	refit_svd	2742	0.9092782791073044	2.1775824735799163	1.7709329881264158	1.7709329881264158
validation	foil_delta	-8.0	2				xptar	0.0001	0.1	full_svd	2742	1.0450579402847167	2.4278584839491373	2.1614329574961024	2.1614329574961024
