target	alpha	l1	fold	model	terms	rank	condition	n	median	p90	mse	cell_mse
xptar	0.0001	0.1	0	full_svd	210	209	322539.6639478565	22815	1.0604173942709207	2.597939169568528	2.6763539577221827	2.7934533825334187
xptar	0.0001	0.1	0	refit_svd	132	131	188909.74009601393	22815	1.0816148773056673	2.6469963329343984	2.7827166072813294	2.9059822449645805
xptar	3e-05	0.1	0	full_svd	210	209	322539.6639478565	22815	1.0604173942709207	2.597939169568528	2.6763539577221827	2.7934533825334187
xptar	3e-05	0.1	0	refit_svd	151	150	250037.87915646666	22815	1.0638019700922179	2.6125223228289443	2.706016987729747	2.8232199973624112
xptar	0.0001	0.5	0	full_svd	210	209	322539.6639478565	22815	1.0604173942709207	2.597939169568528	2.6763539577221827	2.7934533825334187
xptar	0.0001	0.5	0	refit_svd	80	79	1974.5450536158296	22815	1.1699628430459144	2.9557557624169895	3.5502422554510877	3.701045454467523
xptar	3e-05	0.5	0	full_svd	210	209	322539.6639478565	22815	1.0604173942709207	2.597939169568528	2.6763539577221827	2.7934533825334187
xptar	3e-05	0.5	0	refit_svd	95	94	3268.071557770679	22815	1.1107674616140026	2.7292582935610885	2.9833904303948944	3.1161542326414935
ytar	0.0001	0.1	0	full_svd	210	209	322539.6639478565	22815	0.0953328923018356	0.24480806704374555	0.022199572110571813	0.023048727613212607
ytar	0.0001	0.1	0	refit_svd	166	165	78243.05056766	22815	0.0955211973409057	0.24443605407011273	0.022410144168338492	0.023259402774904972
ytar	3e-05	0.1	0	full_svd	210	209	322539.6639478565	22815	0.0953328923018356	0.24480806704374555	0.022199572110571813	0.023048727613212607
ytar	3e-05	0.1	0	refit_svd	178	177	138625.00859752542	22815	0.09528050888623421	0.2447102673080262	0.02230569176334224	0.023147906224549975
ytar	0.0001	0.5	0	full_svd	210	209	322539.6639478565	22815	0.0953328923018356	0.24480806704374555	0.022199572110571813	0.023048727613212607
ytar	0.0001	0.5	0	refit_svd	112	111	13300.725893067494	22815	0.09681467479813696	0.24681116379137125	0.022942606833609096	0.023798843697432442
ytar	3e-05	0.5	0	full_svd	210	209	322539.6639478565	22815	0.0953328923018356	0.24480806704374555	0.022199572110571813	0.023048727613212607
ytar	3e-05	0.5	0	refit_svd	134	133	7777.952452778595	22815	0.09652901917198281	0.24835979185790366	0.022895024282692567	0.02373941289682207
yptar	0.0001	0.1	0	full_svd	210	209	322539.6639478565	22815	0.7391422059965097	1.7904286281725608	1.1817330620769413	1.185073354291308
yptar	0.0001	0.1	0	refit_svd	129	128	12285.384763688791	22815	0.7386411007733271	1.7937461310564282	1.1862488463875343	1.1895551646690425
yptar	3e-05	0.1	0	full_svd	210	209	322539.6639478565	22815	0.7391422059965097	1.7904286281725608	1.1817330620769413	1.185073354291308
yptar	3e-05	0.1	0	refit_svd	145	144	32727.40186526641	22815	0.7381191141083068	1.7888090410270039	1.1830829555437368	1.1861257126719325
yptar	0.0001	0.5	0	full_svd	210	209	322539.6639478565	22815	0.7391422059965097	1.7904286281725608	1.1817330620769413	1.185073354291308
yptar	0.0001	0.5	0	refit_svd	75	74	1469.5358072832796	22815	0.7458543871099871	1.8033666849158825	1.2039200992136556	1.2079716358708446
yptar	3e-05	0.5	0	full_svd	210	209	322539.6639478565	22815	0.7391422059965097	1.7904286281725608	1.1817330620769413	1.185073354291308
yptar	3e-05	0.5	0	refit_svd	98	97	2070.5914204387423	22815	0.7396565298900919	1.7997346009122672	1.1951621703656257	1.1984078342676712
xptar	0.0001	0.1	1	full_svd	210	209	326283.42297849985	22863	1.0548688458283089	2.596026992203562	2.669083058069583	2.7907816061309223
xptar	0.0001	0.1	1	refit_svd	125	124	186148.65102064874	22863	1.070455455581959	2.6371908989828414	2.7648522257817563	2.892991322272107
xptar	3e-05	0.1	1	full_svd	210	209	326283.42297849985	22863	1.0548688458283089	2.596026992203562	2.669083058069583	2.7907816061309223
xptar	3e-05	0.1	1	refit_svd	155	154	254650.6005925516	22863	1.0632059263839029	2.595980316167088	2.6969569531416013	2.820025631790348
xptar	0.0001	0.5	1	full_svd	210	209	326283.42297849985	22863	1.0548688458283089	2.596026992203562	2.669083058069583	2.7907816061309223
xptar	0.0001	0.5	1	refit_svd	77	76	1527.482709684184	22863	1.1689122119743836	2.960624056911537	3.551462324579831	3.7117991932347905
xptar	3e-05	0.5	1	full_svd	210	209	326283.42297849985	22863	1.0548688458283089	2.596026992203562	2.669083058069583	2.7907816061309223
xptar	3e-05	0.5	1	refit_svd	93	92	3234.9116799289923	22863	1.1096118507486903	2.73410011293304	2.951863491247576	3.0985898666196454
ytar	0.0001	0.1	1	full_svd	210	209	326283.42297849985	22863	0.09549373163331015	0.24166156695996194	0.022094530203101453	0.0228720612890654
ytar	0.0001	0.1	1	refit_svd	162	161	77979.94562270083	22863	0.09661164958284264	0.2431318194655565	0.022396630707970953	0.02316036188124619
ytar	3e-05	0.1	1	full_svd	210	209	326283.42297849985	22863	0.09549373163331015	0.24166156695996194	0.022094530203101453	0.0228720612890654
ytar	3e-05	0.1	1	refit_svd	179	178	143916.19581971227	22863	0.09582769135492407	0.24307032247716762	0.022213063031565214	0.022984539388814274
ytar	0.0001	0.5	1	full_svd	210	209	326283.42297849985	22863	0.09549373163331015	0.24166156695996194	0.022094530203101453	0.0228720612890654
ytar	0.0001	0.5	1	refit_svd	111	110	9027.460251510818	22863	0.09760901510169583	0.24812789985802283	0.023163560200164714	0.02391501912587007
ytar	3e-05	0.5	1	full_svd	210	209	326283.42297849985	22863	0.09549373163331015	0.24166156695996194	0.022094530203101453	0.0228720612890654
ytar	3e-05	0.5	1	refit_svd	132	131	9101.548692353297	22863	0.0966529482705902	0.2441438295471136	0.022778545047952858	0.023546559805676832
yptar	0.0001	0.1	1	full_svd	210	209	326283.42297849985	22863	0.7291397227613371	1.7844860839570023	1.1767660333656624	1.177425312987375
yptar	0.0001	0.1	1	refit_svd	130	129	12950.37067569411	22863	0.7326547000673107	1.7925705695878	1.182483827716347	1.1830653952277244
yptar	3e-05	0.1	1	full_svd	210	209	326283.42297849985	22863	0.7291397227613371	1.7844860839570023	1.1767660333656624	1.177425312987375
yptar	3e-05	0.1	1	refit_svd	144	143	33023.15863689339	22863	0.7312784921126555	1.7941958190039322	1.1816749923429304	1.1817859573420628
yptar	0.0001	0.5	1	full_svd	210	209	326283.42297849985	22863	0.7291397227613371	1.7844860839570023	1.1767660333656624	1.177425312987375
yptar	0.0001	0.5	1	refit_svd	75	74	2399.013172946283	22863	0.7433048556809361	1.803619405425827	1.2037688537366416	1.2050399400781684
