target	alpha	l1	model	terms	terms_min	terms_max	condition	condition_min	condition_max	n	median	p90	mse	cell_mse
xptar	0.0001	0.1	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	1.0542923792652357	2.5931471158470347	2.655067352780492	2.7734664437978527
xptar	0.0001	0.1	refit_svd	128.33333333333334	125	132	188909.74009601393	186148.65102064874	191687.71888468077	68535	1.0748843573582523	2.6438800739816335	2.7584288430264996	2.883225327450804
xptar	3e-05	0.1	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	1.0542923792652357	2.5931471158470347	2.655067352780492	2.7734664437978527
xptar	3e-05	0.1	refit_svd	153.0	151	155	253977.7441152192	250037.87915646666	254650.6005925516	68535	1.0611864558569237	2.6049000782604494	2.683431553446088	2.8027852317873947
xptar	0.0001	0.5	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	1.0542923792652357	2.5931471158470347	2.655067352780492	2.7734664437978527
xptar	0.0001	0.5	refit_svd	78.0	77	80	1656.831480946903	1527.482709684184	1974.5450536158296	68535	1.1658270050092372	2.961874665271483	3.5453341323157734	3.6983109723027097
xptar	3e-05	0.5	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	1.0542923792652357	2.5931471158470347	2.655067352780492	2.7734664437978527
xptar	3e-05	0.5	refit_svd	94.33333333333333	93	95	3268.071557770679	3234.9116799289923	3304.6716586758826	68535	1.1033531947808144	2.7311511694781103	2.9483926953628803	3.08760445292789
ytar	0.0001	0.1	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	0.09526055842453106	0.24284238322085727	0.02209071831948259	0.022873843659626907
ytar	0.0001	0.1	refit_svd	165.33333333333334	162	168	78243.05056766	77979.94562270083	80232.40370688024	68535	0.09594490369815994	0.24370077290356323	0.022364794488212388	0.023141487835699203
ytar	3e-05	0.1	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	0.09526055842453106	0.24284238322085727	0.02209071831948259	0.022873843659626907
ytar	3e-05	0.1	refit_svd	177.0	174	179	138625.00859752542	125516.76240062636	143916.19581971227	68535	0.09563462817328595	0.24374989662574478	0.02227775529865531	0.023057028253292967
ytar	0.0001	0.5	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	0.09526055842453106	0.24284238322085727	0.02209071831948259	0.022873843659626907
ytar	0.0001	0.5	refit_svd	112.0	111	113	13300.725893067494	9027.460251510818	14307.072274739367	68535	0.09710250848811094	0.24718541008335826	0.022990621963342877	0.023762652927989816
ytar	3e-05	0.5	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	0.09526055842453106	0.24284238322085727	0.02209071831948259	0.022873843659626907
ytar	3e-05	0.5	refit_svd	130.66666666666666	126	134	7777.952452778595	5893.576846242418	9101.548692353297	68535	0.09619079562218488	0.24598625160524956	0.02277904502830879	0.02355616306536372
yptar	0.0001	0.1	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	0.7319598566300055	1.7843620717695283	1.1785475160044498	1.1808083527744813
yptar	0.0001	0.1	refit_svd	127.33333333333333	123	130	12285.384763688791	10267.697618596894	12950.37067569411	68535	0.7343180344228095	1.789305025048861	1.1850323743982498	1.1871786176092798
yptar	3e-05	0.1	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	0.7319598566300055	1.7843620717695283	1.1785475160044498	1.1808083527744813
yptar	3e-05	0.1	refit_svd	143.66666666666666	142	145	32727.40186526641	32417.424419466213	33023.15863689339	68535	0.7331242156597799	1.787313383504723	1.1827545116203544	1.1845056803992506
yptar	0.0001	0.5	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	0.7319598566300055	1.7843620717695283	1.1785475160044498	1.1808083527744813
yptar	0.0001	0.5	refit_svd	74.66666666666667	74	75	1469.5358072832796	1455.0474923039912	2399.013172946283	68535	0.740510910514476	1.8031963983623132	1.2024489860482095	1.2051129543993913
yptar	3e-05	0.5	full_svd	210.0	210	210	324472.504253172	322539.6639478565	326283.42297849985	68535	0.7319598566300055	1.7843620717695283	1.1785475160044498	1.1808083527744813
yptar	3e-05	0.5	refit_svd	95.66666666666667	94	98	2070.5914204387423	1983.9417286159266	3868.7772848000127	68535	0.7347271738502529	1.7965918503053808	1.19355673537661	1.1954161933966392
