target	alpha	l1	terms	rank	slopes	svd_cutoff	condition	full_mse	enet_mse	refit_mse	enet_ratio	refit_ratio
xptar	0.0001	0.1	132	131	131	1e-12	188909.74009601393	2.793453382533419e-06	3.610508734604651e-06	2.905982244964581e-06	1.2924893456894684	1.0402830643728544
xptar	3e-05	0.1	151	150	150	1e-12	250037.87915646666	2.793453382533419e-06	3.1990805128771602e-06	2.8232199973624115e-06	1.1452063359567763	1.0106558480678838
xptar	0.0001	0.5	80	79	79	1e-12	1974.5450536158296	2.793453382533419e-06	3.9479396179263135e-06	3.701045454467523e-06	1.4132827999248285	1.324899666344529
xptar	3e-05	0.5	95	94	94	1e-12	3268.071557770679	2.793453382533419e-06	3.3902033207963807e-06	3.116154232641493e-06	1.2136244485031504	1.1155203992756135
ytar	0.0001	0.1	166	165	165	1e-12	78243.05056766	2.304872761321261e-06	2.626299679044061e-06	2.3259402774904972e-06	1.1394553847469406	1.0091404248090292
ytar	3e-05	0.1	178	177	177	1e-12	138625.00859752542	2.304872761321261e-06	2.429499007041638e-06	2.3147906224549976e-06	1.054070770331346	1.004302997241397
ytar	0.0001	0.5	112	111	111	1e-12	13300.725893067494	2.304872761321261e-06	2.628069754824112e-06	2.3798843697432445e-06	1.1402233558947434	1.0325447936566283
ytar	3e-05	0.5	134	133	133	1e-12	7777.952452778595	2.304872761321261e-06	2.4339887391460834e-06	2.3739412896822067e-06	1.056018700898182	1.029966308561585
yptar	0.0001	0.1	129	128	128	1e-12	12285.384763688791	1.185073354291308e-06	1.2171355009405807e-06	1.1895551646690425e-06	1.0270549890714962	1.0037818843546733
yptar	3e-05	0.1	145	144	144	1e-12	32727.40186526641	1.185073354291308e-06	1.1975610174382122e-06	1.1861257126719324e-06	1.0105374600666572	1.0008880111740035
yptar	0.0001	0.5	75	74	74	1e-12	1469.5358072832796	1.185073354291308e-06	1.2397086420529681e-06	1.2079716358708446e-06	1.046102874192402	1.0193222482782343
yptar	3e-05	0.5	98	97	97	1e-12	2070.5914204387423	1.185073354291308e-06	1.205428448504484e-06	1.1984078342676712e-06	1.0171762314454775	1.0112520291913385
