rungroup	entry	fold
rg01_theta12p490_foil0	13	2
rg01_theta12p490_foil0	127	2
rg01_theta12p490_foil0	131	1
rg01_theta12p490_foil0	243	2
rg01_theta12p490_foil0	437	2
rg01_theta12p490_foil0	507	2
rg01_theta12p490_foil0	677	1
rg01_theta12p490_foil0	1102	1
rg01_theta12p490_foil0	1190	2
rg01_theta12p490_foil0	1300	2
rg01_theta12p490_foil0	1465	1
rg01_theta12p490_foil0	1959	1
rg01_theta12p490_foil0	2326	0
rg01_theta12p490_foil0	2373	1
rg01_theta12p490_foil0	2433	2
rg01_theta12p490_foil0	2434	2
rg01_theta12p490_foil0	2468	2
rg01_theta12p490_foil0	2663	2
rg01_theta12p490_foil0	2907	2
rg01_theta12p490_foil0	3247	2
rg01_theta12p490_foil0	3372	2
rg01_theta12p490_foil0	3397	1
rg01_theta12p490_foil0	3570	1
rg01_theta12p490_foil0	3664	1
rg01_theta12p490_foil0	3716	0
rg01_theta12p490_foil0	3873	0
rg01_theta12p490_foil0	3921	1
rg01_theta12p490_foil0	4074	2
rg01_theta12p490_foil0	4105	2
rg01_theta12p490_foil0	4165	0
rg01_theta12p490_foil0	4296	0
rg01_theta12p490_foil0	4367	2
rg01_theta12p490_foil0	4399	0
rg01_theta12p490_foil0	4451	1
rg01_theta12p490_foil0	4469	1
rg01_theta12p490_foil0	4892	2
rg01_theta12p490_foil0	4990	2
rg01_theta12p490_foil0	5029	0
rg01_theta12p490_foil0	5150	2
rg01_theta12p490_foil0	5153	2
rg01_theta12p490_foil0	5224	0
rg01_theta12p490_foil0	5234	1
rg01_theta12p490_foil0	5471	2
rg01_theta12p490_foil0	5521	1
rg01_theta12p490_foil0	5536	2
rg01_theta12p490_foil0	5766	0
rg01_theta12p490_foil0	6070	0
rg01_theta12p490_foil0	6124	0
rg01_theta12p490_foil0	6312	0
rg01_theta12p490_foil0	6322	0
rg01_theta12p490_foil0	6515	0
rg01_theta12p490_foil0	6601	2
rg01_theta12p490_foil0	6662	1
rg01_theta12p490_foil0	6816	0
rg01_theta12p490_foil0	6839	0
rg01_theta12p490_foil0	7308	2
rg01_theta12p490_foil0	7508	1
rg01_theta12p490_foil0	7665	0
rg01_theta12p490_foil0	7754	1
rg01_theta12p490_foil0	7819	2
rg01_theta12p490_foil0	7831	2
rg01_theta12p490_foil0	7835	1
rg01_theta12p490_foil0	7939	2
rg01_theta12p490_foil0	7955	0
rg01_theta12p490_foil0	8068	1
rg01_theta12p490_foil0	8309	0
rg01_theta12p490_foil0	8341	0
rg01_theta12p490_foil0	8488	0
rg01_theta12p490_foil0	8493	1
rg01_theta12p490_foil0	8938	1
rg01_theta12p490_foil0	9224	2
rg01_theta12p490_foil0	9271	2
rg01_theta12p490_foil0	9376	0
rg01_theta12p490_foil0	9482	0
rg01_theta12p490_foil0	9770	2
rg01_theta12p490_foil0	10003	2
rg01_theta12p490_foil0	10323	1
rg01_theta12p490_foil0	10405	1
rg01_theta12p490_foil0	10637	2
rg01_theta12p490_foil0	10758	2
rg01_theta12p490_foil0	10950	2
rg01_theta12p490_foil0	11041	1
rg01_theta12p490_foil0	11075	0
rg01_theta12p490_foil0	11116	0
rg01_theta12p490_foil0	11132	0
rg01_theta12p490_foil0	11136	1
rg01_theta12p490_foil0	11339	1
rg01_theta12p490_foil0	11362	0
rg01_theta12p490_foil0	11537	1
rg01_theta12p490_foil0	11610	0
rg01_theta12p490_foil0	11689	0
rg01_theta12p490_foil0	11916	2
rg01_theta12p490_foil0	12004	1
rg01_theta12p490_foil0	12124	0
rg01_theta12p490_foil0	12132	2
rg01_theta12p490_foil0	12153	2
rg01_theta12p490_foil0	12220	0
rg01_theta12p490_foil0	12318	0
rg01_theta12p490_foil0	12334	1
rg01_theta12p490_foil0	12643	0
rg01_theta12p490_foil0	12876	2
rg01_theta12p490_foil0	13106	2
rg01_theta12p490_foil0	13125	0
rg01_theta12p490_foil0	13237	2
rg01_theta12p490_foil0	13284	1
rg01_theta12p490_foil0	13346	2
rg01_theta12p490_foil0	13358	2
rg01_theta12p490_foil0	13408	1
rg01_theta12p490_foil0	13416	1
rg01_theta12p490_foil0	13599	2
rg01_theta12p490_foil0	13706	1
rg01_theta12p490_foil0	13729	1
rg01_theta12p490_foil0	15709	0
rg01_theta12p490_foil0	16503	2
rg01_theta12p490_foil0	16747	2
rg01_theta12p490_foil0	16806	1
rg01_theta12p490_foil0	17098	1
rg01_theta12p490_foil0	17107	2
rg01_theta12p490_foil0	17227	2
rg01_theta12p490_foil0	17372	0
rg01_theta12p490_foil0	17383	0
rg01_theta12p490_foil0	17537	2
rg01_theta12p490_foil0	17635	0
rg01_theta12p490_foil0	17662	1
rg01_theta12p490_foil0	17853	0
rg01_theta12p490_foil0	17927	0
rg01_theta12p490_foil0	17959	0
rg01_theta12p490_foil0	18064	2
rg01_theta12p490_foil0	18065	1
rg01_theta12p490_foil0	18107	1
rg01_theta12p490_foil0	29015	1
rg01_theta12p490_foil0	29117	1
rg01_theta12p490_foil0	29534	0
rg01_theta12p490_foil0	29770	2
rg01_theta12p490_foil0	29901	2
rg01_theta12p490_foil0	29955	1
rg01_theta12p490_foil0	30067	0
rg01_theta12p490_foil0	30450	1
rg01_theta12p490_foil0	30946	0
rg01_theta12p490_foil0	31194	2
rg01_theta12p490_foil0	31254	0
rg01_theta12p490_foil0	31353	0
rg01_theta12p490_foil0	31477	2
rg01_theta12p490_foil0	31549	2
rg01_theta12p490_foil0	31682	0
rg01_theta12p490_foil0	31790	1
rg01_theta12p490_foil0	31919	0
rg01_theta12p490_foil0	31967	1
rg01_theta12p490_foil0	31977	1
rg01_theta12p490_foil0	32089	1
rg01_theta12p490_foil0	32395	2
rg01_theta12p490_foil0	32397	1
rg01_theta12p490_foil0	32595	1
rg01_theta12p490_foil0	32906	1
rg01_theta12p490_foil0	32972	1
rg01_theta12p490_foil0	32983	2
rg01_theta12p490_foil0	33033	2
rg01_theta12p490_foil0	33078	1
rg01_theta12p490_foil0	33661	1
rg01_theta12p490_foil0	33931	0
rg01_theta12p490_foil0	33986	2
rg01_theta12p490_foil0	34289	2
rg01_theta12p490_foil0	34378	0
rg01_theta12p490_foil0	34473	0
rg01_theta12p490_foil0	34538	1
rg01_theta12p490_foil0	34556	2
rg01_theta12p490_foil0	34730	0
rg01_theta12p490_foil0	34772	0
rg01_theta12p490_foil0	34886	1
rg01_theta12p490_foil0	35054	2
rg01_theta12p490_foil0	35081	2
rg01_theta12p490_foil0	35400	2
rg01_theta12p490_foil0	35437	1
rg01_theta12p490_foil0	35517	2
rg01_theta12p490_foil0	35775	0
rg01_theta12p490_foil0	35808	2
rg01_theta12p490_foil0	35949	2
