fold	terms	rank	condition	model	target
0	210	209	322539.663947866	svd	xptar
1	210	209	326283.4229785012	svd	xptar
2	210	209	324472.5042531602	svd	xptar
0	210	209	322539.663947866	svd	ytar
1	210	209	326283.4229785012	svd	ytar
2	210	209	324472.5042531602	svd	ytar
0	210	209	322539.663947866	svd	yptar
1	210	209	326283.4229785012	svd	yptar
2	210	209	324472.5042531602	svd	yptar
0	95	94	3286.7054828497726	start	xptar
1	95	94	3335.045082957067	start	xptar
2	95	94	3304.6716586758857	start	xptar
0	132	131	9084.864197757548	start	ytar
1	132	131	9101.548692353346	start	ytar
2	132	131	9026.019136708574	start	ytar
0	75	74	1469.5358072832769	start	yptar
1	75	74	1470.434850662737	start	yptar
2	75	74	1479.8254098142531	start	yptar
0	110	109	17792.212466145502	beam	xptar
1	110	109	17799.54123566678	beam	xptar
2	110	109	17741.498028209167	beam	xptar
0	142	141	18483.930528408273	beam	ytar
1	142	141	18555.523931429416	beam	ytar
2	142	141	18440.352337309258	beam	ytar
0	78	77	1643.501203421492	beam	yptar
1	78	77	1656.0383663117566	beam	yptar
2	78	77	1673.4229569744284	beam	yptar
