pool	level	zfoil	ndel	rungroup	xscol	yscol	n	qa_low
development	overall						68535	False
development	foil_delta	-8.0	0				2741	False
development	setting	-8.0	0	rg03_theta12p490_foilpm8			1233	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	0	3	21	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	0	4	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	13	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	6	True
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	15	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	32	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	35	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	7	True
development	hole	-8.0	0	rg03_theta12p490_foilpm8	3	1	17	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	3	2	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	3	3	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	3	4	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	3	5	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	3	6	26	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	4	1	23	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	4	2	35	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	4	3	35	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	4	4	27	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	4	5	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	4	6	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	5	1	14	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	5	2	35	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	5	3	35	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	5	4	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	5	6	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	6	1	7	True
development	hole	-8.0	0	rg03_theta12p490_foilpm8	6	2	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	6	3	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	6	4	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	6	5	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	6	6	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	7	2	22	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	7	3	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	7	4	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	7	5	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	7	6	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	8	3	12	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	8	4	34	False
development	hole	-8.0	0	rg03_theta12p490_foilpm8	8	5	34	False
development	setting	-8.0	0	rg06_theta15p195_foilpm8			737	False
