target	step	score	terms	condition	evaluated	seconds
xptar	0	3.083440125525995	95	3335.045082957067	3	0.006823195144534111
xptar	1	3.0381945167152997	96	3960.544399954082	630	0.9177519138902426
xptar	2	2.9881776046126207	97	4032.372938964658	1461	2.030827673152089
xptar	3	2.9428773791184097	98	4123.162465548747	2288	3.113032369874418
xptar	4	2.9185517797536904	99	5131.845073714692	3114	4.235307399183512
xptar	5	2.8909230215612673	100	14060.524085241466	3939	5.473817685153335
xptar	6	2.8776253677346313	101	14558.9406248022	4767	6.711962440051138
xptar	7	2.862311618554537	102	14675.61830692414	5593	7.984427549876273
xptar	8	2.855903604299903	103	14792.385213303802	6419	9.264891950879246
xptar	9	2.8335255136309816	104	16603.049852038515	7240	10.595874669030309
xptar	10	2.82611711667386	105	17267.61969258468	8065	11.879730716813356
xptar	11	2.82143643757718	106	17312.54703937344	8887	13.1576675940305
xptar	12	2.819677621059458	107	17363.942703036893	9709	14.60152234416455
xptar	13	2.8177147178939523	108	17427.586247393723	10527	15.881810729857534
xptar	14	2.815774997364946	109	17500.09592737823	11350	17.165174315217882
xptar	15	2.8138503901262446	110	17598.522519092345	12175	18.41068775812164
xptar	16	2.8051463617851646	111	17900.41026090518	13000	19.865330166183412
xptar	17	2.803540248503137	112	18026.09717721015	13822	21.15567714907229
xptar	18	2.799848461950158	113	18101.941783778828	14644	22.494741395115852
xptar	19	2.798677297833014	114	18211.121550716718	15469	23.91384757682681
xptar	20	2.7967185949561015	115	32017.89754536334	16289	25.345658449921757
ytar	0	0.023471982497455243	132	9101.548692353346	3	0.009206350892782211
ytar	1	0.02340592033635857	133	9170.264245856923	630	1.3186765327118337
ytar	2	0.023257023124135176	134	9300.200610369859	1460	3.386645184829831
ytar	3	0.02321412459039664	135	9382.282271723767	2286	5.741512729786336
ytar	4	0.023178180025591053	136	9895.08535494429	3107	7.854100257158279
ytar	5	0.023149216495102334	137	19443.301814073875	3928	9.772958436049521
ytar	6	0.023119721682117955	138	18222.75547485101	4750	11.517929777037352
ytar	7	0.023097131265564654	139	18240.00158573224	5574	13.276927251834422
ytar	8	0.02307823446804854	140	18319.368291117502	6395	15.225742103066295
ytar	9	0.023064653702228762	141	18330.63315305815	7219	17.480634403880686
ytar	10	0.023048006405856095	142	18403.48453649495	8041	19.477744136936963
ytar	11	0.023033268568834166	143	18598.690842209304	8864	21.412420344073325
ytar	12	0.02301832554671886	144	18805.246889160208	9690	23.209903529845178
ytar	13	0.02300668117577629	145	21413.008303166145	10516	25.27922462299466
ytar	14	0.022994530696252548	146	21568.915892146208	11340	27.49846929591149
ytar	15	0.022985183184513234	147	21744.169345668623	12164	29.430885361973196
ytar	16	0.022970969816848073	148	22119.482064591422	12983	31.26719559310004
ytar	17	0.02296022015975271	149	22209.041581802347	13806	33.17250521807
ytar	18	0.022952078923402293	148	21937.581260060997	14628	35.32307110214606
ytar	19	0.022935675552335114	151	22657.607569597178	15450	37.09768126485869
ytar	20	0.02292599405600909	152	24680.53947549864	16272	39.101007007062435
yptar	0	1.203115078576974	75	1479.8254098142531	3	0.008043235633522272
yptar	1	1.1984958786245399	76	1505.6515553812021	630	0.6513798478990793
yptar	2	1.1958820825159577	76	1504.2766403217076	1461	1.509601239580661
yptar	3	1.1946504213427778	77	1505.773318279711	2283	2.521990215871483
yptar	4	1.1938374877435798	78	1603.434472824514	3105	3.589818053878844
yptar	5	1.193145859069717	79	1690.9738999612214	3929	4.7083290866576135
yptar	6	1.1913441881082647	80	1902.9215522517704	4749	5.780573688913137
yptar	7	1.19021762885845	81	2422.5421166626825	5572	6.724001278635114
yptar	8	1.1896885271141915	82	2452.4238554984154	6394	7.674274047836661
yptar	9	1.1890296609273947	83	2436.7084770817887	7216	8.665975717827678
yptar	10	1.188571442570862	84	2468.259603141677	8041	9.661769272759557
yptar	11	1.1881447708362143	85	2475.3247021600096	8861	10.653986301738769
yptar	12	1.1878405013854525	86	2506.5819324167355	9685	11.62308510672301
yptar	13	1.187419553331598	87	2477.317709904551	10506	12.750785646028817
yptar	14	1.1870975652235087	88	2493.5462866941157	11328	13.83521288074553
