model	target	cell_mse	n	bias	spread	rms	median	p90
svd	xptar	2.77346644379787	68535	-0.0002623784538820746	1.629437720177744	1.6294377413023478	1.0542923792667205	2.593147115847102
svd	ytar	0.022873843659626702	68535	4.239807024620551e-05	0.14862946047767953	0.1486294665249205	0.0952605584245269	0.24284238322085375
svd	yptar	1.1808083527744795	68535	-0.0004185133250419264	1.0856092026374162	1.0856092833079727	0.7319598566301165	1.7843620717695516
svd	ztar	0.45618478412339386	68535	-0.0010652975412144491	0.6638371075292722	0.6638379623008026	0.41848202618048447	1.0843931197427572
start	xptar	3.083440125525986	68535	2.810332070837752e-05	1.715981588404563	1.7159815886346925	1.1040199435154232	2.7287730371896926
start	ytar	0.023471982497455208	68535	9.663552237981452e-06	0.1505996588109706	0.15059965912101192	0.09626874636090395	0.24524041191113946
start	yptar	1.2031150785769738	68535	-0.00015991386565135466	1.0957734045111822	1.0957734161798558	0.7398380192197075	1.8016942483822935
start	ztar	0.46911949812655607	68535	-0.0013419945557821271	0.6734104019641901	0.6734117391484647	0.42420293151525357	1.0966901306951153
beam	xptar	2.805022623555695	68535	-7.661494388025e-05	1.6387584132475135	1.6387584150384578	1.061830390587125	2.6109403564746225
beam	ytar	0.023028253343146513	68535	2.2867905983487138e-05	0.14916463195640667	0.14916463370930585	0.09534502746120777	0.243342102127245
beam	yptar	1.193020080241982	68535	-9.346257308280547e-05	1.0915163670239463	1.0915163710253764	0.7329425745625784	1.7928636935622146
beam	ztar	0.45991143481341445	68535	-0.0012445719489499144	0.6667268221178045	0.6667279837314786	0.41922809936469996	1.087500460775653
