fold	terms	rank	condition	model	target
0	210	209	322539.663947866	svd	xptar
1	210	209	326283.4229785012	svd	xptar
2	210	209	324472.5042531602	svd	xptar
0	210	209	322539.663947866	svd	ytar
1	210	209	326283.4229785012	svd	ytar
2	210	209	324472.5042531602	svd	ytar
0	210	209	322539.663947866	svd	yptar
1	210	209	326283.4229785012	svd	yptar
2	210	209	324472.5042531602	svd	yptar
0	95	94	3286.7054828497726	start	xptar
1	95	94	3335.045082957067	start	xptar
2	95	94	3304.6716586758857	start	xptar
0	132	131	9084.864197757548	start	ytar
1	132	131	9101.548692353346	start	ytar
2	132	131	9026.019136708574	start	ytar
0	75	74	1469.5358072832769	start	yptar
1	75	74	1470.434850662737	start	yptar
2	75	74	1479.8254098142531	start	yptar
0	111	110	17740.0944501277	beam	xptar
1	111	110	17740.307987726843	beam	xptar
2	111	110	17687.009763214643	beam	xptar
0	143	142	21021.784863135184	beam	ytar
1	143	142	20974.579953765406	beam	ytar
2	143	142	20741.566717580823	beam	ytar
0	78	77	1789.1423725216705	beam	yptar
1	78	77	1785.700846077936	beam	yptar
2	78	77	1799.559467086295	beam	yptar
