target	step	score	terms	condition	evaluated	seconds
xptar	0	3.083440125525995	95	3335.045082957067	3	0.0068459101021289825
xptar	1	3.0381945167152997	96	3960.544399954082	630	1.0648805401287973
xptar	2	2.9881776046126207	97	4032.372938964658	2698	3.9613285372033715
xptar	3	2.9428773791184097	98	4123.162465548747	4759	6.751033037900925
xptar	4	2.9185517797536904	99	5131.845073714692	6813	9.812350938096642
xptar	5	2.8909230215612673	100	14060.524085241466	8866	12.75906402990222
xptar	6	2.8776253677346313	101	14558.9406248022	10931	15.814798585139215
xptar	7	2.862311618554537	102	14675.61830692414	12991	19.44447499094531
xptar	8	2.8409454889205223	103	14897.388336641223	15049	23.056078898254782
xptar	9	2.8335255136309816	104	16603.049852038515	17102	26.673481184989214
xptar	10	2.82611711667386	105	17267.61969258468	19151	30.509104705881327
xptar	11	2.82143643757718	106	17312.54703937344	21205	34.172689577098936
xptar	12	2.8187223323624306	107	17213.682227046356	23250	37.88916449388489
xptar	13	2.8169760995809034	108	17278.35464264134	25286	41.61005054693669
xptar	14	2.8152507633185113	109	17355.068915032356	27332	45.22784899082035
xptar	15	2.8124495736646944	110	17430.948774654877	29394	48.94911798182875
xptar	16	2.8039805858541853	111	17743.644404296567	31450	52.58036168385297
xptar	17	2.8022363104289436	112	17832.95662827294	33475	56.49974107416347
xptar	18	2.799005390199643	113	17947.929699650947	35500	60.29258947214112
xptar	19	2.797471708631647	114	18030.961416335627	37529	63.84286479000002
xptar	20	2.795677783123241	115	31786.340272647063	39555	67.75514532905072
xptar	21	2.7942954129764104	116	31941.237752801673	41595	71.93319516722113
xptar	22	2.792943961490797	117	33822.013665142644	43632	76.13874224713072
xptar	23	2.791648513833782	118	34060.67643414585	45673	80.11916663823649
xptar	24	2.7908765896234926	119	33356.43461061647	47715	84.30386028112844
xptar	25	2.7899097667511756	120	34974.88433083148	49755	88.25505380611867
xptar	26	2.7891430677960334	121	35263.14782732779	51808	92.5039679822512
ytar	0	0.023471982497455243	132	9101.548692353346	3	0.009789271280169487
ytar	1	0.02340592033635857	133	9170.264245856923	630	1.3623266168870032
ytar	2	0.023257023124135176	134	9300.200610369859	2686	5.6734906318597496
ytar	3	0.02321412459039664	135	9382.282271723767	4741	9.945251181256026
ytar	4	0.023178180025591053	136	9895.08535494429	6763	14.409196588210762
ytar	5	0.023149216495102334	137	19443.301814073875	8805	18.78742641909048
ytar	6	0.023119721682117955	138	18222.75547485101	10844	23.18452616315335
ytar	7	0.023097131265564654	139	18240.00158573224	12895	27.826065252069384
ytar	8	0.02307820394417994	140	18292.03576133766	14929	32.17913038097322
ytar	9	0.023060811566641484	141	18384.366596311225	16977	36.71273427596316
ytar	10	0.02304639641366864	142	18466.791875652005	19021	41.114784699864686
ytar	11	0.023032851226898063	143	18625.336289317274	21067	45.98422296624631
ytar	12	0.02301832554671886	144	18805.246889160208	23119	50.42178113711998
ytar	13	0.02300668117577629	145	21413.008303166145	25170	54.894816040061414
ytar	14	0.022994530696252548	146	21568.915892146208	27226	59.57098301826045
ytar	15	0.022985183184513234	147	21744.169345668623	29281	64.27443653019145
ytar	16	0.022970969816848073	148	22119.482064591422	31328	69.0807472532615
ytar	17	0.02296022015975271	149	22209.041581802347	33376	73.62571072811261
ytar	18	0.022952078923402293	148	21937.581260060997	35419	78.34521516924724
ytar	19	0.022935675552335114	151	22657.607569597178	37467	83.11332548083737
ytar	20	0.02292594662973938	152	22436.33069053059	39512	87.91025742189959
ytar	21	0.022918179493060645	151	22112.451512699565	41560	92.54163911519572
ytar	22	0.022912498611173282	152	25286.273452935908	43603	97.52847008500248
ytar	23	0.02290614661853619	153	22349.387375912287	45649	102.47574471822008
ytar	24	0.022899536339784164	154	25385.479010633197	47698	107.43392115226015
ytar	25	0.02289536925319725	155	25426.615677735386	49738	112.31954775517806
yptar	0	1.203115078576974	75	1479.8254098142531	3	0.005047006066888571
yptar	1	1.1984958786245399	76	1505.6515553812021	630	0.729941591154784
yptar	2	1.1958820825159577	76	1504.2766403217076	2688	3.2004736023955047
yptar	3	1.1946504213427778	77	1505.773318279711	4743	5.46365685435012
yptar	4	1.1938374877435798	78	1603.434472824514	6783	7.724686066154391
yptar	5	1.1924194572665556	79	1821.9970076818058	8815	10.229996865149587
yptar	6	1.1911124216856872	80	2389.2090546048844	10869	12.876116361003369
yptar	7	1.19021762885845	81	2422.5421166626825	12911	15.237930277362466
yptar	8	1.1896885271141915	82	2452.4238554984154	14959	17.59619072219357
yptar	9	1.1890296609273947	83	2436.7084770817887	17008	20.499279489275068
yptar	10	1.188571442570862	84	2468.259603141677	19058	23.310966570395976
yptar	11	1.1881447708362143	85	2475.3247021600096	21105	26.29388836538419
yptar	12	1.1878405013854525	86	2506.5819324167355	23147	29.422900449018925
yptar	13	1.187419553331598	87	2477.317709904551	25196	32.64781380817294
yptar	14	1.1870975652235087	88	2493.5462866941157	27245	35.86604619631544
