model	target	cell_mse	n	bias	spread	rms	median	p90
svd	xptar	2.77346644379787	68535	-0.0002623784538820746	1.629437720177744	1.6294377413023478	1.0542923792667205	2.593147115847102
svd	ytar	0.022873843659626702	68535	4.239807024620551e-05	0.14862946047767953	0.1486294665249205	0.0952605584245269	0.24284238322085375
svd	yptar	1.1808083527744795	68535	-0.0004185133250419264	1.0856092026374162	1.0856092833079727	0.7319598566301165	1.7843620717695516
svd	ztar	0.45618478412339386	68535	-0.0010652975412144491	0.6638371075292722	0.6638379623008026	0.41848202618048447	1.0843931197427572
start	xptar	3.083440125525986	68535	2.810332070837752e-05	1.715981588404563	1.7159815886346925	1.1040199435154232	2.7287730371896926
start	ytar	0.023471982497455208	68535	9.663552237981452e-06	0.1505996588109706	0.15059965912101192	0.09626874636090395	0.24524041191113946
start	yptar	1.2031150785769738	68535	-0.00015991386565135466	1.0957734045111822	1.0957734161798558	0.7398380192197075	1.8016942483822935
start	ztar	0.46911949812655607	68535	-0.0013419945557821271	0.6734104019641901	0.6734117391484647	0.42420293151525357	1.0966901306951153
beam	xptar	2.8019768411320727	68535	-5.969922695278925e-05	1.6378857082193352	1.6378857093073225	1.0618189526812039	2.609076467090443
beam	ytar	0.022995313684982564	68535	1.8342923223520536e-05	0.14904788244949985	0.149047883578207	0.0952933988017434	0.24314835148596053
beam	yptar	1.1922759357020494	68535	-0.00011038173382217528	1.0912028948373742	1.0912029004202621	0.7347005129374664	1.7927216247776632
beam	ztar	0.4593195838045812	68535	-0.001255600213171038	0.6662465890946833	0.666247772238073	0.4190673565734619	1.0867659900307252
