target	term	svd	start	beam
xptar	00000	True	True	True
xptar	10000	True	True	True
xptar	01000	True	True	True
xptar	00100	True	True	True
xptar	00010	True	True	True
xptar	20000	True	True	True
xptar	11000	True	True	True
xptar	02000	True	True	True
xptar	10100	True	True	True
xptar	01100	True	True	True
xptar	00200	True	True	True
xptar	10010	True	True	True
xptar	01010	True	True	True
xptar	00110	True	False	False
xptar	00020	True	False	True
xptar	30000	True	True	True
xptar	21000	True	True	True
xptar	12000	True	True	True
xptar	03000	True	False	True
xptar	20100	True	True	True
xptar	11100	True	True	True
xptar	02100	True	True	True
xptar	10200	True	True	True
xptar	01200	True	False	True
xptar	00300	True	True	True
xptar	20010	True	True	True
xptar	11010	True	True	True
xptar	02010	True	True	True
xptar	10110	True	True	True
xptar	01110	True	False	False
xptar	00210	True	True	False
xptar	10020	True	True	True
xptar	01020	True	True	True
xptar	00120	True	False	False
xptar	00030	True	False	True
xptar	40000	True	True	True
xptar	31000	True	True	True
xptar	22000	True	False	True
xptar	13000	True	True	True
xptar	04000	True	False	False
xptar	30100	True	True	True
xptar	21100	True	True	True
xptar	12100	True	True	True
xptar	03100	True	True	True
xptar	20200	True	False	False
xptar	11200	True	False	False
xptar	02200	True	False	False
xptar	10300	True	True	True
xptar	01300	True	False	False
xptar	00400	True	False	False
xptar	30010	True	True	True
xptar	21010	True	True	True
xptar	12010	True	True	True
xptar	03010	True	False	True
xptar	20110	True	False	False
xptar	11110	True	True	True
xptar	02110	True	False	False
xptar	10210	True	False	False
xptar	01210	True	True	True
xptar	00310	True	False	False
xptar	20020	True	False	False
xptar	11020	True	False	False
xptar	02020	True	True	True
xptar	10120	True	True	True
xptar	01120	True	False	False
xptar	00220	True	True	False
xptar	10030	True	False	False
xptar	01030	True	True	True
xptar	00130	True	False	False
xptar	00040	True	True	False
xptar	50000	True	True	True
xptar	41000	True	True	True
xptar	32000	True	False	False
xptar	23000	True	True	True
xptar	14000	True	True	True
xptar	05000	True	True	True
xptar	40100	True	False	True
xptar	31100	True	False	True
xptar	22100	True	True	True
xptar	13100	True	False	False
xptar	04100	True	True	True
xptar	30200	True	True	True
xptar	21200	True	True	True
xptar	12200	True	False	True
xptar	03200	True	True	True
xptar	20300	True	False	False
xptar	11300	True	False	False
xptar	02300	True	True	True
xptar	10400	True	True	True
