model	pool	target	n	rms	bias	spread	width68	p95	pooled_rms_gain	macro_rms	macro_gain	improved_cells	cells	worst_cell_gain	within_hole_spread	within_hole_gain	hole_centroid_rms	same_holes_rms	equal_hole_spread	improved_holes	holes	within_hole_events
balanced_squared_full	core	xptar	77864	1.4886187412037097	0.28025769988652655	1.461999103391391	1.4573025391982122	2.860952526579673	0.0	1.6048662909832736	0.0	0	25	0.0	1.3041847671424538	0.0	0.6745606617969302	1.468308548395169	1.3202530717218761	0	1662	72795
all_core_squared_full	core	xptar	77864	1.4484710351158088	-0.005163268700294765	1.448461832505707	1.4475920161500722	2.7575960890910283	2.6969770685163597	1.6327403609140596	-1.7368468692621208	10	25	-9.126740565331314	1.3048965746586996	-0.05457873256757839	0.5648645506299158	1.421909642387428	1.3215262234980691	795	1662	72795
all_core_huber_full	core	xptar	77864	1.4485017322981864	-0.0069948242458238155	1.4484848431739343	1.446653692041457	2.758650463779682	2.69491494330405	1.6325569778709885	-1.7254201825592341	11	25	-9.165912905923035	1.3040635161338294	0.00929707290555637	0.567236941572966	1.4220898009606773	1.3203177802655557	822	1662	72795
all_supported_squared_full	core	xptar	77864	1.505663279519487	0.08044528581639679	1.5035127093853564	1.478431414021772	2.8820372155269	-1.1449901740451685	1.6777527376394112	-4.541589979529159	4	25	-9.332628347991069	1.2899629365403062	1.0904766686785083	0.7193627293878809	1.476985820541305	1.2987385931248387	921	1662	72795
all_supported_huber_full	core	xptar	77864	1.4656148533755236	0.03920754486134378	1.4650903272020135	1.4545048818890367	2.7863317105966203	1.5453176284469627	1.6376562726105668	-2.0431597206271412	7	25	-8.824925183280508	1.2927146021287437	0.8794892643043117	0.6340318661372174	1.4398289654796914	1.3039396715585556	982	1662	72795
all_core_squared_equalfoil	core	xptar	77864	1.483744903307249	0.25208162446591664	1.4621743373130518	1.4545461762192036	2.847118284553081	0.3274067268909775	1.5994776099156505	0.335771341070501	18	25	-3.116571376525701	1.3020676192692433	0.1623349640748617	0.6661688432512429	1.462587095823074	1.3187169682759319	926	1662	72795
all_core_huber_equalfoil	core	xptar	77864	1.4841121289177288	0.25262990157473675	1.4624523732522205	1.454610346766726	2.84513444434306	0.30273784423383576	1.600424569012271	0.2767658586860344	18	25	-3.701617881257935	1.301284333344384	0.22239439312152776	0.668250719958345	1.4628396839477606	1.3175531789584476	941	1662	72795
all_supported_squared_equalfoil	core	xptar	77864	1.5739895370506833	0.3434459963496883	1.5360624695423017	1.5020860662594315	3.0278011353042507	-5.734899977004315	1.6796625484924657	-4.660591223669219	1	25	-18.035176777614502	1.287966667235506	1.243543117167567	0.86109755690642	1.5493053728751933	1.297079626996231	926	1662	72795
all_supported_huber_equalfoil	core	xptar	77864	1.5186333611184486	0.3033303035144097	1.4880315898769663	1.4694299971943745	2.914253362172171	-2.0162731452963323	1.623991293889145	-1.1916882430220266	8	25	-11.687881099513042	1.290130008353675	1.0776662281966054	0.7603833994340179	1.49753742944525	1.3013809085475478	1030	1662	72795
balanced_squared_full	core	ytar	77864	0.13581953088841758	0.010643359698785042	0.13540186064110085	0.13114058316735325	0.26938752968576124	0.0	0.150268918594305	0.0	0	25	0.0	0.1269194260973752	0.0	0.04301730502353577	0.13401130270382047	0.13373747906764835	0	1662	72795
