model	target	loss	delta	sigma	iterations	converged	gradient	rank	condition	fraction_weight_below_half	effective_n
balanced_huber_full	xptar	pseudo_huber	1.5	0.0015594506687234898	8	True	3.6431890449228967e-09	210	324016.14294665365	0.015524914277376524	66957.04962207204
balanced_huber_full	ytar	pseudo_huber	1.5	0.0014065767929086611	8	True	2.6717278182707293e-09	210	324016.14294665365	0.02033997227693879	66852.85272695815
balanced_huber_full	yptar	pseudo_huber	1.5	0.0010830157770033327	7	True	1.4257902802473362e-09	210	324016.14294665365	0.009425840811264317	67077.45945198076
half_surplus_huber_full	xptar	pseudo_huber	1.5	0.0015594506687234898	7	True	2.3769845033753713e-09	210	327303.461972458	0.008619051640417177	185850.44355487623
half_surplus_huber_full	ytar	pseudo_huber	1.5	0.0014065767929086611	8	True	2.12852067444237e-09	210	327303.461972458	0.012297850779039818	185546.91172412597
half_surplus_huber_full	yptar	pseudo_huber	1.5	0.0010830157770033327	7	True	1.7577198110789394e-09	210	327303.461972458	0.006829793522780053	185794.55766513362
all_core_huber_full	xptar	pseudo_huber	1.5	0.0015594506687234898	7	True	1.8000428962429448e-09	210	328840.2589192539	0.006949789541822725	304927.25138544495
all_core_huber_full	ytar	pseudo_huber	1.5	0.0014065767929086611	8	True	1.961067056357482e-09	210	328840.2589192539	0.010501975762689485	304396.2473216257
all_core_huber_full	yptar	pseudo_huber	1.5	0.0010830157770033327	7	True	1.2971715044484616e-09	210	328840.2589192539	0.006189756950594661	304651.97596547194
half_shoulders_huber_full	xptar	pseudo_huber	1.5	0.0015594506687234898	10	True	9.251194242300986e-09	210	211487.19583330938	0.037637862574679985	341869.2944860864
half_shoulders_huber_full	ytar	pseudo_huber	1.5	0.0014065767929086611	13	True	3.979602992732391e-09	210	211487.19583330938	0.012087473573686608	345920.7344112964
half_shoulders_huber_full	yptar	pseudo_huber	1.5	0.0010830157770033327	15	True	4.676557388693668e-09	210	211487.19583330938	0.013485556445473354	345225.48807310796
all_supported_huber_full	xptar	pseudo_huber	1.5	0.0015594506687234898	21	True	1.3761963612794111e-08	210	187855.1251305003	0.06165976988292289	379182.4590749046
all_supported_huber_full	ytar	pseudo_huber	1.5	0.0014065767929086611	15	True	8.001043249641007e-09	210	187855.1251305003	0.013375555106984256	387586.8778945311
all_supported_huber_full	yptar	pseudo_huber	1.5	0.0010830157770033327	26	True	8.369349357165854e-09	210	187855.1251305003	0.019131005248284216	386026.3080767271
all_core_huber_enet_basis	xptar	pseudo_huber	1.5	0.0015594506687234898	7	True	2.0029945235233003e-09	95	3410.2115916658922	0.01007365231085333	304305.5561147759
all_core_huber_enet_basis	ytar	pseudo_huber	1.5	0.0014065767929086611	7	True	1.3066874331712748e-08	132	9394.768306909775	0.011007590664481036	304252.1121063068
all_core_huber_enet_basis	yptar	pseudo_huber	1.5	0.0010830157770033327	6	True	1.3278294045183634e-09	75	1525.173678842402	0.00642163130046085	304545.09314481117
all_supported_huber_enet_basis	xptar	pseudo_huber	1.5	0.0015594506687234898	16	True	9.025781337772449e-09	95	2507.792542952283	0.06597446507872426	378476.04117267445
all_supported_huber_enet_basis	ytar	pseudo_huber	1.5	0.0014065767929086611	27	True	3.52964301081201e-09	132	9014.488947139307	0.01415270488494146	387416.83824048727
all_supported_huber_enet_basis	yptar	pseudo_huber	1.5	0.0010830157770033327	14	True	2.178007529248489e-09	75	790.8980086940877	0.019713867581752118	385885.60341252846
all_core_huber_beam_basis	xptar	pseudo_huber	1.5	0.0015594506687234898	6	True	5.796796728239339e-09	111	18095.566293343494	0.007355569654088557	304820.2286968788
all_core_huber_beam_basis	ytar	pseudo_huber	1.5	0.0014065767929086611	7	True	7.522400204244445e-09	143	23722.74831381627	0.010357054294023116	304359.8948275049
all_core_huber_beam_basis	yptar	pseudo_huber	1.5	0.0010830157770033327	6	True	1.8181860301486617e-09	78	1689.268217488098	0.0061833159964317114	304590.61708835984
all_supported_huber_beam_basis	xptar	pseudo_huber	1.5	0.0015594506687234898	22	True	7.74126816159022e-09	111	15322.38312650796	0.06266400888171175	379018.22168603324
all_supported_huber_beam_basis	ytar	pseudo_huber	1.5	0.0014065767929086611	31	True	3.6643161138765657e-09	143	22864.715428280768	0.013602644327815907	387533.8722893303
all_supported_huber_beam_basis	yptar	pseudo_huber	1.5	0.0010830157770033327	14	True	1.6932621305894774e-09	78	1170.5409460101725	0.019567521194993946	385932.20614231745
