sample	zfoil	ndel	n	holes
balanced	-8.0	0	2741	115
balanced	-8.0	1	2742	142
balanced	-8.0	2	2742	143
balanced	-8.0	3	2741	137
balanced	-8.0	4	2741	124
balanced	-3.0	0	1495	74
balanced	-3.0	1	3059	91
balanced	-3.0	2	3891	94
balanced	-3.0	3	3446	88
balanced	-3.0	4	1816	71
balanced	0.0	0	2741	84
balanced	0.0	1	2742	94
balanced	0.0	2	2742	105
balanced	0.0	3	2741	101
balanced	0.0	4	2741	87
balanced	3.0	0	1430	80
balanced	3.0	1	3189	91
balanced	3.0	2	4547	91
balanced	3.0	3	2858	84
balanced	3.0	4	1683	67
balanced	8.0	0	2742	128
balanced	8.0	1	2741	136
balanced	8.0	2	2742	138
balanced	8.0	3	2741	124
balanced	8.0	4	2741	104
half_surplus	-8.0	0	3647	115
half_surplus	-8.0	1	6489	142
half_surplus	-8.0	2	9820	143
half_surplus	-8.0	3	8269	137
half_surplus	-8.0	4	5813	124
half_surplus	-3.0	0	1740	74
half_surplus	-3.0	1	3728	91
half_surplus	-3.0	2	5799	94
half_surplus	-3.0	3	4584	88
half_surplus	-3.0	4	2608	71
half_surplus	0.0	0	8743	84
half_surplus	0.0	1	15397	94
half_surplus	0.0	2	25583	105
half_surplus	0.0	3	21913	101
half_surplus	0.0	4	15627	87
half_surplus	3.0	0	1775	80
half_surplus	3.0	1	3994	91
half_surplus	3.0	2	6414	91
half_surplus	3.0	3	4568	84
half_surplus	3.0	4	2625	67
half_surplus	8.0	0	4227	128
half_surplus	8.0	1	6067	136
half_surplus	8.0	2	8593	138
half_surplus	8.0	3	6666	124
half_surplus	8.0	4	4775	104
all_core	-8.0	0	4538	115
all_core	-8.0	1	10089	142
all_core	-8.0	2	16793	143
all_core	-8.0	3	13878	137
all_core	-8.0	4	9001	124
all_core	-3.0	0	1965	74
all_core	-3.0	1	4402	91
all_core	-3.0	2	7723	94
all_core	-3.0	3	5816	88
all_core	-3.0	4	3433	71
all_core	0.0	0	14667	84
all_core	0.0	1	27806	94
all_core	0.0	2	48671	105
all_core	0.0	3	41049	101
all_core	0.0	4	28758	87
all_core	3.0	0	2123	80
all_core	3.0	1	4812	91
all_core	3.0	2	8254	91
all_core	3.0	3	6288	84
all_core	3.0	4	3611	67
all_core	8.0	0	5712	128
all_core	8.0	1	9371	136
all_core	8.0	2	14367	138
all_core	8.0	3	10667	124
all_core	8.0	4	6719	104
half_shoulders	-8.0	0	5605	115
half_shoulders	-8.0	1	11780	142
half_shoulders	-8.0	2	19039	143
half_shoulders	-8.0	3	16076	137
half_shoulders	-8.0	4	10288	124
half_shoulders	-3.0	0	2348	74
half_shoulders	-3.0	1	5011	91
half_shoulders	-3.0	2	8684	94
half_shoulders	-3.0	3	6710	88
half_shoulders	-3.0	4	3858	71
half_shoulders	0.0	0	17375	84
half_shoulders	0.0	1	31512	94
half_shoulders	0.0	2	54554	105
half_shoulders	0.0	3	46872	101
half_shoulders	0.0	4	32641	87
half_shoulders	3.0	0	2506	80
half_shoulders	3.0	1	5413	91
half_shoulders	3.0	2	9130	91
half_shoulders	3.0	3	7166	84
half_shoulders	3.0	4	4068	67
half_shoulders	8.0	0	6630	128
half_shoulders	8.0	1	10463	136
half_shoulders	8.0	2	15868	138
half_shoulders	8.0	3	12169	124
half_shoulders	8.0	4	7575	104
all_supported	-8.0	0	6729	115
all_supported	-8.0	1	13503	142
all_supported	-8.0	2	21319	143
all_supported	-8.0	3	18423	137
all_supported	-8.0	4	11605	124
all_supported	-3.0	0	2715	74
all_supported	-3.0	1	5645	91
all_supported	-3.0	2	9667	94
all_supported	-3.0	3	7559	88
all_supported	-3.0	4	4280	71
all_supported	0.0	0	20044	84
all_supported	0.0	1	35189	94
all_supported	0.0	2	60295	105
all_supported	0.0	3	52717	101
all_supported	0.0	4	36573	87
all_supported	3.0	0	2926	80
all_supported	3.0	1	5987	91
all_supported	3.0	2	10052	91
all_supported	3.0	3	8044	84
all_supported	3.0	4	4510	67
all_supported	8.0	0	7523	128
all_supported	8.0	1	11527	136
all_supported	8.0	2	17456	138
all_supported	8.0	3	13630	124
all_supported	8.0	4	8402	104
