pool	subset	target	model	reference	comparison	metric	value	reference_value	change	percent_change
protected_core	all	xptar	old	old	starting	bias	-0.3148324386558188	-0.3148324386558188	0.0	
protected_core	all	xptar	old	old	starting	spread	1.53898710121926	1.53898710121926	0.0	0.0
protected_core	all	xptar	old	old	starting	rms	1.5708598798585536	1.5708598798585536	0.0	0.0
protected_core	all	xptar	old	old	starting	median	1.02912935086958	1.02912935086958	0.0	0.0
protected_core	all	xptar	old	old	starting	p90	2.4961156636191446	2.4961156636191446	0.0	0.0
protected_core	all	xptar	old	old	starting	cell_mse	3.373790993563093	3.373790993563093	0.0	0.0
protected_core	all	xptar	gmm	old	starting	bias	0.20491963289035175	-0.3148324386558188	0.5197520715461705	
protected_core	all	xptar	gmm	old	starting	spread	1.5229934120631103	1.53898710121926	-0.015993689156149626	-1.039234776138065
protected_core	all	xptar	gmm	old	starting	rms	1.5367176022716573	1.5708598798585536	-0.03414227758689625	-2.1734769615460947
protected_core	all	xptar	gmm	old	starting	median	1.0223334919376792	1.02912935086958	-0.006795858931900822	-0.6603503171062508
protected_core	all	xptar	gmm	old	starting	p90	2.465888852428189	2.4961156636191446	-0.030226811190955605	-1.2109539486295007
protected_core	all	xptar	gmm	old	starting	cell_mse	2.898716816912098	3.373790993563093	-0.4750741766509954	-14.081316167996082
protected_core	all	xptar	gmm	old	previous	bias	0.20491963289035175	-0.3148324386558188	0.5197520715461705	
protected_core	all	xptar	gmm	old	previous	spread	1.5229934120631103	1.53898710121926	-0.015993689156149626	-1.039234776138065
protected_core	all	xptar	gmm	old	previous	rms	1.5367176022716573	1.5708598798585536	-0.03414227758689625	-2.1734769615460947
protected_core	all	xptar	gmm	old	previous	median	1.0223334919376792	1.02912935086958	-0.006795858931900822	-0.6603503171062508
protected_core	all	xptar	gmm	old	previous	p90	2.465888852428189	2.4961156636191446	-0.030226811190955605	-1.2109539486295007
protected_core	all	xptar	gmm	old	previous	cell_mse	2.898716816912098	3.373790993563093	-0.4750741766509954	-14.081316167996082
protected_core	all	xptar	core	old	starting	bias	0.2802576998907784	-0.3148324386558188	0.5950901385465972	
protected_core	all	xptar	core	old	starting	spread	1.461999103391435	1.53898710121926	-0.07698799782782495	-5.002510922075388
protected_core	all	xptar	core	old	starting	rms	1.4886187412045535	1.5708598798585536	-0.08224113865400007	-5.2354216762735994
protected_core	all	xptar	core	old	starting	median	1.0085014611453027	1.02912935086958	-0.020627889724277315	-2.0044020420608377
protected_core	all	xptar	core	old	starting	p90	2.415428616537321	2.4961156636191446	-0.0806870470818235	-3.232504336951858
