     0.0011647471 -7.85663638e-05  0.000508652229               0 00000
      0.335469104    0.0160328462  -0.00556727247     0.245277181 10000
      -3.03137405    -0.131848114    0.0360225036     0.179237254 01000
    -0.0118456589    -0.459562842     0.283375076    0.0157622219 00100
      0.210872265    0.0371376404     -2.37046177   -0.0277481136 00010
     -0.318898099   -0.0145901104   0.00980061751    -0.317631939 20000
       2.28376743     -0.14692281    0.0171486644      3.22944879 11000
       5.54258374      2.04385667    -0.428333943     0.996249838 02000
     -0.339533492      1.54633572    -0.439517169    -0.069868989 10100
       2.49913491     0.377559638     0.137445881    -0.272737203 01100
     -0.017986113    0.0180963632   0.00408668768   -0.0177958644 00200
      0.754414655     -20.6784124      5.43813336    -0.179642064 10010
      -6.37379581     -16.5029034      3.50971396      5.14340828 01010
     -0.525890401    0.0601773839     0.383116082     0.456284698 00110
      0.695538102     -1.12649797     0.756472317     -6.40792036 00020
       0.95022625     0.118067199   -0.0138132207     0.936834319 30000
      -17.1230281     0.320737016    -0.381173211     -13.5405899 21000
       90.6228602     -13.3916679      5.26306356      51.8797642 12000
      -178.883755      48.5238739     -12.8231328      -20.498985 03000
        3.7800286     -5.45921565      1.13301931   -0.0312542194 20100
      -37.1461599      58.6710183     -12.0477145     0.284008412 11100
       81.3423098     -136.588135      22.8068324      3.95564331 02100
     -0.452136966     0.702058169    -0.143559372     0.954315611 10200
       4.62493611     -11.6021872      3.68368131     -7.06883817 01200
       2.41882842     -2.49769766    -0.296728754    -0.358205667 00300
      -29.5718085      67.9504771     -15.4394644     -2.74488175 20010
       268.722392     -737.601919        168.8722      10.6819836 11010
      -524.382439      1759.16642     -340.911994      -46.776265 02010
      -3.09352325      -38.211237       4.8824681     0.434687181 10110
        57.602686      363.416014     -79.5876399      25.6924121 01110
      -27.9366726      89.3876287      -10.147444      -3.1559352 00210
        46.224012       50.932361      21.9864932      31.9077575 10020
      -745.970079     -358.775272      62.5495942     -467.898102 01020
       155.547447     -1127.23378      199.922211       34.179037 00120
      -541.370732      5321.69283     -904.066103     -71.5085362 00030
       -5.2345719    -0.280551435    -0.176724421     -2.30278775 40000
       113.310313     -3.20121027      6.91062983      58.0248309 31000
      -860.468705      99.2989991     -77.4915504     -491.562374 22000
       2541.71645     -564.185544      307.001588      1718.29721 13000
      -1295.20638      537.860937     -354.380915     -1950.10403 04000
      -12.6187572      6.98186422     -1.16048021     -1.46212838 30100
       189.607837     -72.1449468      9.47738893      47.2957535 21100
      -798.193862     -38.1658318      20.0141122     -432.372956 12100
       745.183587      1105.38782     -166.456593      1323.39948 03100
      -2.24715016      8.52296247     -4.04899758     -1.00472512 20200
       31.1863716     -74.9415015      25.7409717      16.7434624 11200
      -205.405137      184.091881     -88.5861379     -67.2731587 02200
      -16.4985458     -11.4079734      12.0290088      4.98155457 10300
       32.9490734      94.2386962     -43.5416675     -37.4367181 01300
     -0.694221001      6.21579586      1.88897124      3.83526317 00400
       134.878225      -142.95358      28.0626358      20.4063547 30010
      -1701.72002      1975.61158     -377.831901     -521.870646 21010
       4923.01505     -5911.39007       1141.4839      4021.85608 12010
       1869.82341     -2777.35004      579.760208     -11081.6594 03010
       26.8949715       57.559751     -12.8901373     -26.1090659 20110
      -63.5949814     -891.953072      283.737271      343.660595 11110
       174.760833     -829.879566      338.044478     -974.052221 02110
       190.275916     -102.310786     -65.1766031      -36.510193 10210
       59.3927815      626.842105     -226.489711       292.43684 01210
       23.5006377     -80.0330243       26.325025     -84.9391998 00310
      -176.250363     -1110.42696      145.671536      406.369321 20020
       1402.14569      11285.8534      -2564.7417     -4586.96491 11020
       434.681375      2486.19164     -527.793877      9358.46286 02020
       -985.85991         711.995      475.546314      60.2646297 10120
      -11.2951633     -1615.66118      817.664912     -697.205971 01120
      -49.5085602      40.3018174      -108.65739      726.975013 00220
       543.522174     -843.944168      667.061128      536.066295 10030
        93.048162     -361.836088      238.583059     -2336.48364 01030
       -23.628768     -101.654127      56.3749756     -1667.46714 00130
       24.2826744      52.9069395      46.9972548      3912.11649 00040
       18.6543086     -2.26290231     0.935922633      4.96781903 50000
      -378.897984      41.9296983      -17.907147     -214.635508 41000
       2531.29559     -307.624193      119.569048      3438.51266 32000
      -4963.40349      641.430284       -242.5761     -27888.4078 23000
      -2755.41715      256.152366     -142.395834      118850.529 14000
      -900.919961      52.6180933     -47.2809769       -209797.8 05000
       3.41558763      8.46021804     -1.80004795      3.07907961 40100
      -123.827899     -77.9972606      29.0997454     -71.7570318 31100
       781.764048      92.6079396     -101.530161      175.230779 22100
      -1115.18775       965.91776     -187.444219      3660.70792 13100
      -556.820301      372.735029     -65.9050012     -18679.7717 04100
       32.4517825     -42.4215478      13.9091889     -9.82929708 30200
      -312.135849      285.033064     -67.1942266      223.223395 21200
       1312.48473      121.216633     -84.8168493     -1934.55934 12200
        56.702909     -216.858922      93.4530032      6295.96049 03200
       5.78881949      22.8460836     -3.56770392      7.53241271 20300
      -141.286574      22.2116469     -89.1190295     -173.118732 11300
       630.358751     -1948.43758      1086.47618      1077.44822 02300
       7.92281168      63.8186297      -26.311541     -1.11240314 10400
      -129.526536     -225.895549      93.0256556     -107.686882 01400
       10.5339967       95.358209     -41.9549814     -1.36754912 00500
      -19.6362734      13.3282883     -9.02990878     -48.5819865 40010
       399.854024     -230.501938      23.7465187      1952.97191 31010
      -5.30053194     -40.5683302     -73.6406694     -20776.5089 22010
      -119.485516      25.7545594     -38.0497941      79440.7749 13010
      -41.0134646      6.54719001     -8.93477629     -71841.5676 04010
      -267.948062      623.913828     -200.552363      63.7792928 30110
       142.988404      -4029.4158      1118.99667      -1765.8266 21110
        166.72559     -780.051422      154.745584      11961.6529 12110
       17.5317679     -122.308321      15.0983503     -36062.5709 03110
       -118.80156     -1077.01952      450.574202     -8.69875712 20210
       214.781727      6677.08707     -2605.69761      1607.73072 11210
       161.735762      1393.29833     -575.318629     -11675.9844 02210
      -89.0117107     -85.1924846      80.2368467      165.982247 10310
       199.663748       2537.7777     -1020.56537      946.869731 01310
      -94.3559014     -474.070332       420.11189      164.395576 00410
       1340.33412     -1452.08013     -152.978109     -2407.64911 30020
