zfoil	ndel	model	n	core	shoulder	outside_frame
-8.0	0	balanced_squared_full	1739	1063	676	1
-8.0	0	all_supported_huber_full	1739	1063	676	0
-8.0	1	balanced_squared_full	3449	2510	939	5
-8.0	1	all_supported_huber_full	3449	2510	939	5
-8.0	2	balanced_squared_full	5404	4227	1177	0
-8.0	2	all_supported_huber_full	5404	4227	1177	0
-8.0	3	balanced_squared_full	4673	3447	1226	0
-8.0	3	all_supported_huber_full	4673	3447	1226	1
-8.0	4	balanced_squared_full	2967	2294	673	0
-8.0	4	all_supported_huber_full	2967	2294	673	0
-8.0	-1	balanced_squared_full	18232	13541	4691	6
-8.0	-1	all_supported_huber_full	18232	13541	4691	6
-3.0	0	balanced_squared_full	712	467	245	2
-3.0	0	all_supported_huber_full	712	467	245	2
-3.0	1	balanced_squared_full	1458	1144	314	3
-3.0	1	all_supported_huber_full	1458	1144	314	3
-3.0	2	balanced_squared_full	2460	1952	508	0
-3.0	2	all_supported_huber_full	2460	1952	508	0
-3.0	3	balanced_squared_full	1941	1459	482	0
-3.0	3	all_supported_huber_full	1941	1459	482	0
-3.0	4	balanced_squared_full	1104	868	236	0
-3.0	4	all_supported_huber_full	1104	868	236	0
-3.0	-1	balanced_squared_full	7675	5890	1785	5
-3.0	-1	all_supported_huber_full	7675	5890	1785	5
0.0	0	balanced_squared_full	5051	3676	1375	5
0.0	0	all_supported_huber_full	5051	3676	1375	4
0.0	1	balanced_squared_full	8847	6959	1888	2
0.0	1	all_supported_huber_full	8847	6959	1888	2
0.0	2	balanced_squared_full	15130	12161	2969	3
0.0	2	all_supported_huber_full	15130	12161	2969	2
0.0	3	balanced_squared_full	13229	10388	2841	1
0.0	3	all_supported_huber_full	13229	10388	2841	0
0.0	4	balanced_squared_full	9188	7220	1968	1
0.0	4	all_supported_huber_full	9188	7220	1968	1
0.0	-1	balanced_squared_full	51445	40404	11041	12
0.0	-1	all_supported_huber_full	51445	40404	11041	9
3.0	0	balanced_squared_full	766	511	255	2
3.0	0	all_supported_huber_full	766	511	255	2
3.0	1	balanced_squared_full	1544	1221	323	1
3.0	1	all_supported_huber_full	1544	1221	323	1
3.0	2	balanced_squared_full	2553	2073	480	0
3.0	2	all_supported_huber_full	2553	2073	480	0
3.0	3	balanced_squared_full	2056	1571	485	0
3.0	3	all_supported_huber_full	2056	1571	485	0
3.0	4	balanced_squared_full	1161	919	242	0
3.0	4	all_supported_huber_full	1161	919	242	0
3.0	-1	balanced_squared_full	8080	6295	1785	3
3.0	-1	all_supported_huber_full	8080	6295	1785	3
8.0	0	balanced_squared_full	1949	1436	513	0
8.0	0	all_supported_huber_full	1949	1436	513	0
8.0	1	balanced_squared_full	2948	2320	628	0
8.0	1	all_supported_huber_full	2948	2320	628	0
8.0	2	balanced_squared_full	4436	3592	844	1
8.0	2	all_supported_huber_full	4436	3592	844	0
8.0	3	balanced_squared_full	3474	2725	749	0
8.0	3	all_supported_huber_full	3474	2725	749	0
8.0	4	balanced_squared_full	2157	1661	496	0
8.0	4	all_supported_huber_full	2157	1661	496	0
8.0	-1	balanced_squared_full	14964	11734	3230	1
8.0	-1	all_supported_huber_full	14964	11734	3230	0
