method	foil_z_cm	target	units	training_count	heldout_count	best_N_ge_35	best_heldout_residual_rms	first_5N_run_above_minimum_by_5pct_N
rescaled_direct_X	-8.0	xptar	mrad	44310	36160	202	2.1054251076290225	
rescaled_direct_X	-8.0	ytar	cm	44310	36160	210	0.14545657740232615	
rescaled_direct_X	-8.0	yptar	mrad	44310	36160	210	1.06766883089133	
rescaled_direct_X	-3.0	xptar	mrad	25505	8218	192	1.9924541843920194	
rescaled_direct_X	-3.0	ytar	cm	25505	8218	110	0.14139208317622803	
rescaled_direct_X	-3.0	yptar	mrad	25505	8218	54	1.1042555544845836	
rescaled_direct_X	0.0	xptar	mrad	30000	199492	208	1.7714964602975045	
rescaled_direct_X	0.0	ytar	cm	30000	199492	106	0.13095509384831602	
rescaled_direct_X	0.0	yptar	mrad	30000	199492	121	1.047443495507685	
rescaled_direct_X	3.0	xptar	mrad	25731	9857	186	1.8239364083082141	
rescaled_direct_X	3.0	ytar	cm	25731	9857	187	0.13302578210441762	
rescaled_direct_X	3.0	yptar	mrad	25731	9857	188	1.1022125597126335	
rescaled_direct_X	8.0	xptar	mrad	40467	24957	61	2.39836512383492	64
rescaled_direct_X	8.0	ytar	cm	40467	24957	163	0.14497708747567956	170
rescaled_direct_X	8.0	yptar	mrad	40467	24957	115	1.1455619771581258	120
current_XTX	-8.0	xptar	mrad	44310	36160	168	2.209091207446259	
current_XTX	-8.0	ytar	cm	44310	36160	173	0.15276251258592477	
current_XTX	-8.0	yptar	mrad	44310	36160	175	1.084999352648525	
current_XTX	-3.0	xptar	mrad	25505	8218	164	2.0564605955877866	
current_XTX	-3.0	ytar	cm	25505	8218	63	0.14176222721762088	
current_XTX	-3.0	yptar	mrad	25505	8218	54	1.1044609511087062	
current_XTX	0.0	xptar	mrad	30000	199492	199	1.798503839229345	
current_XTX	0.0	ytar	cm	30000	199492	179	0.13130872682608183	
current_XTX	0.0	yptar	mrad	30000	199492	173	1.0480509870714605	
current_XTX	3.0	xptar	mrad	25731	9857	154	1.8557034262648817	
current_XTX	3.0	ytar	cm	25731	9857	207	0.13387416532137614	
current_XTX	3.0	yptar	mrad	25731	9857	105	1.1018916706055764	
current_XTX	8.0	xptar	mrad	40467	24957	199	1.8396760581986875	
current_XTX	8.0	ytar	cm	40467	24957	172	0.1986165281452125	173
current_XTX	8.0	yptar	mrad	40467	24957	113	1.1583556073408436	164
