method	foil_z_cm	N	target	units	training_count	heldout_count	training_residual_rms	heldout_residual_rms	heldout_change_from_reference_percent
rescaled_direct_X	-8.0	1	xptar	mrad	44310	36160	27.15053005756812	27.28425178824855	1149.762842891322
rescaled_direct_X	-8.0	1	ytar	cm	44310	36160	1.723378386772113	1.6001608631474569	958.4047244251929
rescaled_direct_X	-8.0	1	yptar	mrad	44310	36160	13.500807668623057	13.628062840853232	1160.606021783344
rescaled_direct_X	-8.0	2	xptar	mrad	44310	36160	27.036186408750723	27.181935473898932	1145.0762152759437
rescaled_direct_X	-8.0	2	ytar	cm	44310	36160	1.723459300940726	1.5971230208844833	956.395384816133
rescaled_direct_X	-8.0	2	yptar	mrad	44310	36160	13.381894569428189	13.439156653133352	1143.132057906545
rescaled_direct_X	-8.0	3	xptar	mrad	44310	36160	7.031971399800078	6.976721802831813	219.57070848189338
rescaled_direct_X	-8.0	3	ytar	cm	44310	36160	1.723438473278335	1.5973929097446313	956.5738991463039
rescaled_direct_X	-8.0	3	yptar	mrad	44310	36160	13.373369892025934	13.426982098490601	1142.0059024819327
rescaled_direct_X	-8.0	4	xptar	mrad	44310	36160	6.974321289740186	6.93971128684503	217.87543136616034
rescaled_direct_X	-8.0	4	ytar	cm	44310	36160	1.4883799202447254	1.3847921068591296	815.9519783301662
rescaled_direct_X	-8.0	4	yptar	mrad	44310	36160	13.346375880286107	13.47588994410321	1146.5299148387649
rescaled_direct_X	-8.0	5	xptar	mrad	44310	36160	6.971589464462395	6.939324520399318	217.85771542010912
rescaled_direct_X	-8.0	5	ytar	cm	44310	36160	1.4524729484692687	1.3665608319908353	803.8931485604252
rescaled_direct_X	-8.0	5	yptar	mrad	44310	36160	3.887834494546376	3.6417900436849817	236.86830716525282
rescaled_direct_X	-8.0	6	xptar	mrad	44310	36160	6.937767308752119	6.904922751981955	216.28193272203674
rescaled_direct_X	-8.0	6	ytar	cm	44310	36160	1.4478260529431566	1.3625586607215612	801.2459665945904
rescaled_direct_X	-8.0	6	yptar	mrad	44310	36160	3.8763718732637416	3.631768541973909	235.94131074970807
