    0.00116365618 -8.09193373e-05  0.000508359255               0 00000
      0.335479684    0.0161052873  -0.00556589399     0.245277181 10000
      -3.03139473    -0.132506713    0.0360546005     0.179237254 01000
    -0.0117806636    -0.459453751     0.283377894    0.0157622219 00100
      0.210193682    0.0370880994     -2.37057543   -0.0277481136 00010
     -0.318886805   -0.0134228314   0.00982362993    -0.317631939 20000
       2.28511747    -0.162409401    0.0154583939      3.22944879 11000
       5.53427054      2.08335671     -0.41264953     0.996249838 02000
     -0.340308047      1.54465669    -0.439278857    -0.069868989 10100
        2.4939519     0.381172524     0.135788875    -0.272737203 01100
    -0.0161414503    0.0186444715   0.00268837042   -0.0177958644 00200
      0.752550364     -20.6581769      5.43725419    -0.179642064 10010
      -6.33601943     -16.5396787      3.52235438      5.14340828 01010
     -0.536650119    0.0412286455     0.390920016     0.456284698 00110
      0.719646193     -1.04450955     0.744283181     -6.40792036 00020
      0.948889047     0.114273908   -0.0136148793     0.936834319 30000
      -17.0867028     0.373984075    -0.380830711     -13.5405899 21000
       90.3550523     -13.7969732      5.23760865      51.8797642 12000
      -178.294351      50.4228545     -12.8123591      -20.498985 03000
       3.77460118     -5.46580619      1.13072394   -0.0312542194 20100
      -37.1033573      58.7663089     -12.0078286     0.284008412 11100
       81.2112144     -137.012884      22.7234239      3.95564331 02100
     -0.462782272      0.71746674    -0.145388112     0.954315611 10200
       4.60918774     -11.5506174      3.66984968     -7.06883817 01200
       2.40858667     -2.48299464    -0.293663145    -0.358205667 00300
      -29.5308053      67.8900139     -15.4143754     -2.74488175 20010
       267.992923     -737.054445      168.540846      10.6819836 11010
      -521.908858      1760.20145     -340.620629      -46.776265 02010
      -2.86821424     -38.6397008      4.97310838     0.434687181 10110
       56.5713379       365.21364     -80.3679634      25.6924121 01110
      -27.4465269       89.601549     -10.1568478      -3.1559352 00210
       45.8528755      50.6377295      21.7373328      31.9077575 10020
      -744.267651     -361.231241      64.8847656     -467.898102 01020
       152.463741     -1131.00107      200.187236       34.179037 00120
      -533.677343      5328.00579     -903.705212     -71.5085362 00030
      -5.23647261    -0.308025016    -0.179426394     -2.30278775 40000
        113.28785     -2.40000589       7.0508645      58.0248309 31000
       -859.10717      89.6581521     -79.6621121     -491.562374 22000
       2528.19932      -509.77608      320.046239      1718.29721 13000
      -1254.91171      431.386998     -385.243439     -1950.10403 04000
        -12.54467      7.02460999     -1.15345632     -1.46212838 30100
       188.312412     -72.1993488      9.36580922      47.2957535 21100
      -791.391793     -42.7878185      21.6230012     -432.372956 12100
       746.694469      1126.68259     -170.065483      1323.39948 03100
      -2.25584728       8.1820318     -3.94577997     -1.00472512 20200
       31.8316434     -70.9742376      24.7160691      16.7434624 11200
      -210.306721      171.757617     -86.7457997     -67.2731587 02200
       -16.420349     -11.0525915      11.8496364      4.98155457 10300
       34.0278055      91.7554559     -43.3108547     -37.4367181 01300
     -0.780472199      6.07585923      2.22080334      3.83526317 00400
       135.147029     -143.817838      28.1935359      20.4063547 30010
      -1702.79875      1984.98709     -379.819402     -521.870646 21010
       4906.60486     -5934.04072      1144.40916      4021.85608 12010
       1883.27268     -2800.62302      583.857191     -11081.6594 03010
       25.7168862      61.7459959      -14.308276     -26.1090659 20110
      -58.0849746     -924.448254      298.955704      343.660595 11110
       180.112774     -753.601283       302.35509     -974.052221 02110
       186.909257     -103.635846     -64.9354347      -36.510193 10210
       62.0348937      616.512294     -219.623203       292.43684 01210
       23.6552646      -76.425284      23.0694759     -84.9391998 00310
      -167.762575     -1142.15464      154.312336      406.369321 20020
       1333.10839       11488.586     -2640.29507     -4586.96491 11020
       429.995143      2578.91359     -553.098731      9358.46286 02020
       -949.01838      745.743226      476.274848      60.2646297 10120
      -50.5754869     -1481.91223      785.653646     -697.205971 01120
      -50.2946021      4.49784808     -93.5633845      726.975013 00220
       477.502336     -1101.96205      664.572541      536.066295 10030
       77.9378007     -353.346631      229.131099     -2336.48364 01030
      -10.0828476     -91.4534181      53.3447799     -1667.46714 00130
       29.9417967      61.0757439      42.6010518      3912.11649 00040
       18.6901402     -2.13831762     0.927952244      4.96781903 50000
      -379.935628      39.1729022     -17.7371115     -214.635508 41000
       2540.75681     -287.044893      118.073789      3438.51266 32000
      -4988.23485      600.665639     -237.320203     -27888.4078 23000
      -2771.92123      170.083201     -140.308498      118850.529 14000
      -905.841417      10.0842638      -46.883778       -209797.8 05000
       3.47457585      8.47046539     -1.75677128      3.07907961 40100
      -125.365367     -78.4785872      28.5383915     -71.7570318 31100
       796.392536      103.793798     -101.549297      175.230779 22100
      -1152.88627      920.886276     -184.014023      3660.70792 13100
      -574.716985      343.232438     -64.0275662     -18679.7717 04100
       32.4388368      -41.794474      13.5280044     -9.82929708 30200
       -316.03311      275.456551     -63.5814047      223.223395 21200
