N	method	rank	condition	fit_xptar_rms	fit_ytar_rms	fit_yptar_rms	heldout_xptar_rms	heldout_ytar_rms	heldout_yptar_rms	heldout_vertex_rms_cm
5	current XTX	5	40400.13894052944	8.316483984838959	1.1677748039969449	3.1843369624395663	7.919001335532685	0.838327306590386	2.3390626637422507	3.986364400464142
5	rescaled direct X	5	5.9714687301163165	8.316483984838973	1.1677748039969453	3.1843369624395677	7.919001335532633	0.8383273065903871	2.339062663742274	3.9863644004641468
15	current XTX	15	1475216554.652593	3.122457527640594	0.28491109200480935	1.2897611868788097	2.8353595740589244	0.2455025454523207	1.1957311961577741	1.338553470603277
15	rescaled direct X	15	54.57321117993306	3.1224575276406408	0.2849110920048104	1.289761186878793	2.8353595740512185	0.24550254545238473	1.195731196157781	1.338553470600961
35	current XTX	35	47469034568050.06	2.3586100449171363	0.17137031654648066	1.154438205250392	2.1705088746240873	0.17458096688156788	1.113361145291462	1.7974308704289736
35	rescaled direct X	35	502.36707032166163	2.3586100449171483	0.1713703165464818	1.1544382052503874	2.1705088745605168	0.17458096725065395	1.1133611451826086	1.7974308773723138
39	current XTX	39	47563956506867.555	2.154166839474252	0.17019982535287076	1.1531347254278907	2.0303796290272063	0.1741685685363493	1.1127760538650953	1.7564478243934194
39	rescaled direct X	39	1407.4133903994186	2.154166839453634	0.17019982534593475	1.1531347254221482	2.0303796447183977	0.17416850496082587	1.112776259553232	1.7564433648644238
40	current XTX	40	3044802766447988.5	2.154104224244615	0.17008771552300206	1.1529492793240312	2.030986689310496	0.174093796186081	1.1128406402326574	1.7570756123259337
40	rescaled direct X	40	2895.9215301919567	2.154104224244165	0.1700877155228372	1.152949279323779	2.0309867271731723	0.17409378972382095	1.1128406462001301	1.7570754571790845
50	current XTX	50	3172247904930790.0	2.1432293149285724	0.16842285977267807	1.1507043280891263	2.023548162774008	0.17101824374237093	1.1101751953361672	1.6053565537594798
50	rescaled direct X	50	3337.4019268061497	2.14322930364008	0.16842285783319141	1.1507043267023396	2.023553904877017	0.17101680650955825	1.1101773271182527	1.6052553050886345
53	current XTX	53	3313044592186043.5	2.083413128573754	0.16143668456655363	1.1442494232065539	2.022169320399941	0.17153628790617764	1.1120448966647043	2.1194857646630587
53	rescaled direct X	53	3545.2971173762803	2.0834131284043944	0.1614366845617524	1.1442494229676239	2.022169446521915	0.17153632936179533	1.1120455290409543	2.1194230072649303
54	current XTX	53	3.3871747848942824e+16	2.083706940318908	0.1613874960658729	1.1442260490996656	2.022431797252734	0.17150770747422212	1.1120314617357447	2.121541628299963
54	rescaled direct X	54	3595.996392679238	2.082199071457295	0.16090551841896528	1.1441055766847785	2.0204855815155764	0.17110277895669276	1.111910027106449	2.12039174606867
60	current XTX	59	3.4580987859225812e+16	2.06847723814821	0.1574574965225342	1.1416144929354188	2.008486496760537	0.1663808780209661	1.1070118269999116	1.6971546282930443
60	rescaled direct X	60	3908.345747092927	2.0673393891247103	0.15711514948298322	1.1415428194883197	2.0062411127751507	0.16625154026291097	1.107023067131667	1.705121225117636
70	current XTX	63	6.427411831523841e+17	2.0607792524146493	0.15358181457688183	1.139158429175662	2.0274411868758277	0.16341000987466237	1.0857399293754142	1.0291781903483637
70	rescaled direct X	70	4490.01898274785	2.058116600606098	0.1524502096424268	1.1358570506005836	2.037243157903894	0.16978298973685554	1.0949802545946858	1.4057001641979268
80	current XTX	70	1.7533231398524588e+19	2.0040790546052474	0.15323697648135837	1.138569775861033	1.988676836418183	0.1628108360345342	1.085257814428821	1.018310021539867
80	rescaled direct X	80	26421.602475558324	1.998392437812586	0.15203047826273283	1.1351811011538986	1.9903059146853495	0.16949027697789634	1.0947237344146932	1.3946117000834433
90	current XTX	78	7.642587216684419e+18	1.9984954948811533	0.15284405483483732	1.1380176012044907	1.9576153392790752	0.1621160913317519	1.0834611869697497	0.9839832217456743
90	rescaled direct X	90	29275.023048519015	1.9930831013458523	0.15164826697255118	1.1341630669229652	1.9563281537429291	0.16848091941150062	1.0913265763213287	1.2963019506043005
100	current XTX	83	1.3971106016033246e+20	1.995170096223283	0.15279343529461378	1.137207189341229	1.9539512195752238	0.1562279491938436	1.078076293106319	0.8464478993694385
100	rescaled direct X	100	33277.7280938617	1.9693709843829048	0.15067444307790573	1.1331253027423775	1.9424407699558264	0.16886347489167022	1.0907129707996133	1.3050059132170706
110	current XTX	89	1.4489093025263824e+21	1.9934355400908805	0.1496319106980955	1.1289867777624305	1.90988888227784	0.15218301552780336	1.0753914994639386	0.8160810769476572
110	rescaled direct X	110	36733.33576555457	1.9618761571632632	0.14819971287397307	1.127142232313507	1.9394308344344726	0.1677967131069049	1.0900318295214435	1.3316466974502361
120	current XTX	89	6.11138328875496e+21	1.9924375933780352	0.14926890432724083	1.1283639978728628	1.9385153538483566	0.14506940034046986	1.070217853265026	0.7203391348558574
120	rescaled direct X	120	38837.32618927	1.959585985494291	0.1471053130015702	1.124672797295053	2.1114207145946517	0.13642233041611113	1.0795163792428548	0.6552891585145346
126	current XTX	90	2.888388151105548e+22	1.9922264051775695	0.1491761184271329	1.1283306882099657	1.9441040655457544	0.1445334078761394	1.0706805700598023	0.7197474587844788
126	rescaled direct X	126	40067.91875434499	1.9591725534473317	0.1469754954431527	1.123239537433656	2.095475765549942	0.1361591347477635	1.1143618796215429	0.6541704168866046
130	current XTX	92	2.8194205543435883e+22	1.9822068781530908	0.14906966312588577	1.1280480370666082	1.9249225217956472	0.1445672616389443	1.0700765293008625	0.7173285821148775
130	rescaled direct X	130	42112.62802346054	1.948929694719684	0.14683884499177127	1.1229829113515961	2.0718682658957173	0.13599975371805323	1.1158916895002282	0.6536294306019814
140	current XTX	96	6.971014124672335e+22	1.9815601827222074	0.1489692519955231	1.1280307945279373	1.9262460052566466	0.14484394706702716	1.070300212113562	0.7204690867426904
140	rescaled direct X	140	238854.9577297086	1.9344916510976355	0.146772143108915	1.1229142937640582	1.9895360854006154	0.1359410214946515	1.1177538644885832	0.6534410304035287
150	current XTX	101	5.508440358132105e+22	1.9804426548313447	0.14908663881509743	1.1277954440792715	1.9186137874685498	0.14489656006652574	1.0709600386489442	0.7236751152195924
150	rescaled direct X	150	257012.22568482853	1.9338181001315413	0.1466359557231046	1.1222383316741267	1.9727380091652007	0.1361309922819597	1.107064688875752	0.6536998119084738
160	current XTX	106	1.7620998348084505e+24	1.9788922432562128	0.14880106459057166	1.1261334988810665	1.9005263928662335	0.1471236614453527	1.0752748226087154	0.7744280528802938
160	rescaled direct X	160	280784.3387334603	1.9132906448861153	0.14632716386461736	1.1211589490401486	1.9913252432934279	0.13590575407126168	1.1199400292420894	0.652774696850793
170	current XTX	109	1.3273233427346015e+24	1.9781865435771007	0.14823837678521234	1.1256077330401524	1.8864121463079804	0.14226488013415856	1.0718426180065346	0.7110322472541737
170	rescaled direct X	170	297489.0476285302	1.9106815686879837	0.14614356031497708	1.1207195359196438	2.246748043943313	0.13824057614667587	1.121667246204349	0.6568736210700317
180	current XTX	111	5.34855191843564e+24	1.9776444040504648	0.14783533854544187	1.1255198876545147	1.872427128356872	0.1457269716716188	1.0685474224896299	0.727067171473071
180	rescaled direct X	180	315313.5376305324	1.9081481734982004	0.14578077729508374	1.1206127213433783	2.26770269717869	0.15612065284906218	1.1022355196250058	0.6917237728048617
190	current XTX	111	4.178744998605051e+24	1.9776419464248742	0.14788162433028912	1.12553245392698	1.8723717961252615	0.14655336535240612	1.0692687647866501	0.7377049207708098
190	rescaled direct X	190	325992.01448807557	1.9068335270316081	0.145644321478028	1.118720714918163	2.3678606331586463	0.13611283882815187	1.5492310074845015	0.6516165787496582
200	current XTX	111	6.491756381248879e+25	1.9776751342454633	0.14784793758582446	1.1255248676815552	1.8723484404809705	0.1460806642148241	1.0690975937451885	0.7329145812772809
200	rescaled direct X	200	336672.0349296495	1.9063490299584176	0.14511149015501634	1.1179630135882965	2.7457499790441506	0.5119937636784313	2.855690699220577	0.7209672295997553
210	current XTX	111	5.732048493703516e+26	1.9777272421306007	0.1478484323129666	1.1255039613123772	1.8723043022534458	0.1464857329783677	1.0688973617356858	0.7348995224015851
210	rescaled direct X	210	346817.4206943725	1.9057654634597672	0.1449405603321757	1.1167089262369618	3.049455510967949	0.5141367887825001	3.838006844662299	0.6915225436587181
