method	target	residual_rms	units	raw_coefficient_relative_difference_from_rescaled_direct	scaled_coordinate_relative_difference_from_rescaled_direct	prediction_rms_difference_from_rescaled_direct	prediction_max_difference_from_rescaled_direct
saved current XTX	xptar	1.9777528238346902	mrad	0.9999999996893599	1.0266048117667663	0.5287383383774149	63.478902535360426
saved current XTX	ytar	0.14782685552343572	cm	0.9999999995264692	0.9782477917754372	0.02906911048762136	0.5179976048062578
saved current XTX	yptar	1.1255188337473723	mrad	0.9999999999674355	0.988156955998306	0.14054828061111801	14.649748269976676
reformed current XTX	xptar	1.9777272421306007	mrad	0.9999999996869436	1.0267204990247987	0.5286426416299944	63.49590472852769
reformed current XTX	ytar	0.1478484323129666	cm	0.9999999995298539	0.9773812906375041	0.029178637870819212	0.4997641238517178
reformed current XTX	yptar	1.1255039613123772	mrad	0.9999999999670666	0.9880559514115618	0.14042913156660167	14.509727772342682
unscaled direct X	xptar	1.9057654634597587	mrad	4.235386913348878e-12	1.737131639591213e-11	7.98325399401584e-11	2.640768804858713e-09
unscaled direct X	ytar	0.14494056033217617	cm	7.699743030353663e-13	6.720358415894089e-11	8.638434726312303e-12	2.7383126205207334e-10
unscaled direct X	yptar	1.1167089262369576	mrad	5.512131666524e-13	3.8330702184015326e-11	3.140248830159924e-11	9.462163587262864e-10
rescaled XTX	xptar	1.905765463459742	mrad	8.446522110803273e-06	1.187113303451987e-06	2.0577969192068077e-07	1.3893120125825884e-05
rescaled XTX	ytar	0.1449405603321772	cm	8.736335841386145e-07	6.016023294470131e-07	4.613207094551499e-09	3.676040404300557e-07
rescaled XTX	yptar	1.1167089262369605	mrad	2.3148081135677357e-07	4.9076705492218e-07	2.4825928169183142e-08	1.009337965536957e-06
rescaled direct X	xptar	1.9057654634597672	mrad	0.0	0.0	0.0	0.0
rescaled direct X	ytar	0.1449405603321757	cm	0.0	0.0	0.0	0.0
rescaled direct X	yptar	1.1167089262369618	mrad	0.0	0.0	0.0	0.0
