method	target	heldout_residual_rms	units	prediction_rms_difference_from_rescaled_direct	prediction_max_difference_from_rescaled_direct
saved current XTX	xptar	1.8741617645027662	mrad	2.2618178856553586	1165.3412602709116
saved current XTX	ytar	0.14549793373435665	cm	0.5469193942627191	288.42179057795084
saved current XTX	yptar	1.0688958895330947	mrad	3.763061618085267	1985.371535891233
reformed current XTX	xptar	1.8723043022534458	mrad	2.2757011947937	1172.843460830321
reformed current XTX	ytar	0.1464857329783677	cm	0.5496528147032738	289.86362311259006
reformed current XTX	yptar	1.0688973617356858	mrad	3.76280254148976	1985.229663922395
unscaled direct X	xptar	3.0494555108496404	mrad	1.6577956258082758e-10	7.811395258545162e-08
unscaled direct X	ytar	0.5141367887675736	cm	1.7385016871012506e-11	8.199811927145603e-09
unscaled direct X	yptar	3.838006844605583	mrad	6.557168884709679e-11	3.117268085831175e-08
rescaled XTX	xptar	3.0494555876533003	mrad	2.8817302859513095e-07	8.880825803936286e-05
rescaled XTX	ytar	0.5141366774626517	cm	1.1555571738794604e-07	6.094756268274359e-05
rescaled XTX	yptar	3.8380065519942677	mrad	3.0634358584499055e-07	0.00016075935464629119
rescaled direct X	xptar	3.049455510967949	mrad	0.0	0.0
rescaled direct X	ytar	0.5141367887825001	cm	0.0	0.0
rescaled direct X	yptar	3.838006844662299	mrad	0.0	0.0
