N	last_code	degree	rank	truncated	sigma_max_Ay	sigma_min_Ay	threshold_Ay	sigma_min_minus_threshold_Ay	min_over_threshold_Ay	log10_min_over_threshold_Ay	log10_min_retained_over_threshold_Ay	kappa_Ay	rank_scaled	truncated_scaled	threshold_scaled_Gram	min_over_threshold_scaled_Gram	log10_min_over_threshold_scaled_Gram	kappa_scaled_Gram	min_over_threshold_direct_X	min_over_threshold_scaled_direct_X	xptar_residual_rms_mrad	ytar_residual_rms_cm	yptar_residual_rms_mrad	xptar_step_prediction_rms_mrad	ytar_step_prediction_rms_cm	yptar_step_prediction_rms_mrad	xptar_prediction_diff_from_full_rms_mrad	ytar_prediction_diff_from_full_rms_cm	yptar_prediction_diff_from_full_rms_mrad
1	00000	0	1	0	166013.0	166013.0	3.686229099741922e-11	166012.99999999997	4503599627370496.0	15.653559774527022	15.653559774527022	1.0	1	0	2.220446049250313e-16	4503599627370496.0	15.653559774527022	1.0	4503599627370496.0	4503599627370496.0	31.675558910002657	1.3240004605881168	13.218793858761883	nan	nan	nan	31.613750688848793	1.3157403616324175	13.170806833211516
2	10000	1	2	0	166593.68512699002	6801.714167519935	3.6991228997027564e-11	6801.714167519897	183873700656620.2	14.26451961680477	14.26451961680477	24.4928970879901	2	0	2.83030259164881e-16	2562782624128938.5	15.4087117707785	1.7573084759388127	909996444916346.2	3397314655880240.5	31.642017825700044	1.323618199632222	13.070448204008668	1.457305794652972	0.03181322429274836	1.9748151373653922	31.580143958467964	1.3153557001772185	13.021914521720833
3	01000	1	3	0	166602.17386459332	15.749461401464334	3.6993113875415e-11	15.749461401427341	425740354123.8836	11.629144817061588	11.629144817061588	10578.277543453212	3	0	4.579468356795823e-16	168739532324582.34	14.22721684109017	26.689653368882794	43787716316210.7	871742676998021.5	8.3652890297733	1.3235456029381931	13.066908910501203	30.51621260134151	0.013862732076312268	0.3041509137543985	8.1281154585364	1.3152826474366983	13.018362033399846
4	00100	1	4	0	166603.65051381447	15.738668192567479	3.6993441757407924e-11	15.738668192530486	425444820619.20654	11.628843240908092	11.628843240908092	10585.625700686183	4	0	5.159924299898968e-16	148801083665338.16	14.172606094033535	30.265906110598902	43772515755978.734	818621099744905.0	8.316903904003865	1.1888060975310164	12.553750859506206	0.8984264038923464	0.58181872222377	3.625940958259376	8.078309903939585	1.1795996851127064	12.503211675400994
5	00010	1	5	0	166605.80004015422	4.123891759021037	3.699391904813481e-11	4.123891758984043	111474854925.62212	11.047176915827272	11.047176915827272	40400.13894052944	5	0	5.9110269654701105e-16	126298283929149.66	14.101397449643502	35.658438794757565	22406207066440.53	754186253150283.4	8.316483984838078	1.1677748039969327	3.1843369624393247	0.083574388217513	0.22262512139659799	12.143173339460956	8.077877581748881	1.1584012570958955	2.978866134586263
6	20000	2	6	0	166937.78453774462	4.099906044991875	3.7067634414743505e-11	4.099906044954808	110606088295.75468	11.043779033302103	11.043779033302103	40717.46588965442	6	0	6.739295277604129e-16	108981452770572.3	14.037352592942634	41.32445946423078	22318726174082.3	700577497560301.8	8.310948963052587	1.1641886234093757	3.175805542254357	0.3033697473462173	0.09144857557260126	0.23294000975337334	8.072178951318907	1.1547859673840428	2.969744500734203
7	11000	2	7	0	166941.9196298379	0.5450689706856099	3.706855258963369e-11	0.5450689706485413	14704349984.19765	10.167445830984155	10.167445830984155	306276.6890213023	7	0	8.137094930709766e-16	37404332992523.94	13.572921914653518	120.40315297884439	8137721125078.905	410431650981216.0	3.316640831148412	1.1641885690440472	3.1756047875323485	7.620483335302632	0.00035578503381889816	0.03570820095090122	2.6623874170482433	1.1547859125760538	2.969529815311786
8	02000	2	8	0	166941.9902228004	0.0020789855695794606	3.7068568264420156e-11	0.0020789855325108924	56084862.915381365	7.748845662693164	7.748845662693164	80299734.95995434	8	0	9.76794130599127e-16	3063368640949.971	12.486199262264286	1470.1461545202408	502577126147.5007	117457166106934.1	3.231287932840448	1.1612743435671409	3.165836248211886	0.7475859134033355	0.08232207034275212	0.2488907714353165	2.5552733828364014	1.1518478982140872	2.959081057997946
9	10100	2	9	0	166950.14308938582	0.002074011757498549	3.707037856446012e-11	0.0020740117204281704	55947951.91778625	7.747784192971891	7.747784192971891	80496237.53856787	9	0	1.0378580017106656e-15	2877311243596.008	12.458986842795836	1565.2111454379835	501963320780.4382	113834343870729.78	3.218790628130942	1.1459994879098345	3.126064223345776	0.2839165320431092	0.18773192253189067	0.5002415636558373	2.5394514100185486	1.136446349759742	2.9164908856022285
10	01100	2	10	0	166950.24853666846	0.002071804088276693	3.7070401978460334e-11	0.002071804051206291	55888363.1604672	7.747321390331836	7.747321390331836	80582063.46891424	10	0	1.1296608371493172e-15	2607803327848.5347	12.416274835199893	1726.9705806710558	501695935307.1003	108372054033992.23	3.2096172269556402	1.1459658633261336	3.125741070918715	0.24283814398257117	0.00877874596920339	0.04494759230521355	2.5278138973582394	1.136412442514379	2.916144509407184
