setting	construction	foil_lab_z_cm	lab_X_cm	lab_Y_cm	xscol	yscol	vertex_x_cm	vertex_y_cm	vertex_z_cm	xt_cm	yt_cm	p_slope	q_slope	sieve_x_cm	sieve_y_cm	dx_cm	dy_cm	dx_mm	dy_mm	setting_offset_x_cm	setting_offset_y_cm	dx_after_offset_cm	dy_after_offset_cm	dx_after_offset_mm	dy_after_offset_mm	dxt_cm	dyt_cm	dp_slope	dq_slope	dp_mrad	dq_mrad
HMS_12p490_code_defaults	A_endpoint	-8.0	0.0	0.0	4	4	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	-0.14171728027367156	-1.7184704652011196	0.0008435552397242354	0.010228990864292378	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-15	0.0	0.0	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-15	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	0.0	0.0	4	4	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	-0.14830601200000001	-1.7184704652011198	0.0	0.01022899086429238	-0.14830601200000001	0.0	-0.14830601200000001	0.0	-1.4830601200000002	0.0	-0.14830601200000001	0.0	0.0	0.0	0.0	0.0	-0.006588731726328456	-2.220446049250313e-16	-0.0008435552397242354	1.734723475976807e-18	-0.8435550396371113	1.734723475976807e-15
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	0.0	0.0	4	4	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	-0.14171728027367156	-1.7184704652011198	0.0008435552397242354	0.010228990864292378	0.0	-4.440892098500626e-16	0.0	-4.440892098500626e-16	0.0	-4.440892098500626e-15	0.0	0.0	0.0	-4.440892098500626e-16	0.0	-4.440892098500626e-15	0.0	-2.220446049250313e-16	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	0.0	0.0	2	4	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	-0.3674044032592765	-1.7184704652011196	-0.028051164266313832	0.010228990864292378	-5.08	-2.220446049250313e-16	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-15	0.0	0.0	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-15	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	0.0	0.0	2	4	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	-0.37399313498560494	-1.7184704652011198	-0.028894719506038065	0.01022899086429238	-5.228306011999999	0.0	-0.14830601199999904	0.0	-1.4830601199999904	0.0	-0.14830601200000001	0.0	9.71445146547012e-16	0.0	9.71445146547012e-15	0.0	-0.006588731726328456	-2.220446049250313e-16	-0.0008435552397242328	1.734723475976807e-18	-0.8428718665859751	1.734723475976807e-15
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	0.0	0.0	2	4	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	-0.3674044032592765	-1.7184704652011198	-0.028051164266313832	0.010228990864292378	-5.08	-4.440892098500626e-16	0.0	-4.440892098500626e-16	0.0	-4.440892098500626e-15	0.0	0.0	0.0	-4.440892098500626e-16	0.0	-4.440892098500626e-15	0.0	-2.220446049250313e-16	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	0.0	0.0	6	4	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	0.08396984271193336	-1.7184704652011196	0.0297382747457623	0.010228990864292378	5.08	-2.220446049250313e-16	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-15	0.0	0.0	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-15	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	0.0	0.0	6	4	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	0.07738111098560493	-1.7184704652011198	0.028894719506038065	0.01022899086429238	4.931693987999999	0.0	-0.14830601200000082	0.0	-1.4830601200000082	0.0	-0.14830601200000001	0.0	-8.049116928532385e-16	0.0	-8.049116928532385e-15	0.0	-0.006588731726328428	-2.220446049250313e-16	-0.0008435552397242363	1.734723475976807e-18	-0.8428308130718105	1.734723475976807e-15
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	0.0	0.0	6	4	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	0.08396984271193339	-1.7184704652011198	0.0297382747457623	0.010228990864292378	5.08	-4.440892098500626e-16	0.0	-4.440892098500626e-16	0.0	-4.440892098500626e-15	0.0	0.0	0.0	-4.440892098500626e-16	0.0	-4.440892098500626e-15	2.7755575615628914e-17	-2.220446049250313e-16	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	0.0	0.0	4	2	-0.14830601200000001	-1.7983657387553678	-7.810670144710821	-0.14171728027367156	-1.8538827389924826	0.0008435552397242354	-0.007107840839330462	0.0	-3.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
